epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,276.72214037179947,0.4702973391328007,0.13737624156440367,0.0,2.7009435205065723e-05,1727748524,,False,1,045fc5c7,2024-10-01_02-08-44,1.209563970565796,1.209563970565796,17148,53f2743d91cf,172.17.0.2,1.209563970565796,1
1,235.2111817598343,0.556638104412473,0.1713708022871958,0.0,2.7009435205065723e-05,1727748525,,False,2,045fc5c7,2024-10-01_02-08-45,0.47979116439819336,1.6893551349639893,17148,53f2743d91cf,172.17.0.2,1.6893551349639893,2
2,198.77400705218315,0.6186258865574179,0.20280164300656567,0.0,5.414678147326703e-06,1727748525,,False,3,045fc5c7,2024-10-01_02-08-45,0.47218894958496094,2.16154408454895,17148,53f2743d91cf,172.17.0.2,2.16154408454895,3
3,183.64170542359352,0.6314366182683222,0.20961052749089182,0.0,5.414678147326703e-06,1727748526,,False,4,045fc5c7,2024-10-01_02-08-46,0.48479199409484863,2.646336078643799,17148,53f2743d91cf,172.17.0.2,2.646336078643799,4
4,180.0873559564352,0.6446655807985175,0.2165302711870449,0.0,5.414678147326703e-06,1727748526,,False,5,045fc5c7,2024-10-01_02-08-46,0.5649585723876953,3.211294651031494,17148,53f2743d91cf,172.17.0.2,3.211294651031494,5
5,176.9628678113222,0.6578292809371312,0.223597948150822,0.0,1.0854999083297564e-06,1727748529,,False,6,045fc5c7,2024-10-01_02-08-49,0.5149574279785156,3.7262520790100098,17148,53f2743d91cf,172.17.0.2,3.7262520790100098,6
6,175.21301332116127,0.6605611094974244,0.2248953625800359,0.0,1.0854999083297564e-06,1727748529,,False,7,045fc5c7,2024-10-01_02-08-49,0.4763178825378418,4.202569961547852,17148,53f2743d91cf,172.17.0.2,4.202569961547852,7
7,174.55122962594032,0.6633251096592016,0.22644110329304604,0.0,1.0854999083297564e-06,1727748530,,False,8,045fc5c7,2024-10-01_02-08-50,0.656965970993042,4.8595359325408936,17148,53f2743d91cf,172.17.0.2,4.8595359325408936,8
8,173.87188331782818,0.6660817563120682,0.22803746725378593,0.0,2.1761405182792932e-07,1727748530,,False,9,045fc5c7,2024-10-01_02-08-50,0.4373600482940674,5.296895980834961,17148,53f2743d91cf,172.17.0.2,5.296895980834961,9
9,173.5370203256607,0.6666553300070961,0.22840627250803225,0.0,2.1761405182792932e-07,1727748531,,False,10,045fc5c7,2024-10-01_02-08-51,0.46770238876342773,5.764598369598389,17148,53f2743d91cf,172.17.0.2,5.764598369598389,10
10,173.49226395785809,0.6672633732751427,0.22872543758520622,0.0,2.1761405182792932e-07,1727748531,,False,11,045fc5c7,2024-10-01_02-08-51,0.46233415603637695,6.226932525634766,17148,53f2743d91cf,172.17.0.2,6.226932525634766,11
11,173.29207780957222,0.6677942046996276,0.22901908834986223,0.0,4.362586785090985e-08,1727748532,,False,12,045fc5c7,2024-10-01_02-08-52,0.5952181816101074,6.822150707244873,17148,53f2743d91cf,172.17.0.2,6.822150707244873,12
12,173.428924202919,0.667919214351108,0.22908002293867905,0.0,4.362586785090985e-08,1727748533,,False,13,045fc5c7,2024-10-01_02-08-53,0.6515283584594727,7.473679065704346,17148,53f2743d91cf,172.17.0.2,7.473679065704346,13
13,173.36932037770748,0.6680488199456576,0.2291867663993643,0.0,4.362586785090985e-08,1727748533,,False,14,045fc5c7,2024-10-01_02-08-53,0.5776445865631104,8.051323652267456,17148,53f2743d91cf,172.17.0.2,8.051323652267456,14
14,173.3488984555006,0.6681646377109999,0.2293055131571069,0.0,8.745833873126681e-09,1727748534,,False,15,045fc5c7,2024-10-01_02-08-54,0.7122724056243896,8.763596057891846,17148,53f2743d91cf,172.17.0.2,8.763596057891846,15
15,173.20432136952877,0.6681821022946625,0.22931683786331972,0.0,8.745833873126681e-09,1727748535,,True,16,045fc5c7,2024-10-01_02-08-55,0.5942678451538086,9.357863903045654,17148,53f2743d91cf,172.17.0.2,9.357863903045654,16
