epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,70.94937878847122,0.8450195127977791,0.3848737679980798,0.0,0.0009997526016870446,1727748513,,False,1,06023a8c,2024-10-01_02-08-33,1.0113067626953125,1.0113067626953125,16894,53f2743d91cf,172.17.0.2,1.0113067626953125,1
1,60.73855381458998,0.8473441519745353,0.3981071165011932,0.0,0.0009997526016870446,1727748514,,False,2,06023a8c,2024-10-01_02-08-34,0.35129356384277344,1.362600326538086,16894,53f2743d91cf,172.17.0.2,1.362600326538086,2
2,59.639286160469055,0.8452157308760048,0.3854774327413141,0.0,0.0009997526016870446,1727748514,,False,3,06023a8c,2024-10-01_02-08-34,0.3564107418060303,1.7190110683441162,16894,53f2743d91cf,172.17.0.2,1.7190110683441162,3
3,59.08108725771308,0.8501011976570109,0.3998785857203658,0.0,0.0009997526016870446,1727748515,,False,4,06023a8c,2024-10-01_02-08-35,0.36016058921813965,2.079171657562256,16894,53f2743d91cf,172.17.0.2,2.079171657562256,4
4,58.535650350153446,0.8501547942617113,0.4016540789727287,0.0,0.0009997526016870446,1727748515,,False,5,06023a8c,2024-10-01_02-08-35,0.3423619270324707,2.4215335845947266,16894,53f2743d91cf,172.17.0.2,2.4215335845947266,5
5,58.192115776240826,0.8496206450487639,0.4026958063979916,0.0,0.0009997526016870446,1727748515,,False,6,06023a8c,2024-10-01_02-08-35,0.35115838050842285,2.7726919651031494,16894,53f2743d91cf,172.17.0.2,2.7726919651031494,6
6,57.29344183206558,0.8488693841659277,0.40583311957636936,0.0,0.0009997526016870446,1727748516,,False,7,06023a8c,2024-10-01_02-08-36,0.3459959030151367,3.118687868118286,16894,53f2743d91cf,172.17.0.2,3.118687868118286,7
7,56.99062937870622,0.8501793215214895,0.40978950541849163,0.045146726862302484,0.0009997526016870446,1727748516,,False,8,06023a8c,2024-10-01_02-08-36,0.35384130477905273,3.472529172897339,16894,53f2743d91cf,172.17.0.2,3.472529172897339,8
8,56.7767568230629,0.8488239633144866,0.4069234794376365,0.0735930735930736,0.0009997526016870446,1727748516,,False,9,06023a8c,2024-10-01_02-08-36,0.33110475540161133,3.80363392829895,16894,53f2743d91cf,172.17.0.2,3.80363392829895,9
9,56.22629215568304,0.8479773186436244,0.4104973645525498,0.027586206896551724,0.0003487937887051353,1727748517,,False,10,06023a8c,2024-10-01_02-08-37,0.35489869117736816,4.158532619476318,16894,53f2743d91cf,172.17.0.2,4.158532619476318,10
10,55.21207080036402,0.8484851237627359,0.4083118160476822,0.07423580786026202,0.0003487937887051353,1727748517,,False,11,06023a8c,2024-10-01_02-08-37,0.37070488929748535,4.529237508773804,16894,53f2743d91cf,172.17.0.2,4.529237508773804,11
11,54.409794218838215,0.849001104635107,0.40927411861958335,0.08620689655172414,0.0003487937887051353,1727748517,,False,12,06023a8c,2024-10-01_02-08-37,0.34136128425598145,4.870598793029785,16894,53f2743d91cf,172.17.0.2,4.870598793029785,12
12,53.95258692651987,0.8483942820598538,0.40875745363321647,0.09032258064516129,0.0003487937887051353,1727748518,,False,13,06023a8c,2024-10-01_02-08-38,0.3572964668273926,5.227895259857178,16894,53f2743d91cf,172.17.0.2,5.227895259857178,13
13,53.331389002501965,0.847999120652316,0.4013440561661504,0.1555977229601518,0.0003487937887051353,1727748518,,False,14,06023a8c,2024-10-01_02-08-38,0.35625481605529785,5.584150075912476,16894,53f2743d91cf,172.17.0.2,5.584150075912476,14
14,53.37706981599331,0.8471370328919638,0.4054530465221823,0.13043478260869565,0.0003487937887051353,1727748519,,False,15,06023a8c,2024-10-01_02-08-39,0.43340492248535156,6.017554998397827,16894,53f2743d91cf,172.17.0.2,6.017554998397827,15
15,52.89743748307228,0.846026947282743,0.398066184218967,0.1464354527938343,0.0003487937887051353,1727748519,,True,16,06023a8c,2024-10-01_02-08-39,0.3646888732910156,6.382243871688843,16894,53f2743d91cf,172.17.0.2,6.382243871688843,16
