epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2266.32209662025,0.8469345344337129,0.34858382153660444,0.0,0.0009100398926249201,1727748532,,False,1,08dd75dc,2024-10-01_02-08-52,5.634429931640625,5.634429931640625,17212,53f2743d91cf,172.17.0.2,5.634429931640625,1
1,2033.5845589993933,0.846765654974208,0.33896667392618185,0.0,0.0009100398926249201,1727748537,,False,2,08dd75dc,2024-10-01_02-08-57,5.832533121109009,11.466963052749634,17212,53f2743d91cf,172.17.0.2,11.466963052749634,2
2,2006.6306663247833,0.8497245849054123,0.34941943616670446,0.0,0.00016705888138637324,1727748543,,False,3,08dd75dc,2024-10-01_02-09-03,5.163563966751099,16.630527019500732,17212,53f2743d91cf,172.17.0.2,16.630527019500732,3
3,1977.0989959049011,0.850241335826412,0.35481542221691464,0.0,0.00016705888138637324,1727748547,,False,4,08dd75dc,2024-10-01_02-09-07,4.814123868942261,21.444650888442993,17212,53f2743d91cf,172.17.0.2,21.444650888442993,4
4,1965.3726606335792,0.8506205561696116,0.35766993864963337,0.0,0.00016705888138637324,1727748552,,False,5,08dd75dc,2024-10-01_02-09-12,4.550926923751831,25.995577812194824,17212,53f2743d91cf,172.17.0.2,25.995577812194824,5
5,1963.6135773757617,0.8500330174512145,0.35399104761780215,0.0,3.066752356269408e-05,1727748556,,False,6,08dd75dc,2024-10-01_02-09-16,4.469845771789551,30.465423583984375,17212,53f2743d91cf,172.17.0.2,30.465423583984375,6
6,1970.2138161832145,0.8502231332499386,0.3560951072204269,0.0,3.066752356269408e-05,1727748561,,False,7,08dd75dc,2024-10-01_02-09-21,4.454393625259399,34.919817209243774,17212,53f2743d91cf,172.17.0.2,34.919817209243774,7
7,1968.278508721916,0.850218076978696,0.35556253954973516,0.0,3.066752356269408e-05,1727748566,,False,8,08dd75dc,2024-10-01_02-09-26,4.589649677276611,39.509466886520386,17212,53f2743d91cf,172.17.0.2,39.509466886520386,8
8,1964.639202741571,0.8502554933858916,0.35548972360615866,0.0,5.629733622441886e-06,1727748570,,False,9,08dd75dc,2024-10-01_02-09-30,4.810494899749756,44.31996178627014,17212,53f2743d91cf,172.17.0.2,44.31996178627014,9
9,1953.1231335251352,0.8502595384028857,0.3554580770253769,0.0,5.629733622441886e-06,1727748575,,False,10,08dd75dc,2024-10-01_02-09-35,4.786121368408203,49.106083154678345,17212,53f2743d91cf,172.17.0.2,49.106083154678345,10
10,1953.8671780469667,0.8502302120296782,0.35519723932836406,0.0,5.629733622441886e-06,1727748580,,False,11,08dd75dc,2024-10-01_02-09-40,4.7477638721466064,53.85384702682495,17212,53f2743d91cf,172.17.0.2,53.85384702682495,11
11,1959.5338772510631,0.8502514483688973,0.3552756509662223,0.0,1.0334678832107301e-06,1727748585,,False,12,08dd75dc,2024-10-01_02-09-45,4.760393381118774,58.614240407943726,17212,53f2743d91cf,172.17.0.2,58.614240407943726,12
12,1962.9755284726018,0.8502484146061519,0.35524640405995866,0.0,1.0334678832107301e-06,1727748590,,False,13,08dd75dc,2024-10-01_02-09-50,4.808522462844849,63.422762870788574,17212,53f2743d91cf,172.17.0.2,63.422762870788574,13
13,1962.8946567834892,0.8502575158943886,0.3552867011142742,0.0,1.0334678832107301e-06,1727748594,,False,14,08dd75dc,2024-10-01_02-09-54,4.7993669509887695,68.22212982177734,17212,53f2743d91cf,172.17.0.2,68.22212982177734,14
14,1955.7972801021187,0.850258527148637,0.35528268142274033,0.0,1.8971694528680032e-07,1727748599,,False,15,08dd75dc,2024-10-01_02-09-59,4.761655330657959,72.9837851524353,17212,53f2743d91cf,172.17.0.2,72.9837851524353,15
15,1958.8665369453333,0.8502590327757615,0.3552709551616674,0.0,1.8971694528680032e-07,1727748604,,True,16,08dd75dc,2024-10-01_02-10-04,4.7853844165802,77.7691695690155,17212,53f2743d91cf,172.17.0.2,77.7691695690155,16
