epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,69.52275336533785,0.8461569884626562,0.37738511319606827,0.0,0.0016803559035941567,1727749403,,False,1,09e47223,2024-10-01_02-23-23,1.1108996868133545,1.1108996868133545,24808,53f2743d91cf,172.17.0.2,1.1108996868133545,1
1,60.43633143603802,0.8490090622043596,0.3918048138044833,0.0,0.0016803559035941567,1727749404,,False,2,09e47223,2024-10-01_02-23-24,0.3205270767211914,1.431426763534546,24808,53f2743d91cf,172.17.0.2,1.431426763534546,2
2,59.76095078885555,0.8481716369065027,0.38650862605414277,0.0,0.0016803559035941567,1727749404,,False,3,09e47223,2024-10-01_02-23-24,0.332897424697876,1.7643241882324219,24808,53f2743d91cf,172.17.0.2,1.7643241882324219,3
3,58.483989864587784,0.8500878739517097,0.39816697216713376,0.0,0.0016803559035941567,1727749404,,False,4,09e47223,2024-10-01_02-23-24,0.29712629318237305,2.061450481414795,24808,53f2743d91cf,172.17.0.2,2.061450481414795,4
4,57.91794218868017,0.8481957755514518,0.3941986969300692,0.0,0.0016803559035941567,1727749405,,False,5,09e47223,2024-10-01_02-23-25,0.3045494556427002,2.365999937057495,24808,53f2743d91cf,172.17.0.2,2.365999937057495,5
5,56.83304812759161,0.8450196869217749,0.38810717108703624,0.07095343680709534,0.0016803559035941567,1727749405,,False,6,09e47223,2024-10-01_02-23-25,0.30684804916381836,2.6728479862213135,24808,53f2743d91cf,172.17.0.2,2.6728479862213135,6
6,56.16640833765268,0.8450475392044089,0.38133719539321564,0.12033195020746888,0.00036656351606426395,1727749405,,False,7,09e47223,2024-10-01_02-23-25,0.32452940940856934,2.997377395629883,24808,53f2743d91cf,172.17.0.2,2.997377395629883,7
7,53.356946632266045,0.8454504688931782,0.38366242116478183,0.16796875,0.00036656351606426395,1727749405,,False,8,09e47223,2024-10-01_02-23-25,0.31496238708496094,3.3123397827148438,24808,53f2743d91cf,172.17.0.2,3.3123397827148438,8
8,52.283282071352005,0.8451812301610512,0.3847628485156067,0.21129326047358835,0.00036656351606426395,1727749406,,False,9,09e47223,2024-10-01_02-23-26,0.3482050895690918,3.6605448722839355,24808,53f2743d91cf,172.17.0.2,3.6605448722839355,9
9,51.725248485803604,0.8444032230661462,0.3828342198210035,0.23344947735191637,0.00036656351606426395,1727749406,,False,10,09e47223,2024-10-01_02-23-26,0.34575486183166504,4.006299734115601,24808,53f2743d91cf,172.17.0.2,4.006299734115601,10
10,50.805392906069756,0.8433587624673781,0.3816974896928901,0.26973684210526316,0.00036656351606426395,1727749406,,False,11,09e47223,2024-10-01_02-23-26,0.3224978446960449,4.3287975788116455,24808,53f2743d91cf,172.17.0.2,4.3287975788116455,11
11,50.4142901301384,0.8426977349595354,0.3793207277438293,0.27906976744186046,0.00036656351606426395,1727749407,,False,12,09e47223,2024-10-01_02-23-27,0.30631232261657715,4.635109901428223,24808,53f2743d91cf,172.17.0.2,4.635109901428223,12
12,49.7585264518857,0.8415047288533866,0.3772057579191934,0.25,0.00036656351606426395,1727749407,,False,13,09e47223,2024-10-01_02-23-27,0.3399662971496582,4.975076198577881,24808,53f2743d91cf,172.17.0.2,4.975076198577881,13
13,49.00201181322336,0.8408455581643861,0.37665132058802464,0.2971246006389776,7.99644950346477e-05,1727749408,,False,14,09e47223,2024-10-01_02-23-28,0.3635120391845703,5.338588237762451,24808,53f2743d91cf,172.17.0.2,5.338588237762451,14
14,47.88022178411484,0.8409811059398705,0.3769955059006057,0.26057529610829105,7.99644950346477e-05,1727749408,,False,15,09e47223,2024-10-01_02-23-28,0.3420872688293457,5.680675506591797,24808,53f2743d91cf,172.17.0.2,5.680675506591797,15
15,47.39752546697855,0.8407462183563255,0.37629843094518345,0.28802588996763756,7.99644950346477e-05,1727749408,,False,16,09e47223,2024-10-01_02-23-28,0.35930800437927246,6.039983510971069,24808,53f2743d91cf,172.17.0.2,6.039983510971069,16
16,47.337945096194744,0.8402671590950236,0.3756042376072002,0.24957264957264957,7.99644950346477e-05,1727749409,,False,17,09e47223,2024-10-01_02-23-29,0.4524650573730469,6.492448568344116,24808,53f2743d91cf,172.17.0.2,6.492448568344116,17
17,46.90311075001955,0.8400916897144304,0.37519297369947624,0.2637729549248748,7.99644950346477e-05,1727749409,,False,18,09e47223,2024-10-01_02-23-29,0.4700031280517578,6.962451696395874,24808,53f2743d91cf,172.17.0.2,6.962451696395874,18
18,46.90254935249686,0.8394306622065878,0.3741184797645914,0.27450980392156865,7.99644950346477e-05,1727749410,,False,19,09e47223,2024-10-01_02-23-30,0.33198070526123047,7.2944324016571045,24808,53f2743d91cf,172.17.0.2,7.2944324016571045,19
19,46.66870031505823,0.8391744212063567,0.3737828177354631,0.2815533980582524,7.99644950346477e-05,1727749410,,False,20,09e47223,2024-10-01_02-23-30,0.3557090759277344,7.650141477584839,24808,53f2743d91cf,172.17.0.2,7.650141477584839,20
