epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,67.78306782245636,0.8500429589530928,0.35893635447133726,0.0,0.0018282359882421087,1727748425,,False,1,0d22ade6,2024-10-01_02-07-05,1.1419458389282227,1.1419458389282227,14944,53f2743d91cf,172.17.0.2,1.1419458389282227,1
1,62.090248845517635,0.8534101462590946,0.37608186505906377,0.0,0.0018282359882421087,1727748425,,False,2,0d22ade6,2024-10-01_02-07-05,0.49955010414123535,1.641495943069458,14944,53f2743d91cf,172.17.0.2,1.641495943069458,2
2,60.736430771648884,0.8525311017854038,0.36057468711870594,0.0,0.0018282359882421087,1727748426,,False,3,0d22ade6,2024-10-01_02-07-06,0.47963666915893555,2.1211326122283936,14944,53f2743d91cf,172.17.0.2,2.1211326122283936,3
3,59.79733021184802,0.8458712224677808,0.33837705290654757,0.06018518518518518,0.0018282359882421087,1727748426,,False,4,0d22ade6,2024-10-01_02-07-06,0.5044231414794922,2.6255557537078857,14944,53f2743d91cf,172.17.0.2,2.6255557537078857,4
4,58.196078062057495,0.8417660351121153,0.3410313789948649,0.15415821501014199,0.0003641865404561042,1727748427,,False,5,0d22ade6,2024-10-01_02-07-07,0.4886040687561035,3.1141598224639893,14944,53f2743d91cf,172.17.0.2,3.1141598224639893,5
5,54.609376937150955,0.8431953514936307,0.33731057527630254,0.18666666666666668,0.0003641865404561042,1727748427,,False,6,0d22ade6,2024-10-01_02-07-07,0.49859619140625,3.6127560138702393,14944,53f2743d91cf,172.17.0.2,3.6127560138702393,6
6,52.59923278540373,0.8382736957115543,0.32784213169332443,0.18047882136279927,0.0003641865404561042,1727748428,,False,7,0d22ade6,2024-10-01_02-07-08,0.5210230350494385,4.133779048919678,14944,53f2743d91cf,172.17.0.2,4.133779048919678,7
7,51.54273013025522,0.8384743363710859,0.33151739065678265,0.1694915254237288,0.0003641865404561042,1727748428,,False,8,0d22ade6,2024-10-01_02-07-08,0.51338791847229,4.647166967391968,14944,53f2743d91cf,172.17.0.2,4.647166967391968,8
8,50.227385111153126,0.8384197064885401,0.3298268828027667,0.22408026755852842,0.0003641865404561042,1727748429,,False,9,0d22ade6,2024-10-01_02-07-09,0.5067906379699707,5.1539576053619385,14944,53f2743d91cf,172.17.0.2,5.1539576053619385,9
9,49.14433544874191,0.8343006133445905,0.3236287436387627,0.2765957446808511,7.254634363527336e-05,1727748429,,False,10,0d22ade6,2024-10-01_02-07-09,0.4886915683746338,5.642649173736572,14944,53f2743d91cf,172.17.0.2,5.642649173736572,10
10,47.03252783790231,0.8351985299595243,0.3245186223857407,0.24398073836276082,7.254634363527336e-05,1727748430,,False,11,0d22ade6,2024-10-01_02-07-10,0.5137186050415039,6.156367778778076,14944,53f2743d91cf,172.17.0.2,6.156367778778076,11
11,46.38750257343054,0.8352740185244967,0.3243873663187277,0.1989342806394316,7.254634363527336e-05,1727748430,,False,12,0d22ade6,2024-10-01_02-07-10,0.5128777027130127,6.669245481491089,14944,53f2743d91cf,172.17.0.2,6.669245481491089,12
12,46.03439261391759,0.834620446475131,0.3227994326413796,0.20748299319727892,7.254634363527336e-05,1727748431,,False,13,0d22ade6,2024-10-01_02-07-11,0.5120482444763184,7.181293725967407,14944,53f2743d91cf,172.17.0.2,7.181293725967407,13
13,45.7250307276845,0.8340085917906186,0.32262514781972407,0.21885521885521886,7.254634363527336e-05,1727748431,,False,14,0d22ade6,2024-10-01_02-07-11,0.5150773525238037,7.696371078491211,14944,53f2743d91cf,172.17.0.2,7.696371078491211,14
14,45.184995636343956,0.8334424275533263,0.32111124646307515,0.22697368421052633,1.4451308300015331e-05,1727748434,,False,15,0d22ade6,2024-10-01_02-07-14,0.5396063327789307,8.235977411270142,14944,53f2743d91cf,172.17.0.2,8.235977411270142,15
15,44.64524172246456,0.8332378138114276,0.3205282765491711,0.23089430894308943,1.4451308300015331e-05,1727748434,,False,16,0d22ade6,2024-10-01_02-07-14,0.6263530254364014,8.862330436706543,14944,53f2743d91cf,172.17.0.2,8.862330436706543,16
16,44.63658044114709,0.8329587047751483,0.32015923185057554,0.23263327948303716,1.4451308300015331e-05,1727748435,,False,17,0d22ade6,2024-10-01_02-07-15,0.5017814636230469,9.36411190032959,14944,53f2743d91cf,172.17.0.2,9.36411190032959,17
17,44.63302284479141,0.8328355392217724,0.31989335233998933,0.23113964686998395,1.4451308300015331e-05,1727748435,,False,18,0d22ade6,2024-10-01_02-07-15,0.5053374767303467,9.869449377059937,14944,53f2743d91cf,172.17.0.2,9.869449377059937,18
18,44.53698880970478,0.8326925082565617,0.3195787666472015,0.23225806451612904,1.4451308300015331e-05,1727748436,,False,19,0d22ade6,2024-10-01_02-07-16,0.5229301452636719,10.392379522323608,14944,53f2743d91cf,172.17.0.2,10.392379522323608,19
19,44.454495228827,0.8324481636909934,0.3191072012489219,0.2347266881028939,2.8787158816995158e-06,1727748437,,False,20,0d22ade6,2024-10-01_02-07-17,0.5150711536407471,10.907450675964355,14944,53f2743d91cf,172.17.0.2,10.907450675964355,20
