epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,129.00168150663376,0.6810121664532549,0.21048658367016498,0.0,0.00010261394699705124,1727748770,,False,1,0dd5eaaa,2024-10-01_02-12-50,1.0404143333435059,1.0404143333435059,20606,53f2743d91cf,172.17.0.2,1.0404143333435059,1
1,81.09914965927601,0.8260953375804259,0.31005394350459525,0.0,0.00010261394699705124,1727748771,,False,2,0dd5eaaa,2024-10-01_02-12-51,0.42058444023132324,1.460998773574829,20606,53f2743d91cf,172.17.0.2,1.460998773574829,2
2,71.46549659967422,0.8384159032075197,0.3364088044110703,0.0,0.00010261394699705124,1727748772,,False,3,0dd5eaaa,2024-10-01_02-12-52,0.39557480812072754,1.8565735816955566,20606,53f2743d91cf,172.17.0.2,1.8565735816955566,3
3,66.47073173522949,0.8443861471312305,0.3510529256945223,0.0,0.00010261394699705124,1727748772,,False,4,0dd5eaaa,2024-10-01_02-12-52,0.4136514663696289,2.2702250480651855,20606,53f2743d91cf,172.17.0.2,2.2702250480651855,4
4,64.90632154047489,0.8490471791984966,0.3592892963700978,0.0,2.152496815514681e-05,1727748773,,False,5,0dd5eaaa,2024-10-01_02-12-53,0.4177689552307129,2.6879940032958984,20606,53f2743d91cf,172.17.0.2,2.6879940032958984,5
5,64.30301604419947,0.8498568885752682,0.3613709720402815,0.0,2.152496815514681e-05,1727748773,,False,6,0dd5eaaa,2024-10-01_02-12-53,0.41240930557250977,3.100403308868408,20606,53f2743d91cf,172.17.0.2,3.100403308868408,6
6,64.10499288141727,0.8506576782649028,0.36206586617396114,0.0,2.152496815514681e-05,1727748773,,False,7,0dd5eaaa,2024-10-01_02-12-53,0.42505788803100586,3.525461196899414,20606,53f2743d91cf,172.17.0.2,3.525461196899414,7
7,63.84293104708195,0.8511512342864845,0.36185959329901063,0.0,2.152496815514681e-05,1727748774,,False,8,0dd5eaaa,2024-10-01_02-12-54,0.4312567710876465,3.9567179679870605,20606,53f2743d91cf,172.17.0.2,3.9567179679870605,8
8,63.98631676286459,0.8516556921479002,0.3632795164003993,0.0,2.152496815514681e-05,1727748774,,False,9,0dd5eaaa,2024-10-01_02-12-54,0.41930389404296875,4.376021862030029,20606,53f2743d91cf,172.17.0.2,4.376021862030029,9
9,63.49722919613123,0.8522622308732174,0.3629886537209803,0.0,4.515217157501978e-06,1727748775,,False,10,0dd5eaaa,2024-10-01_02-12-55,0.40436220169067383,4.780384063720703,20606,53f2743d91cf,172.17.0.2,4.780384063720703,10
10,63.67727582156658,0.852380168958696,0.36325318877248786,0.0,4.515217157501978e-06,1727748775,,False,11,0dd5eaaa,2024-10-01_02-12-55,0.4269833564758301,5.207367420196533,20606,53f2743d91cf,172.17.0.2,5.207367420196533,11
11,63.64973905682564,0.8524544996848376,0.363478785948625,0.0,4.515217157501978e-06,1727748776,,False,12,0dd5eaaa,2024-10-01_02-12-56,0.44702935218811035,5.6543967723846436,20606,53f2743d91cf,172.17.0.2,5.6543967723846436,12
12,63.69364783912897,0.8525516251669963,0.3635152831383242,0.0,4.515217157501978e-06,1727748776,,False,13,0dd5eaaa,2024-10-01_02-12-56,0.39804601669311523,6.052442789077759,20606,53f2743d91cf,172.17.0.2,6.052442789077759,13
13,63.602493077516556,0.8526542015690721,0.36353303920021973,0.0,4.515217157501978e-06,1727748776,,False,14,0dd5eaaa,2024-10-01_02-12-56,0.4323611259460449,6.484803915023804,20606,53f2743d91cf,172.17.0.2,6.484803915023804,14
14,63.616511307656765,0.852753804742102,0.3637651292617515,0.0,9.471412841335835e-07,1727748777,,False,15,0dd5eaaa,2024-10-01_02-12-57,0.44388747215270996,6.928691387176514,20606,53f2743d91cf,172.17.0.2,6.928691387176514,15
15,63.46684382110834,0.8527696619636791,0.36381967150452593,0.0,9.471412841335835e-07,1727748777,,True,16,0dd5eaaa,2024-10-01_02-12-57,0.4476492404937744,7.376340627670288,20606,53f2743d91cf,172.17.0.2,7.376340627670288,16
