epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,144.25431156158447,0.5865148796345926,0.1814762480997376,0.0,2.1312179892315354e-05,1727749375,,False,1,0deab100,2024-10-01_02-22-55,0.9713008403778076,0.9713008403778076,24218,53f2743d91cf,172.17.0.2,0.9713008403778076,1
1,136.04649114608765,0.6174412155391392,0.1963094577634038,0.0,2.1312179892315354e-05,1727749375,,False,2,0deab100,2024-10-01_02-22-55,0.26405835151672363,1.2353591918945312,24218,53f2743d91cf,172.17.0.2,1.2353591918945312,2
2,127.50615233182907,0.6233804851902776,0.2000904381216463,0.0,2.1312179892315354e-05,1727749375,,False,3,0deab100,2024-10-01_02-22-55,0.25616455078125,1.4915237426757812,24218,53f2743d91cf,172.17.0.2,1.4915237426757812,3
3,118.80713558197021,0.623651278227028,0.19995777266638198,0.0,2.1312179892315354e-05,1727749376,,False,4,0deab100,2024-10-01_02-22-56,0.3141348361968994,1.8056585788726807,24218,53f2743d91cf,172.17.0.2,1.8056585788726807,4
4,110.54229012131691,0.6281806529794225,0.2026783877996028,0.0,7.45427949944363e-06,1727749376,,False,5,0deab100,2024-10-01_02-22-56,0.26804208755493164,2.0737006664276123,24218,53f2743d91cf,172.17.0.2,2.0737006664276123,5
5,105.41627383232117,0.6302188250099042,0.20414154345312652,0.0,7.45427949944363e-06,1727749376,,False,6,0deab100,2024-10-01_02-22-56,0.31283092498779297,2.3865315914154053,24218,53f2743d91cf,172.17.0.2,2.3865315914154053,6
6,102.8835060596466,0.6327673556896832,0.20561497565474085,0.0,7.45427949944363e-06,1727749377,,False,7,0deab100,2024-10-01_02-22-57,0.2767491340637207,2.663280725479126,24218,53f2743d91cf,172.17.0.2,2.663280725479126,7
7,100.81309601664543,0.6353541050080398,0.207063506368952,0.0,7.45427949944363e-06,1727749377,,False,8,0deab100,2024-10-01_02-22-57,0.27822184562683105,2.941502571105957,24218,53f2743d91cf,172.17.0.2,2.941502571105957,8
8,98.8607143163681,0.6388320011185943,0.20919079175284877,0.0,7.45427949944363e-06,1727749377,,False,9,0deab100,2024-10-01_02-22-57,0.2843477725982666,3.2258503437042236,24218,53f2743d91cf,172.17.0.2,3.2258503437042236,9
9,96.86991512775421,0.642658525785929,0.21125185162202786,0.0,2.607254778093414e-06,1727749377,,False,10,0deab100,2024-10-01_02-22-57,0.26874351501464844,3.494593858718872,24218,53f2743d91cf,172.17.0.2,3.494593858718872,10
10,95.71278747916222,0.6442147701055674,0.212174660786042,0.0,2.607254778093414e-06,1727749378,,False,11,0deab100,2024-10-01_02-22-58,0.3266901969909668,3.821284055709839,24218,53f2743d91cf,172.17.0.2,3.821284055709839,11
11,95.09190002083778,0.6457421174057932,0.21295253504917946,0.0,2.607254778093414e-06,1727749378,,False,12,0deab100,2024-10-01_02-22-58,0.37099385261535645,4.192277908325195,24218,53f2743d91cf,172.17.0.2,4.192277908325195,12
12,94.63256350159645,0.647414415884039,0.21391920036576867,0.0,2.607254778093414e-06,1727749379,,False,13,0deab100,2024-10-01_02-22-59,0.366483211517334,4.558761119842529,24218,53f2743d91cf,172.17.0.2,4.558761119842529,13
13,94.06140667200089,0.649137051105777,0.2149491202249756,0.0,2.607254778093414e-06,1727749379,,False,14,0deab100,2024-10-01_02-22-59,0.2886486053466797,4.847409725189209,24218,53f2743d91cf,172.17.0.2,4.847409725189209,14
14,93.50199940800667,0.6508056209363566,0.21580496928180798,0.0,9.11929513563089e-07,1727749379,,False,15,0deab100,2024-10-01_02-22-59,0.2944190502166748,5.141828775405884,24218,53f2743d91cf,172.17.0.2,5.141828775405884,15
15,93.01137390732765,0.6514586003588824,0.21612454907260137,0.0,9.11929513563089e-07,1727749380,,True,16,0deab100,2024-10-01_02-23-00,0.3792245388031006,5.521053314208984,24218,53f2743d91cf,172.17.0.2,5.521053314208984,16
