epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,74.67770180851221,0.858233857535151,0.3828811864328355,0.0,0.0014374916347862086,1727748227,,False,1,0edc5aeb,2024-10-01_02-03-47,0.98679518699646,0.98679518699646,13037,53f2743d91cf,172.17.0.2,0.98679518699646,1
1,61.69749756157398,0.857163758046848,0.378417277540776,0.0,0.0014374916347862086,1727748227,,False,2,0edc5aeb,2024-10-01_02-03-47,0.31909680366516113,1.305891990661621,13037,53f2743d91cf,172.17.0.2,1.305891990661621,2
2,60.38631419837475,0.8583876667516994,0.38949564651767293,0.0,0.0014374916347862086,1727748228,,False,3,0edc5aeb,2024-10-01_02-03-48,0.31279540061950684,1.618687391281128,13037,53f2743d91cf,172.17.0.2,1.618687391281128,3
3,59.745081424713135,0.8592692561636229,0.40551969281704814,0.0,0.0014374916347862086,1727748228,,False,4,0edc5aeb,2024-10-01_02-03-48,0.30722522735595703,1.925912618637085,13037,53f2743d91cf,172.17.0.2,1.925912618637085,4
4,58.882885076105595,0.8608711228823096,0.4086193915461916,0.0,0.00028399638674033324,1727748228,,False,5,0edc5aeb,2024-10-01_02-03-48,0.31090760231018066,2.2368202209472656,13037,53f2743d91cf,172.17.0.2,2.2368202209472656,5
5,56.9981200248003,0.8601986764904487,0.4108973732435452,0.0,0.00028399638674033324,1727748229,,False,6,0edc5aeb,2024-10-01_02-03-49,0.3132514953613281,2.5500717163085938,13037,53f2743d91cf,172.17.0.2,2.5500717163085938,6
6,56.32724041491747,0.8595177893488992,0.4044021581870801,0.0,0.00028399638674033324,1727748229,,False,7,0edc5aeb,2024-10-01_02-03-49,0.32073283195495605,2.87080454826355,13037,53f2743d91cf,172.17.0.2,2.87080454826355,7
7,56.058159574866295,0.8597119265917379,0.40269925242953547,0.09956709956709957,0.00028399638674033324,1727748229,,False,8,0edc5aeb,2024-10-01_02-03-49,0.30163002014160156,3.1724345684051514,13037,53f2743d91cf,172.17.0.2,3.1724345684051514,8
8,55.51906720548868,0.859163277861977,0.40115753424894013,0.22467771639042358,0.00028399638674033324,1727748230,,False,9,0edc5aeb,2024-10-01_02-03-50,0.31256628036499023,3.4850008487701416,13037,53f2743d91cf,172.17.0.2,3.4850008487701416,9
9,55.0904448479414,0.858552730301166,0.400253823877867,0.25996533795493937,5.610742054409257e-05,1727748230,,False,10,0edc5aeb,2024-10-01_02-03-50,0.29743003845214844,3.78243088722229,13037,53f2743d91cf,172.17.0.2,3.78243088722229,10
10,54.316649824380875,0.858359530919404,0.40029122864100003,0.23119266055045873,5.610742054409257e-05,1727748230,,False,11,0edc5aeb,2024-10-01_02-03-50,0.29981231689453125,4.082243204116821,13037,53f2743d91cf,172.17.0.2,4.082243204116821,11
11,54.280677787959576,0.8582769991446707,0.4001713016223187,0.2303473491773309,5.610742054409257e-05,1727748231,,False,12,0edc5aeb,2024-10-01_02-03-51,0.30681586265563965,4.389059066772461,13037,53f2743d91cf,172.17.0.2,4.389059066772461,12
12,54.1593204587698,0.8579759457391096,0.3995804770075286,0.24372759856630824,5.610742054409257e-05,1727748231,,False,13,0edc5aeb,2024-10-01_02-03-51,0.3116455078125,4.700704574584961,13037,53f2743d91cf,172.17.0.2,4.700704574584961,13
13,54.06948437914252,0.8578854421452258,0.39877683661001784,0.23076923076923078,5.610742054409257e-05,1727748231,,False,14,0edc5aeb,2024-10-01_02-03-51,0.3118596076965332,5.012564182281494,13037,53f2743d91cf,172.17.0.2,5.012564182281494,14
14,53.95951475948095,0.857579230503744,0.3976532262775721,0.24647887323943662,1.1084798212556185e-05,1727748231,,False,15,0edc5aeb,2024-10-01_02-03-51,0.31546497344970703,5.328029155731201,13037,53f2743d91cf,172.17.0.2,5.328029155731201,15
15,53.61786534637213,0.8575435917828363,0.39772084430825544,0.24511545293072823,1.1084798212556185e-05,1727748232,,False,16,0edc5aeb,2024-10-01_02-03-52,0.3148536682128906,5.642882823944092,13037,53f2743d91cf,172.17.0.2,5.642882823944092,16
16,53.722479954361916,0.8575276481445355,0.39787003310190827,0.24285714285714285,1.1084798212556185e-05,1727748232,,False,17,0edc5aeb,2024-10-01_02-03-52,0.32293033599853516,5.965813159942627,13037,53f2743d91cf,172.17.0.2,5.965813159942627,17
17,53.76101632416248,0.8575267102834591,0.3979036046000247,0.24057450628366248,1.1084798212556185e-05,1727748232,,False,18,0edc5aeb,2024-10-01_02-03-52,0.3168191909790039,6.282632350921631,13037,53f2743d91cf,172.17.0.2,6.282632350921631,18
18,53.80567741394043,0.8575220209780765,0.39781532342339027,0.24057450628366248,1.1084798212556185e-05,1727748233,,False,19,0edc5aeb,2024-10-01_02-03-53,0.30898022651672363,6.5916125774383545,13037,53f2743d91cf,172.17.0.2,6.5916125774383545,19
19,53.66751489788294,0.8575032637565463,0.3977558262898632,0.24014336917562723,2.1899554501267443e-06,1727748233,,False,20,0edc5aeb,2024-10-01_02-03-53,0.3133058547973633,6.904918432235718,13037,53f2743d91cf,172.17.0.2,6.904918432235718,20
