epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,561.4217516481876,0.680201618818544,0.20509487797835266,0.0,2.8443349440133878e-05,1727748517,,False,1,12477326,2024-10-01_02-08-37,1.895491123199463,1.895491123199463,16956,53f2743d91cf,172.17.0.2,1.895491123199463,1
1,348.37392204254866,0.7823574180425115,0.2668301718742055,0.0,2.8443349440133878e-05,1727748518,,False,2,12477326,2024-10-01_02-08-38,1.2307956218719482,3.126286745071411,16956,53f2743d91cf,172.17.0.2,3.126286745071411,2
2,316.3194175288081,0.8065501009669394,0.28909940217001195,0.0,4.6213347959457405e-06,1727748519,,False,3,12477326,2024-10-01_02-08-39,1.2436583042144775,4.369945049285889,16956,53f2743d91cf,172.17.0.2,4.369945049285889,3
3,304.90758569538593,0.8085330109217578,0.29130836887461414,0.0,4.6213347959457405e-06,1727748521,,False,4,12477326,2024-10-01_02-08-41,1.2386138439178467,5.608558893203735,16956,53f2743d91cf,172.17.0.2,5.608558893203735,4
4,305.7684765420854,0.810383004866695,0.2932681936497046,0.0,4.6213347959457405e-06,1727748522,,False,5,12477326,2024-10-01_02-08-42,1.3612487316131592,6.9698076248168945,16956,53f2743d91cf,172.17.0.2,6.9698076248168945,5
5,301.9637184590101,0.8120026110611719,0.29473471534146833,0.0,7.508516302262304e-07,1727748523,,False,6,12477326,2024-10-01_02-08-43,1.368025302886963,8.337832927703857,16956,53f2743d91cf,172.17.0.2,8.337832927703857,6
6,299.49546306952834,0.8122320142485961,0.2949553128496872,0.0,7.508516302262304e-07,1727748525,,False,7,12477326,2024-10-01_02-08-45,1.3394911289215088,9.677324056625366,16956,53f2743d91cf,172.17.0.2,9.677324056625366,7
7,296.49827060475945,0.8124564946208399,0.2952649057522387,0.0,7.508516302262304e-07,1727748526,,False,8,12477326,2024-10-01_02-08-46,1.6305220127105713,11.307846069335938,16956,53f2743d91cf,172.17.0.2,11.307846069335938,8
8,299.04396515339613,0.8127213420775657,0.2955930615005771,0.0,1.219946607434687e-07,1727748530,,False,9,12477326,2024-10-01_02-08-50,1.5804688930511475,12.888314962387085,16956,53f2743d91cf,172.17.0.2,12.888314962387085,9
9,298.7777061648667,0.8127420179013252,0.29560675130133485,0.0,1.219946607434687e-07,1727748532,,False,10,12477326,2024-10-01_02-08-52,2.0992794036865234,14.987594366073608,16956,53f2743d91cf,172.17.0.2,14.987594366073608,10
10,301.7409618347883,0.8127961688683136,0.2956970124241482,0.0,1.219946607434687e-07,1727748534,,False,11,12477326,2024-10-01_02-08-54,1.5146691799163818,16.50226354598999,16956,53f2743d91cf,172.17.0.2,16.50226354598999,11
11,298.23703329637647,0.8128276748854708,0.29572700037044763,0.0,1.9821089348144442e-08,1727748535,,False,12,12477326,2024-10-01_02-08-55,1.549792766571045,18.052056312561035,16956,53f2743d91cf,172.17.0.2,18.052056312561035,12
12,300.54086158052087,0.8128335822636876,0.29573428197781215,0.0,1.9821089348144442e-08,1727748537,,False,13,12477326,2024-10-01_02-08-57,1.4420835971832275,19.494139909744263,16956,53f2743d91cf,172.17.0.2,19.494139909744263,13
13,296.3377433158457,0.8128424433310131,0.2957493162410997,0.0,1.9821089348144442e-08,1727748538,,False,14,12477326,2024-10-01_02-08-58,1.3305079936981201,20.824647903442383,16956,53f2743d91cf,172.17.0.2,20.824647903442383,14
14,300.63556852936745,0.8128463815831577,0.29576578714409474,0.0,3.2204326037945775e-09,1727748539,,False,15,12477326,2024-10-01_02-08-59,1.4352409839630127,22.259888887405396,16956,53f2743d91cf,172.17.0.2,22.259888887405396,15
15,297.68258983269334,0.8128473661461939,0.2957663976877564,0.0,3.2204326037945775e-09,1727748541,,True,16,12477326,2024-10-01_02-09-01,1.252108097076416,23.51199698448181,16956,53f2743d91cf,172.17.0.2,23.51199698448181,16
