epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2157.4947900240827,0.8566931918656058,0.37869158223315375,0.0,0.0017966511989271588,1727749436,,False,1,126ab3f9,2024-10-01_02-23-56,11.337480306625366,11.337480306625366,25264,53f2743d91cf,172.17.0.2,11.337480306625366,1
1,2071.632278237984,0.8536840554081934,0.3746305153472576,0.0,0.0017966511989271588,1727749448,,False,2,126ab3f9,2024-10-01_02-24-08,12.291878461837769,23.629358768463135,25264,53f2743d91cf,172.17.0.2,23.629358768463135,2
2,2058.2308468230935,0.8492730130661166,0.3804207205193677,0.0,0.0017966511989271588,1727749458,,False,3,126ab3f9,2024-10-01_02-24-18,10.20560622215271,33.834964990615845,25264,53f2743d91cf,172.17.0.2,33.834964990615845,3
3,2020.2258216041566,0.85771588564692,0.40790310914410743,0.0,0.0017966511989271588,1727749467,,False,4,126ab3f9,2024-10-01_02-24-27,8.560005903244019,42.39497089385986,25264,53f2743d91cf,172.17.0.2,42.39497089385986,4
4,2010.242431087218,0.8508212987523333,0.3636899189574024,0.0,0.0017966511989271588,1727749476,,False,5,126ab3f9,2024-10-01_02-24-36,8.836366891860962,51.231337785720825,25264,53f2743d91cf,172.17.0.2,51.231337785720825,5
5,2030.46053736359,0.8511273209549073,0.3799363111764898,0.0,0.0017966511989271588,1727749485,,False,6,126ab3f9,2024-10-01_02-24-45,9.094927549362183,60.32626533508301,25264,53f2743d91cf,172.17.0.2,60.32626533508301,6
6,2021.1999820394744,0.8505231358679635,0.37927278576862133,0.0,0.0017966511989271588,1727749493,,False,7,126ab3f9,2024-10-01_02-24-53,8.567179441452026,68.89344477653503,25264,53f2743d91cf,172.17.0.2,68.89344477653503,7
7,2002.0835282738992,0.8567766971215247,0.38335023437209376,0.0,0.0017966511989271588,1727749506,,False,8,126ab3f9,2024-10-01_02-25-06,12.69538164138794,81.58882641792297,25264,53f2743d91cf,172.17.0.2,81.58882641792297,8
8,2002.4780712017093,0.8500668042047352,0.363192390663025,0.0,0.0017966511989271588,1727749519,,False,9,126ab3f9,2024-10-01_02-25-19,12.679338455200195,94.26816487312317,25264,53f2743d91cf,172.17.0.2,94.26816487312317,9
9,1979.4097150915597,0.8503173199724924,0.36656370874435584,0.0,0.00040535967454299724,1727749531,,False,10,126ab3f9,2024-10-01_02-25-31,12.399498462677002,106.66766333580017,25264,53f2743d91cf,172.17.0.2,106.66766333580017,10
10,1889.5064297841097,0.8536609686609686,0.375991585885478,0.0,0.00040535967454299724,1727749542,,False,11,126ab3f9,2024-10-01_02-25-42,10.928683519363403,117.59634685516357,25264,53f2743d91cf,172.17.0.2,117.59634685516357,11
11,1879.8811916309837,0.8532576873956184,0.37490449331626546,0.0,0.00040535967454299724,1727749553,,False,12,126ab3f9,2024-10-01_02-25-53,10.323865413665771,127.92021226882935,25264,53f2743d91cf,172.17.0.2,127.92021226882935,12
12,1862.9129635881725,0.8527163768543078,0.37280736174210044,0.0,0.00040535967454299724,1727749563,,False,13,126ab3f9,2024-10-01_02-26-03,10.594305992126465,138.5145182609558,25264,53f2743d91cf,172.17.0.2,138.5145182609558,13
13,1850.6915129900078,0.8520129678750369,0.3686252847089197,0.0,0.00040535967454299724,1727749574,,False,14,126ab3f9,2024-10-01_02-26-14,10.51193356513977,149.02645182609558,25264,53f2743d91cf,172.17.0.2,149.02645182609558,14
14,1840.0219673041756,0.8513016995775616,0.3705510521989779,0.0,0.00040535967454299724,1727749584,,False,15,126ab3f9,2024-10-01_02-26-24,10.697487831115723,159.7239396572113,25264,53f2743d91cf,172.17.0.2,159.7239396572113,15
15,1832.3735547749689,0.8517938893800963,0.36670790624046706,0.015151515151515152,0.00040535967454299724,1727749595,,True,16,126ab3f9,2024-10-01_02-26-35,10.867383241653442,170.59132289886475,25264,53f2743d91cf,172.17.0.2,170.59132289886475,16
