epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,67.36278291791677,0.8515614617940198,0.3922457951010369,0.0,0.0016359750085429632,1727748496,,False,1,1b3837e0,2024-10-01_02-08-16,1.4714903831481934,1.4714903831481934,16502,53f2743d91cf,172.17.0.2,1.4714903831481934,1
1,61.46751953288913,0.8548675710594316,0.40420797828898114,0.0,0.0016359750085429632,1727748496,,False,2,1b3837e0,2024-10-01_02-08-16,0.5797481536865234,2.051238536834717,16502,53f2743d91cf,172.17.0.2,2.051238536834717,2
2,60.278449319303036,0.8573191214470284,0.399990156901339,0.0,0.0016359750085429632,1727748497,,False,3,1b3837e0,2024-10-01_02-08-17,0.6213912963867188,2.6726298332214355,16502,53f2743d91cf,172.17.0.2,2.6726298332214355,3
3,59.35512647032738,0.8558730158730158,0.3999260363799959,0.0,0.0016359750085429632,1727748498,,False,4,1b3837e0,2024-10-01_02-08-18,0.6930503845214844,3.36568021774292,16502,53f2743d91cf,172.17.0.2,3.36568021774292,4
4,58.776102781295776,0.8501624215577703,0.38958285741652465,0.0,0.0003240805410371306,1727748498,,False,5,1b3837e0,2024-10-01_02-08-18,0.6243331432342529,3.990013360977173,16502,53f2743d91cf,172.17.0.2,3.990013360977173,5
5,55.342023991048336,0.8530841638981174,0.3930847244264228,0.0,0.0003240805410371306,1727748499,,False,6,1b3837e0,2024-10-01_02-08-19,0.6587202548980713,4.648733615875244,16502,53f2743d91cf,172.17.0.2,4.648733615875244,6
6,54.26645094901323,0.8508130306386119,0.388926252765754,0.15810276679841898,0.0003240805410371306,1727748500,,False,7,1b3837e0,2024-10-01_02-08-20,0.567084550857544,5.215818166732788,16502,53f2743d91cf,172.17.0.2,5.215818166732788,7
7,53.3567875996232,0.8515227021040974,0.38641333199180344,0.24329159212880144,0.0003240805410371306,1727748500,,False,8,1b3837e0,2024-10-01_02-08-20,0.5630569458007812,5.778875112533569,16502,53f2743d91cf,172.17.0.2,5.778875112533569,8
8,52.6473640948534,0.8505389442598745,0.3840634675764113,0.271356783919598,0.0003240805410371306,1727748501,,False,9,1b3837e0,2024-10-01_02-08-21,0.5808606147766113,6.359735727310181,16502,53f2743d91cf,172.17.0.2,6.359735727310181,9
9,51.75182990729809,0.8491519010705056,0.3801793717557011,0.13539651837524178,6.419914517671012e-05,1727748501,,False,10,1b3837e0,2024-10-01_02-08-21,0.5973067283630371,6.957042455673218,16502,53f2743d91cf,172.17.0.2,6.957042455673218,10
10,49.99306895583868,0.8496068660022149,0.38090955330143034,0.24957841483979765,6.419914517671012e-05,1727748502,,False,11,1b3837e0,2024-10-01_02-08-22,0.6580476760864258,7.6150901317596436,16502,53f2743d91cf,172.17.0.2,7.6150901317596436,11
11,49.51799997314811,0.8493530823181986,0.38030988677851263,0.2750809061488673,6.419914517671012e-05,1727748503,,False,12,1b3837e0,2024-10-01_02-08-23,0.6301414966583252,8.245231628417969,16502,53f2743d91cf,172.17.0.2,8.245231628417969,12
12,49.15651983395219,0.8490383905500185,0.3808183062194206,0.27608346709470305,6.419914517671012e-05,1727748505,,False,13,1b3837e0,2024-10-01_02-08-25,0.71128249168396,8.956514120101929,16502,53f2743d91cf,172.17.0.2,8.956514120101929,13
13,48.71673770621419,0.8489774824658545,0.38125267574938887,0.2755267423014587,6.419914517671012e-05,1727748506,,False,14,1b3837e0,2024-10-01_02-08-26,0.6380484104156494,9.594562530517578,16502,53f2743d91cf,172.17.0.2,9.594562530517578,14
14,48.680240742862225,0.8487873754152824,0.3808547665522391,0.30387596899224806,1.2717610962480125e-05,1727748507,,False,15,1b3837e0,2024-10-01_02-08-27,0.6291604042053223,10.2237229347229,16502,53f2743d91cf,172.17.0.2,10.2237229347229,15
15,48.44217613339424,0.8486166482096716,0.38061212496745433,0.29906542056074764,1.2717610962480125e-05,1727748507,,False,16,1b3837e0,2024-10-01_02-08-27,0.6205167770385742,10.844239711761475,16502,53f2743d91cf,172.17.0.2,10.844239711761475,16
16,48.00688145309687,0.8485502030269472,0.3807134855494784,0.2995319812792512,1.2717610962480125e-05,1727748508,,False,17,1b3837e0,2024-10-01_02-08-28,0.7457754611968994,11.590015172958374,16502,53f2743d91cf,172.17.0.2,11.590015172958374,17
17,47.85049008950591,0.8484210040605388,0.38057262652597024,0.30387596899224806,1.2717610962480125e-05,1727748509,,False,18,1b3837e0,2024-10-01_02-08-29,0.5961108207702637,12.186125993728638,16502,53f2743d91cf,172.17.0.2,12.186125993728638,18
18,47.826390475034714,0.8482918050941307,0.3805117290997188,0.29375,1.2717610962480125e-05,1727748509,,False,19,1b3837e0,2024-10-01_02-08-29,0.6367716789245605,12.822897672653198,16502,53f2743d91cf,172.17.0.2,12.822897672653198,19
19,47.94551528990269,0.8482613510520487,0.38028984677426036,0.29375,2.519311248581377e-06,1727748510,,False,20,1b3837e0,2024-10-01_02-08-30,0.6008830070495605,13.423780679702759,16502,53f2743d91cf,172.17.0.2,13.423780679702759,20
