epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,73.19425592571497,0.8449757818405801,0.3394964175073977,0.0,0.0017554463780522004,1727748487,,False,1,1c04d4cb,2024-10-01_02-08-07,1.0851774215698242,1.0851774215698242,16309,53f2743d91cf,172.17.0.2,1.0851774215698242,1
1,62.103752702474594,0.8461066958911123,0.33577277034419833,0.0,0.0017554463780522004,1727748487,,False,2,1c04d4cb,2024-10-01_02-08-07,0.2937014102935791,1.3788788318634033,16309,53f2743d91cf,172.17.0.2,1.3788788318634033,2
2,61.04193199425936,0.8478225654850231,0.34185158842531116,0.005194805194805195,0.0017554463780522004,1727748488,,False,3,1c04d4cb,2024-10-01_02-08-08,0.2858273983001709,1.6647062301635742,16309,53f2743d91cf,172.17.0.2,1.6647062301635742,3
3,60.63288593292236,0.8468286410232824,0.3356324633157132,0.020151133501259445,0.0017554463780522004,1727748488,,False,4,1c04d4cb,2024-10-01_02-08-08,0.2947869300842285,1.9594931602478027,16309,53f2743d91cf,172.17.0.2,1.9594931602478027,4
4,60.11835687607527,0.8471806142733153,0.3397644449157796,0.025,0.0003857051312343263,1727748488,,False,5,1c04d4cb,2024-10-01_02-08-08,0.3015310764312744,2.261024236679077,16309,53f2743d91cf,172.17.0.2,2.261024236679077,5
5,58.559194549918175,0.8484235198124942,0.34149983438898823,0.10222222222222223,0.0003857051312343263,1727748489,,False,6,1c04d4cb,2024-10-01_02-08-09,0.32555365562438965,2.586577892303467,16309,53f2743d91cf,172.17.0.2,2.586577892303467,6
6,58.19948039203882,0.8485655090213144,0.340728307992456,0.08256880733944955,0.0003857051312343263,1727748489,,False,7,1c04d4cb,2024-10-01_02-08-09,0.305661678314209,2.892239570617676,16309,53f2743d91cf,172.17.0.2,2.892239570617676,7
7,57.9726495295763,0.8482875301477087,0.34009824939733313,0.08181818181818182,0.0003857051312343263,1727748489,,False,8,1c04d4cb,2024-10-01_02-08-09,0.31493639945983887,3.2071759700775146,16309,53f2743d91cf,172.17.0.2,3.2071759700775146,8
8,57.804599799215794,0.8485575096292681,0.3415941078644178,0.09843400447427293,0.0003857051312343263,1727748490,,False,9,1c04d4cb,2024-10-01_02-08-10,0.28012776374816895,3.4873037338256836,16309,53f2743d91cf,172.17.0.2,3.4873037338256836,9
9,57.6184868812561,0.8487784928345447,0.34173285208489973,0.10690423162583519,8.474679154002907e-05,1727748490,,False,10,1c04d4cb,2024-10-01_02-08-10,0.3039112091064453,3.791214942932129,16309,53f2743d91cf,172.17.0.2,3.791214942932129,10
10,57.122416757047176,0.8486954991420652,0.34127983147479724,0.10337078651685393,8.474679154002907e-05,1727748490,,False,11,1c04d4cb,2024-10-01_02-08-10,0.3140130043029785,4.105227947235107,16309,53f2743d91cf,172.17.0.2,4.105227947235107,11
11,57.16649241745472,0.8487464952663597,0.3407684116098449,0.10267857142857142,8.474679154002907e-05,1727748490,,False,12,1c04d4cb,2024-10-01_02-08-10,0.2994248867034912,4.404652833938599,16309,53f2743d91cf,172.17.0.2,4.404652833938599,12
12,56.98994895070791,0.8488644862990413,0.34117303391120585,0.11061946902654868,8.474679154002907e-05,1727748491,,False,13,1c04d4cb,2024-10-01_02-08-11,0.29276156425476074,4.697414398193359,16309,53f2743d91cf,172.17.0.2,4.697414398193359,13
13,56.98806211352348,0.8488174898707699,0.3409689421849216,0.11061946902654868,8.474679154002907e-05,1727748491,,False,14,1c04d4cb,2024-10-01_02-08-11,0.27881932258605957,4.976233720779419,16309,53f2743d91cf,172.17.0.2,4.976233720779419,14
14,56.942774049937725,0.8489104828033069,0.34122915806115595,0.11479028697571744,1.8620490355794287e-05,1727748491,,False,15,1c04d4cb,2024-10-01_02-08-11,0.2706902027130127,5.246923923492432,16309,53f2743d91cf,172.17.0.2,5.246923923492432,15
15,56.856129825115204,0.8489004835632493,0.3412694418257731,0.11061946902654868,1.8620490355794287e-05,1727748492,,True,16,1c04d4cb,2024-10-01_02-08-12,0.2928338050842285,5.53975772857666,16309,53f2743d91cf,172.17.0.2,5.53975772857666,16
