epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,55.787359446287155,0.6426527748043482,0.20331018790604274,0.0,0.001465600674140976,1727749356,,False,1,24c01f9c,2024-10-01_02-22-36,0.7641148567199707,0.7641148567199707,23769,53f2743d91cf,172.17.0.2,0.7641148567199707,1
1,41.23835849761963,0.8056737791098741,0.3008867229612846,0.0,0.001465600674140976,1727749356,,False,2,24c01f9c,2024-10-01_02-22-36,0.1939232349395752,0.9580380916595459,23769,53f2743d91cf,172.17.0.2,0.9580380916595459,2
2,37.14779311418533,0.8285135231570684,0.3195817082548614,0.0,0.001465600674140976,1727749356,,False,3,24c01f9c,2024-10-01_02-22-36,0.15802526473999023,1.1160633563995361,23769,53f2743d91cf,172.17.0.2,1.1160633563995361,3
3,35.1598946750164,0.8366964009610124,0.3295320126680164,0.0,0.001465600674140976,1727749356,,False,4,24c01f9c,2024-10-01_02-22-36,0.14769411087036133,1.2637574672698975,23769,53f2743d91cf,172.17.0.2,1.2637574672698975,4
4,33.737179175019264,0.8423587621018578,0.33766459634259754,0.0,0.001465600674140976,1727749356,,False,5,24c01f9c,2024-10-01_02-22-36,0.16302132606506348,1.426778793334961,23769,53f2743d91cf,172.17.0.2,1.426778793334961,5
5,32.85445974767208,0.8458279216917625,0.3449266010511084,0.0,0.001465600674140976,1727749357,,False,6,24c01f9c,2024-10-01_02-22-37,0.15494036674499512,1.581719160079956,23769,53f2743d91cf,172.17.0.2,1.581719160079956,6
6,32.528838232159615,0.848305620971003,0.3506719863236241,0.0,0.001465600674140976,1727749357,,False,7,24c01f9c,2024-10-01_02-22-37,0.14341211318969727,1.7251312732696533,23769,53f2743d91cf,172.17.0.2,1.7251312732696533,7
7,31.90781879425049,0.8496653107828446,0.35153007375144824,0.0,0.001465600674140976,1727749357,,False,8,24c01f9c,2024-10-01_02-22-37,0.14070796966552734,1.8658392429351807,23769,53f2743d91cf,172.17.0.2,1.8658392429351807,8
8,31.654294967651367,0.8507271819025192,0.3593455802930161,0.0,0.001465600674140976,1727749357,,False,9,24c01f9c,2024-10-01_02-22-37,0.16818904876708984,2.0340282917022705,23769,53f2743d91cf,172.17.0.2,2.0340282917022705,9
9,31.332203537225723,0.8519812555008446,0.3625087362014314,0.0,0.0004452277359798207,1727749357,,False,10,24c01f9c,2024-10-01_02-22-37,0.16520977020263672,2.1992380619049072,23769,53f2743d91cf,172.17.0.2,2.1992380619049072,10
10,31.0131828635931,0.8517291086847929,0.3624751369126625,0.0,0.0004452277359798207,1727749357,,False,11,24c01f9c,2024-10-01_02-22-37,0.14636492729187012,2.3456029891967773,23769,53f2743d91cf,172.17.0.2,2.3456029891967773,11
11,31.084695994853973,0.8518927662408715,0.361384673016108,0.0,0.0004452277359798207,1727749358,,False,12,24c01f9c,2024-10-01_02-22-38,0.15372061729431152,2.499323606491089,23769,53f2743d91cf,172.17.0.2,2.499323606491089,12
12,31.0280689150095,0.8519308261376342,0.361510319552883,0.0,0.0004452277359798207,1727749358,,False,13,24c01f9c,2024-10-01_02-22-38,0.163862943649292,2.663186550140381,23769,53f2743d91cf,172.17.0.2,2.663186550140381,13
13,30.991039037704468,0.8522324508194771,0.3606586466413133,0.0,0.0004452277359798207,1727749358,,False,14,24c01f9c,2024-10-01_02-22-38,0.1508798599243164,2.8140664100646973,23769,53f2743d91cf,172.17.0.2,2.8140664100646973,14
14,31.141648024320602,0.8518052284783177,0.3599068103475927,0.0,0.0004452277359798207,1727749358,,False,15,24c01f9c,2024-10-01_02-22-38,0.14879560470581055,2.962862014770508,23769,53f2743d91cf,172.17.0.2,2.962862014770508,15
15,31.194827750325203,0.8521725064820761,0.3621345781364904,0.0,0.0004452277359798207,1727749358,,True,16,24c01f9c,2024-10-01_02-22-38,0.14798641204833984,3.1108484268188477,23769,53f2743d91cf,172.17.0.2,3.1108484268188477,16
