epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,74.08321715891361,0.8322927477944991,0.32229733405309546,0.0,0.0015979889798388089,1727748185,,False,1,28f821ed,2024-10-01_02-03-05,1.193302869796753,1.193302869796753,12062,53f2743d91cf,172.17.0.2,1.193302869796753,1
1,62.427424751222134,0.8343887843798651,0.3213512908650093,0.0,0.0015979889798388089,1727748185,,False,2,28f821ed,2024-10-01_02-03-05,0.3921470642089844,1.5854499340057373,12062,53f2743d91cf,172.17.0.2,1.5854499340057373,2
2,61.600696355104446,0.8410833306305138,0.33551954005084017,0.0,0.0015979889798388089,1727748186,,False,3,28f821ed,2024-10-01_02-03-06,0.4124901294708252,1.9979400634765625,12062,53f2743d91cf,172.17.0.2,1.9979400634765625,3
3,60.5202642083168,0.8440662298910224,0.3444421965674239,0.0,0.0015979889798388089,1727748186,,False,4,28f821ed,2024-10-01_02-03-06,0.5096545219421387,2.507594585418701,12062,53f2743d91cf,172.17.0.2,2.507594585418701,4
4,59.69268298894167,0.8481174185910741,0.35263893239858,0.0,0.0003424647047171238,1727748187,,False,5,28f821ed,2024-10-01_02-03-07,0.404695987701416,2.912290573120117,12062,53f2743d91cf,172.17.0.2,2.912290573120117,5
5,57.65101819485426,0.8471454170991178,0.34471377814698256,0.0,0.0003424647047171238,1727748187,,False,6,28f821ed,2024-10-01_02-03-07,0.4673619270324707,3.379652500152588,12062,53f2743d91cf,172.17.0.2,3.379652500152588,6
6,57.02484853565693,0.8474281995978206,0.3428560864432044,0.13626373626373625,0.0003424647047171238,1727748187,,False,7,28f821ed,2024-10-01_02-03-07,0.41117095947265625,3.790823459625244,12062,53f2743d91cf,172.17.0.2,3.790823459625244,7
7,56.474316127598286,0.8469356107291125,0.3387750326729897,0.17515274949083504,0.0003424647047171238,1727748188,,False,8,28f821ed,2024-10-01_02-03-08,0.4320802688598633,4.222903728485107,12062,53f2743d91cf,172.17.0.2,4.222903728485107,8
8,56.164539739489555,0.8470197359885834,0.34079933966017606,0.2049335863377609,0.0003424647047171238,1727748188,,False,9,28f821ed,2024-10-01_02-03-08,0.3806900978088379,4.603593826293945,12062,53f2743d91cf,172.17.0.2,4.603593826293945,9
9,55.69434481114149,0.8476714533601453,0.3405301282245097,0.22385321100917432,7.339354367063106e-05,1727748189,,False,10,28f821ed,2024-10-01_02-03-09,0.437288761138916,5.040882587432861,12062,53f2743d91cf,172.17.0.2,5.040882587432861,10
10,54.86314823850989,0.8475782060845876,0.34085349783777324,0.2185792349726776,7.339354367063106e-05,1727748191,,False,11,28f821ed,2024-10-01_02-03-11,0.4060840606689453,5.446966648101807,12062,53f2743d91cf,172.17.0.2,5.446966648101807,11
11,54.60257152467966,0.8478447716658019,0.34268317671057186,0.21851851851851853,7.339354367063106e-05,1727748192,,False,12,28f821ed,2024-10-01_02-03-12,0.41793084144592285,5.8648974895477295,12062,53f2743d91cf,172.17.0.2,5.8648974895477295,12
12,54.37618326023221,0.8478143649455111,0.34283904701402323,0.21851851851851853,7.339354367063106e-05,1727748192,,False,13,28f821ed,2024-10-01_02-03-12,0.43203210830688477,6.296929597854614,12062,53f2743d91cf,172.17.0.2,6.296929597854614,13
13,54.412880800664425,0.8475265146600935,0.3420105228604243,0.23214285714285715,7.339354367063106e-05,1727748193,,False,14,28f821ed,2024-10-01_02-03-13,0.39838624000549316,6.695315837860107,12062,53f2743d91cf,172.17.0.2,6.695315837860107,14
14,54.121281303465366,0.8476673991307733,0.3430308654224721,0.22262773722627738,1.5728955943013678e-05,1727748193,,False,15,28f821ed,2024-10-01_02-03-13,0.3950164318084717,7.090332269668579,12062,53f2743d91cf,172.17.0.2,7.090332269668579,15
15,54.0244784578681,0.8476065856901921,0.34278999596047766,0.22939068100358423,1.5728955943013678e-05,1727748193,,False,16,28f821ed,2024-10-01_02-03-13,0.3694303035736084,7.4597625732421875,12062,53f2743d91cf,172.17.0.2,7.4597625732421875,16
16,53.782721132040024,0.8475903687727037,0.34255686348992237,0.22898032200357782,1.5728955943013678e-05,1727748194,,False,17,28f821ed,2024-10-01_02-03-14,0.38300061225891113,7.842763185501099,12062,53f2743d91cf,172.17.0.2,7.842763185501099,17
17,54.07056788355112,0.8475670569538143,0.3428202994747277,0.22857142857142856,1.5728955943013678e-05,1727748194,,False,18,28f821ed,2024-10-01_02-03-14,0.3933291435241699,8.236092329025269,12062,53f2743d91cf,172.17.0.2,8.236092329025269,18
18,53.846621222794056,0.8475113112999482,0.3424898953439405,0.2281639928698752,1.5728955943013678e-05,1727748195,,False,19,28f821ed,2024-10-01_02-03-15,0.5416889190673828,8.777781248092651,12062,53f2743d91cf,172.17.0.2,8.777781248092651,19
19,53.71998401731253,0.8475092841852622,0.34240959476358585,0.2281639928698752,3.3708694618633623e-06,1727748195,,False,20,28f821ed,2024-10-01_02-03-15,0.5542562007904053,9.332037448883057,12062,53f2743d91cf,172.17.0.2,9.332037448883057,20
