epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,139.85248909518123,0.8244907725672355,0.31338994467271064,0.0,0.0009187689108748631,1727748023,,False,1,2982e63d,2024-10-01_02-00-23,1.3243598937988281,1.3243598937988281,10309,53f2743d91cf,172.17.0.2,1.3243598937988281,1
1,125.43084625527263,0.8292298255542347,0.32319411433774387,0.0,0.0009187689108748631,1727748024,,False,2,2982e63d,2024-10-01_02-00-24,0.6927611827850342,2.0171210765838623,10309,53f2743d91cf,172.17.0.2,2.0171210765838623,2
2,125.06738360226154,0.8342518354216436,0.3319019477918452,0.0,0.0009187689108748631,1727748024,,False,3,2982e63d,2024-10-01_02-00-24,0.710655927658081,2.7277770042419434,10309,53f2743d91cf,172.17.0.2,2.7277770042419434,3
3,125.4104221817106,0.8356058505607864,0.3370257006046221,0.0,0.0009187689108748631,1727748025,,False,4,2982e63d,2024-10-01_02-00-25,0.740300178527832,3.4680771827697754,10309,53f2743d91cf,172.17.0.2,3.4680771827697754,4
4,124.26267106644809,0.836847347611578,0.3375567177619678,0.0,0.00029278477759675113,1727748026,,False,5,2982e63d,2024-10-01_02-00-26,0.6865532398223877,4.154630422592163,10309,53f2743d91cf,172.17.0.2,4.154630422592163,5
5,121.90323645249009,0.8382493134972332,0.340999778288615,0.0,0.00029278477759675113,1727748027,,False,6,2982e63d,2024-10-01_02-00-27,0.7124156951904297,4.867046117782593,10309,53f2743d91cf,172.17.0.2,4.867046117782593,6
6,121.2478268891573,0.8388190253369846,0.3403238841801589,0.0,0.00029278477759675113,1727748027,,False,7,2982e63d,2024-10-01_02-00-27,0.7294442653656006,5.596490383148193,10309,53f2743d91cf,172.17.0.2,5.596490383148193,7
7,121.38654267415404,0.8394542540383075,0.34062224211771397,0.0,0.00029278477759675113,1727748028,,False,8,2982e63d,2024-10-01_02-00-28,0.7360084056854248,6.332498788833618,10309,53f2743d91cf,172.17.0.2,6.332498788833618,8
8,120.51193208992481,0.838801933981792,0.3443570515648485,0.0,0.00029278477759675113,1727748029,,False,9,2982e63d,2024-10-01_02-00-29,0.7199587821960449,7.052457571029663,10309,53f2743d91cf,172.17.0.2,7.052457571029663,9
9,121.11990594863892,0.8386348185087983,0.34160907909995336,0.0,9.330194456705397e-05,1727748030,,False,10,2982e63d,2024-10-01_02-00-30,0.7341153621673584,7.7865729331970215,10309,53f2743d91cf,172.17.0.2,7.7865729331970215,10
10,120.21789379417896,0.839235864499736,0.34222438417091994,0.0,9.330194456705397e-05,1727748030,,False,11,2982e63d,2024-10-01_02-00-30,0.7914199829101562,8.577992916107178,10309,53f2743d91cf,172.17.0.2,8.577992916107178,11
11,119.05840058997273,0.8393574030255496,0.3443251581491136,0.0,9.330194456705397e-05,1727748031,,False,12,2982e63d,2024-10-01_02-00-31,0.7546546459197998,9.332647562026978,10309,53f2743d91cf,172.17.0.2,9.332647562026978,12
12,119.56637865677476,0.8390772947043386,0.3433295087339208,0.0,9.330194456705397e-05,1727748032,,False,13,2982e63d,2024-10-01_02-00-32,0.7837378978729248,10.116385459899902,10309,53f2743d91cf,172.17.0.2,10.116385459899902,13
13,119.24435095489025,0.8394808405908292,0.34360257388730536,0.0,9.330194456705397e-05,1727748033,,False,14,2982e63d,2024-10-01_02-00-33,0.786942720413208,10.90332818031311,10309,53f2743d91cf,172.17.0.2,10.90332818031311,14
14,119.08641723170877,0.8398122229776179,0.3446815710635213,0.0,2.9732600620320673e-05,1727748034,,False,15,2982e63d,2024-10-01_02-00-34,0.8653688430786133,11.768697023391724,10309,53f2743d91cf,172.17.0.2,11.768697023391724,15
15,118.7468830794096,0.8397761412277671,0.3442746747059029,0.0,2.9732600620320673e-05,1727748034,,False,16,2982e63d,2024-10-01_02-00-34,0.8029286861419678,12.571625709533691,10309,53f2743d91cf,172.17.0.2,12.571625709533691,16
16,118.28834518045187,0.8397951316224254,0.3442382073590661,0.0,2.9732600620320673e-05,1727748035,,False,17,2982e63d,2024-10-01_02-00-35,0.9618818759918213,13.533507585525513,10309,53f2743d91cf,172.17.0.2,13.533507585525513,17
17,118.23952475562692,0.8399755403716801,0.3452600772169908,0.0,2.9732600620320673e-05,1727748036,,False,18,2982e63d,2024-10-01_02-00-36,0.8240220546722412,14.357529640197754,10309,53f2743d91cf,172.17.0.2,14.357529640197754,18
18,118.75145724415779,0.8398084248986861,0.34386371459189957,0.0,2.9732600620320673e-05,1727748037,,False,19,2982e63d,2024-10-01_02-00-37,1.2041399478912354,15.56166958808899,10309,53f2743d91cf,172.17.0.2,15.56166958808899,19
19,118.72423002123833,0.8398141220170837,0.34379150114430884,0.0,9.474910129147017e-06,1727748039,,False,20,2982e63d,2024-10-01_02-00-39,1.1940054893493652,16.755675077438354,10309,53f2743d91cf,172.17.0.2,16.755675077438354,20
