epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,532.9197916862468,0.8538011640147065,0.3928024981058425,0.0,0.001139010184821737,1727749371,,False,1,307d1be9,2024-10-01_02-22-51,1.950157880783081,1.950157880783081,24095,53f2743d91cf,172.17.0.2,1.950157880783081,1
1,496.9870399636857,0.8558740407939098,0.40279919841753037,0.052132701421800945,0.001139010184821737,1727749373,,False,2,307d1be9,2024-10-01_02-22-53,1.3599467277526855,3.3101046085357666,24095,53f2743d91cf,172.17.0.2,3.3101046085357666,2
2,491.7674216213345,0.8550235320142184,0.3915016669965792,0.01927710843373494,0.001139010184821737,1727749374,,False,3,307d1be9,2024-10-01_02-22-54,1.3280558586120605,4.638160467147827,24095,53f2743d91cf,172.17.0.2,4.638160467147827,3
3,486.13376848113694,0.8539861401394376,0.40286733734920804,0.0,0.001139010184821737,1727749375,,False,4,307d1be9,2024-10-01_02-22-55,1.3942992687225342,6.032459735870361,24095,53f2743d91cf,172.17.0.2,6.032459735870361,4
4,481.5606333352698,0.8576990114265663,0.40786156602044715,0.033734939759036145,0.001139010184821737,1727749377,,False,5,307d1be9,2024-10-01_02-22-57,1.4044764041900635,7.436936140060425,24095,53f2743d91cf,172.17.0.2,7.436936140060425,5
5,479.4529180098034,0.8558330409312118,0.3929044056595734,0.04245283018867924,0.001139010184821737,1727749378,,False,6,307d1be9,2024-10-01_02-22-58,1.617715835571289,9.054651975631714,24095,53f2743d91cf,172.17.0.2,9.054651975631714,6
6,475.35984114169696,0.8525110985674839,0.3904891889991546,0.0,0.001139010184821737,1727749380,,False,7,307d1be9,2024-10-01_02-23-00,1.5534768104553223,10.608128786087036,24095,53f2743d91cf,172.17.0.2,10.608128786087036,7
7,469.3682901670327,0.85129063753833,0.38095690874008775,0.0967032967032967,0.001139010184821737,1727749382,,False,8,307d1be9,2024-10-01_02-23-02,1.7411177158355713,12.349246501922607,24095,53f2743d91cf,172.17.0.2,12.349246501922607,8
8,468.5129719253491,0.8579326152954277,0.3969151029628526,0.05517241379310345,0.001139010184821737,1727749383,,False,9,307d1be9,2024-10-01_02-23-03,1.5790448188781738,13.928291320800781,24095,53f2743d91cf,172.17.0.2,13.928291320800781,9
9,462.64335801934794,0.8486342278295625,0.3687273899012091,0.2033898305084746,0.0002863738683442695,1727749385,,False,10,307d1be9,2024-10-01_02-23-05,1.5419411659240723,15.470232486724854,24095,53f2743d91cf,172.17.0.2,15.470232486724854,10
10,451.3238214254052,0.8543923248257029,0.38935602514504053,0.05034324942791762,0.0002863738683442695,1727749386,,False,11,307d1be9,2024-10-01_02-23-06,1.4203875064849854,16.89061999320984,24095,53f2743d91cf,172.17.0.2,16.89061999320984,11
11,447.76619013148957,0.8532986773253597,0.3848635928054646,0.12393162393162394,0.0002863738683442695,1727749388,,False,12,307d1be9,2024-10-01_02-23-08,1.6726913452148438,18.563311338424683,24095,53f2743d91cf,172.17.0.2,18.563311338424683,12
12,446.02540181177574,0.8540976979053837,0.3837334385484984,0.13924050632911392,0.0002863738683442695,1727749390,,False,13,307d1be9,2024-10-01_02-23-10,1.5954058170318604,20.158717155456543,24095,53f2743d91cf,172.17.0.2,20.158717155456543,13
13,445.3212807795371,0.8543408366260354,0.38510940562908047,0.09333333333333334,0.0002863738683442695,1727749393,,False,14,307d1be9,2024-10-01_02-23-13,1.5547339916229248,21.713451147079468,24095,53f2743d91cf,172.17.0.2,21.713451147079468,14
14,444.10802699601663,0.8563879693054051,0.3929138436614267,0.07674943566591422,0.0002863738683442695,1727749394,,False,15,307d1be9,2024-10-01_02-23-14,1.5582756996154785,23.271726846694946,24095,53f2743d91cf,172.17.0.2,23.271726846694946,15
15,441.2610488978371,0.8538669544920593,0.3816248954195577,0.12366737739872068,0.0002863738683442695,1727749396,,True,16,307d1be9,2024-10-01_02-23-16,1.8491160869598389,25.120842933654785,24095,53f2743d91cf,172.17.0.2,25.120842933654785,16
