epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,234.6279961168766,0.6679369518805065,0.19755140104144064,0.0,0.00010313799262276633,1727748042,,False,1,3554872a,2024-10-01_02-00-42,1.075164556503296,1.075164556503296,10802,53f2743d91cf,172.17.0.2,1.075164556503296,1
1,167.69144470989704,0.7896633693735143,0.2791406554773705,0.0,0.00010313799262276633,1727748042,,False,2,3554872a,2024-10-01_02-00-42,0.45444679260253906,1.529611349105835,10802,53f2743d91cf,172.17.0.2,1.529611349105835,2
2,152.8147289082408,0.8205154593407835,0.30442843279215864,0.0,3.9744831689543594e-05,1727748043,,False,3,3554872a,2024-10-01_02-00-43,0.4336845874786377,1.9632959365844727,10802,53f2743d91cf,172.17.0.2,1.9632959365844727,3
3,145.43956466019154,0.8256127436142692,0.3091083228178333,0.0,3.9744831689543594e-05,1727748043,,False,4,3554872a,2024-10-01_02-00-43,0.4031662940979004,2.366462230682373,10802,53f2743d91cf,172.17.0.2,2.366462230682373,4
4,142.45189560204744,0.8294457964557126,0.31338257326190877,0.0,3.9744831689543594e-05,1727748043,,False,5,3554872a,2024-10-01_02-00-43,0.3897826671600342,2.7562448978424072,10802,53f2743d91cf,172.17.0.2,2.7562448978424072,5
5,139.44974309578538,0.8322466795006841,0.31606233905596687,0.0,1.5315904506769134e-05,1727748044,,False,6,3554872a,2024-10-01_02-00-44,0.39905571937561035,3.1553006172180176,10802,53f2743d91cf,172.17.0.2,3.1553006172180176,6
6,138.45979960262775,0.8332233562973457,0.31735471066146076,0.0,1.5315904506769134e-05,1727748044,,False,7,3554872a,2024-10-01_02-00-44,0.38996171951293945,3.545262336730957,10802,53f2743d91cf,172.17.0.2,3.545262336730957,7
7,137.43524063378572,0.8341072084397789,0.3182032251416133,0.0,1.5315904506769134e-05,1727748045,,False,8,3554872a,2024-10-01_02-00-45,0.4326894283294678,3.977951765060425,10802,53f2743d91cf,172.17.0.2,3.977951765060425,8
8,136.77807318419218,0.8349269913915222,0.3196468105064804,0.0,5.90207382667532e-06,1727748045,,False,9,3554872a,2024-10-01_02-00-45,0.4146108627319336,4.392562627792358,10802,53f2743d91cf,172.17.0.2,4.392562627792358,9
9,136.58271514624357,0.83522211325415,0.31979646936545675,0.0,5.90207382667532e-06,1727748045,,False,10,3554872a,2024-10-01_02-00-45,0.3810420036315918,4.77360463142395,10802,53f2743d91cf,172.17.0.2,4.77360463142395,10
10,135.80169387161732,0.8355359009439864,0.3200351559847911,0.0,5.90207382667532e-06,1727748046,,False,11,3554872a,2024-10-01_02-00-46,0.3856778144836426,5.159282445907593,10802,53f2743d91cf,172.17.0.2,5.159282445907593,11
11,135.78939913585782,0.8357871328885822,0.320314446941488,0.0,2.274398840769094e-06,1727748046,,False,12,3554872a,2024-10-01_02-00-46,0.38357019424438477,5.5428526401519775,10802,53f2743d91cf,172.17.0.2,5.5428526401519775,12
12,135.99073105305433,0.8359546208516461,0.32050936133358354,0.0,2.274398840769094e-06,1727748046,,False,13,3554872a,2024-10-01_02-00-46,0.385575532913208,5.9284281730651855,10802,53f2743d91cf,172.17.0.2,5.9284281730651855,13
13,135.3477417230606,0.8360908309420896,0.3206078674217007,0.0,2.274398840769094e-06,1727748047,,False,14,3554872a,2024-10-01_02-00-47,0.3867819309234619,6.3152101039886475,10802,53f2743d91cf,172.17.0.2,6.3152101039886475,14
14,135.2105375751853,0.8361765928508872,0.3206605049964458,0.0,8.764529619253718e-07,1727748047,,False,15,3554872a,2024-10-01_02-00-47,0.38199496269226074,6.697205066680908,10802,53f2743d91cf,172.17.0.2,6.697205066680908,15
15,135.54211208969355,0.8362270410325331,0.32074805263199224,0.0,8.764529619253718e-07,1727748048,,True,16,3554872a,2024-10-01_02-00-48,0.3839833736419678,7.081188440322876,10802,53f2743d91cf,172.17.0.2,7.081188440322876,16
