epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,73.26226913183928,0.8478352022982174,0.364548240713776,0.0,0.0016123999392878706,1727748234,,False,1,358dc7e7,2024-10-01_02-03-54,0.8680408000946045,0.8680408000946045,13223,53f2743d91cf,172.17.0.2,0.8680408000946045,1
1,61.734401762485504,0.8520704779029724,0.3753384838867736,0.0,0.0016123999392878706,1727748236,,False,2,358dc7e7,2024-10-01_02-03-56,0.25955629348754883,1.1275970935821533,13223,53f2743d91cf,172.17.0.2,1.1275970935821533,2
2,60.75850313901901,0.8523736829530637,0.38094945036053207,0.0,0.0016123999392878706,1727748236,,False,3,358dc7e7,2024-10-01_02-03-56,0.2627909183502197,1.390388011932373,13223,53f2743d91cf,172.17.0.2,1.390388011932373,3
3,60.06047739088535,0.8529916071690723,0.3839134702502392,0.0,0.0016123999392878706,1727748236,,False,4,358dc7e7,2024-10-01_02-03-56,0.27068519592285156,1.6610732078552246,13223,53f2743d91cf,172.17.0.2,1.6610732078552246,4
4,59.392607651650906,0.8531240195010743,0.378748176210005,0.004975124378109453,0.00031909608976205515,1727748236,,False,5,358dc7e7,2024-10-01_02-03-56,0.2557389736175537,1.9168121814727783,13223,53f2743d91cf,172.17.0.2,1.9168121814727783,5
5,58.068180590867996,0.8530731654895084,0.3825165213880948,0.023809523809523808,0.00031909608976205515,1727748237,,False,6,358dc7e7,2024-10-01_02-03-57,0.24770116806030273,2.164513349533081,13223,53f2743d91cf,172.17.0.2,2.164513349533081,6
6,57.757911048829556,0.853050137257856,0.38321780176297415,0.028639618138424822,0.00031909608976205515,1727748237,,False,7,358dc7e7,2024-10-01_02-03-57,0.24910354614257812,2.413616895675659,13223,53f2743d91cf,172.17.0.2,2.413616895675659,7
7,57.56110768765211,0.852789150632461,0.3826162786722803,0.03317535545023697,0.00031909608976205515,1727748237,,False,8,358dc7e7,2024-10-01_02-03-57,0.246978759765625,2.660595655441284,13223,53f2743d91cf,172.17.0.2,2.660595655441284,8
8,57.34101492911577,0.852820814450983,0.38275199164959023,0.028708133971291867,0.00031909608976205515,1727748237,,False,9,358dc7e7,2024-10-01_02-03-57,0.2567713260650635,2.9173669815063477,13223,53f2743d91cf,172.17.0.2,2.9173669815063477,9
9,57.14821591973305,0.8528870206169838,0.38254809048789773,0.03309692671394799,6.314954002442111e-05,1727748238,,False,10,358dc7e7,2024-10-01_02-03-58,0.25229859352111816,3.169665575027466,13223,53f2743d91cf,172.17.0.2,3.169665575027466,10
10,56.75803105533123,0.8527699604394172,0.38250522558139943,0.03764705882352941,6.314954002442111e-05,1727748238,,False,11,358dc7e7,2024-10-01_02-03-58,0.2564842700958252,3.426149845123291,13223,53f2743d91cf,172.17.0.2,3.426149845123291,11
11,56.6571926176548,0.8526231554626326,0.3823010437629304,0.03764705882352941,6.314954002442111e-05,1727748238,,False,12,358dc7e7,2024-10-01_02-03-58,0.25184011459350586,3.677989959716797,13223,53f2743d91cf,172.17.0.2,3.677989959716797,12
12,56.63589984923601,0.8526116413468061,0.3826437432912251,0.05104408352668213,6.314954002442111e-05,1727748238,,False,13,358dc7e7,2024-10-01_02-03-58,0.25496339797973633,3.932953357696533,13223,53f2743d91cf,172.17.0.2,3.932953357696533,13
13,56.57820925116539,0.8525003382271524,0.38244606819318533,0.03764705882352941,6.314954002442111e-05,1727748239,,False,14,358dc7e7,2024-10-01_02-03-59,0.24895095825195312,4.181904315948486,13223,53f2743d91cf,172.17.0.2,4.181904315948486,14
14,56.56093377619982,0.8524389296094126,0.3825413607752245,0.05104408352668213,1.2497377853390967e-05,1727748239,,False,15,358dc7e7,2024-10-01_02-03-59,0.2628474235534668,4.444751739501953,13223,53f2743d91cf,172.17.0.2,4.444751739501953,15
15,56.468959145247936,0.8524293345128907,0.3825918717550436,0.05104408352668213,1.2497377853390967e-05,1727748239,,True,16,358dc7e7,2024-10-01_02-03-59,0.27502012252807617,4.719771862030029,13223,53f2743d91cf,172.17.0.2,4.719771862030029,16
