epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,68.63354244828224,0.8427645151783083,0.34022754946244577,0.0,0.0014965619510749998,1727748922,,False,1,3937d842,2024-10-01_02-15-22,1.2320127487182617,1.2320127487182617,21806,53f2743d91cf,172.17.0.2,1.2320127487182617,1
1,61.81982493400574,0.8396708910502014,0.33800447809428197,0.0,0.0014965619510749998,1727748922,,False,2,3937d842,2024-10-01_02-15-22,0.53121018409729,1.7632229328155518,21806,53f2743d91cf,172.17.0.2,1.7632229328155518,2
2,61.00068619847298,0.8514264662540525,0.3618936552867924,0.0,0.0014965619510749998,1727748923,,False,3,3937d842,2024-10-01_02-15-23,0.509669303894043,2.2728922367095947,21806,53f2743d91cf,172.17.0.2,2.2728922367095947,3
3,59.95815809071064,0.8441546320856665,0.34793432748032777,0.0,0.0014965619510749998,1727748923,,False,4,3937d842,2024-10-01_02-15-23,0.5591244697570801,2.832016706466675,21806,53f2743d91cf,172.17.0.2,2.832016706466675,4
4,58.565578527748585,0.8429492091561057,0.3448567985004102,0.19140625,0.0014965619510749998,1727748924,,False,5,3937d842,2024-10-01_02-15-24,0.6203293800354004,3.452346086502075,21806,53f2743d91cf,172.17.0.2,3.452346086502075,5
5,57.29452418535948,0.8505580115924943,0.3735227151177764,0.02506265664160401,0.0014965619510749998,1727748925,,False,6,3937d842,2024-10-01_02-15-25,0.6995139122009277,4.151859998703003,21806,53f2743d91cf,172.17.0.2,4.151859998703003,6
6,55.95239272713661,0.8462628941939286,0.3572896158593706,0.11739130434782609,0.00034444579727788176,1727748925,,False,7,3937d842,2024-10-01_02-15-25,0.6393074989318848,4.791167497634888,21806,53f2743d91cf,172.17.0.2,4.791167497634888,7
7,52.046920619904995,0.8452156400432262,0.3501932574200268,0.23972602739726026,0.00034444579727788176,1727748926,,False,8,3937d842,2024-10-01_02-15-26,0.5993351936340332,5.390502691268921,21806,53f2743d91cf,172.17.0.2,5.390502691268921,8
8,50.575372856110334,0.8426515374791236,0.340961443893769,0.28307692307692306,0.00034444579727788176,1727748929,,False,9,3937d842,2024-10-01_02-15-29,0.6718847751617432,6.062387466430664,21806,53f2743d91cf,172.17.0.2,6.062387466430664,9
9,49.43461983650923,0.841484428725808,0.3356812794417943,0.2099827882960413,0.00034444579727788176,1727748929,,False,10,3937d842,2024-10-01_02-15-29,0.5261993408203125,6.588586807250977,21806,53f2743d91cf,172.17.0.2,6.588586807250977,10
10,48.55533382296562,0.8391148442872581,0.3346514035664263,0.21305841924398625,0.00034444579727788176,1727748930,,False,11,3937d842,2024-10-01_02-15-30,0.5172014236450195,7.105788230895996,21806,53f2743d91cf,172.17.0.2,7.105788230895996,11
11,47.32682751491666,0.8388486098830927,0.3327220792745302,0.20442930153321975,0.00034444579727788176,1727748930,,False,12,3937d842,2024-10-01_02-15-30,0.5367565155029297,7.642544746398926,21806,53f2743d91cf,172.17.0.2,7.642544746398926,12
12,45.918703343719244,0.8345417035072208,0.326975293015385,0.2003454231433506,0.00034444579727788176,1727748931,,False,13,3937d842,2024-10-01_02-15-31,0.5261492729187012,8.168694019317627,21806,53f2743d91cf,172.17.0.2,8.168694019317627,13
13,45.611913815140724,0.8369604086845467,0.3281010986349551,0.2777777777777778,7.927697692512687e-05,1727748931,,False,14,3937d842,2024-10-01_02-15-31,0.5304162502288818,8.699110269546509,21806,53f2743d91cf,172.17.0.2,8.699110269546509,14
14,42.98931034654379,0.8367757147067494,0.32851607909197494,0.2822458270106222,7.927697692512687e-05,1727748932,,False,15,3937d842,2024-10-01_02-15-32,0.5664830207824707,9.26559329032898,21806,53f2743d91cf,172.17.0.2,9.26559329032898,15
15,42.59587177634239,0.8361646527163767,0.3270923265336103,0.2610062893081761,7.927697692512687e-05,1727748933,,False,16,3937d842,2024-10-01_02-15-33,0.5988285541534424,9.864421844482422,21806,53f2743d91cf,172.17.0.2,9.864421844482422,16
16,42.07095938175917,0.836282542489439,0.3281608304179965,0.28134556574923547,7.927697692512687e-05,1727748933,,False,17,3937d842,2024-10-01_02-15-33,0.7087674140930176,10.57318925857544,21806,53f2743d91cf,172.17.0.2,10.57318925857544,17
17,41.84506870806217,0.8351154337361233,0.32488991840745113,0.29046898638426627,7.927697692512687e-05,1727748934,,False,18,3937d842,2024-10-01_02-15-34,0.7515881061553955,11.324777364730835,21806,53f2743d91cf,172.17.0.2,11.324777364730835,18
18,41.45404218882322,0.8344051478534237,0.3234683692413052,0.28955223880597014,7.927697692512687e-05,1727748935,,False,19,3937d842,2024-10-01_02-15-35,0.8010694980621338,12.125846862792969,21806,53f2743d91cf,172.17.0.2,12.125846862792969,19
19,41.40063801035285,0.8347421161214266,0.32520152586947776,0.23414634146341465,7.927697692512687e-05,1727748935,,False,20,3937d842,2024-10-01_02-15-35,0.5709774494171143,12.696824312210083,21806,53f2743d91cf,172.17.0.2,12.696824312210083,20
