epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2154.8125426180245,0.8319255929018292,0.3255344446104103,0.0,0.0017976018494495973,1727749443,,False,1,3a67cb59,2024-10-01_02-24-03,12.013820886611938,12.013820886611938,25389,53f2743d91cf,172.17.0.2,12.013820886611938,1
1,2068.302246187809,0.8358224505816029,0.32172492133345393,0.0,0.0017976018494495973,1727749455,,False,2,3a67cb59,2024-10-01_02-24-15,11.664372682571411,23.67819356918335,25389,53f2743d91cf,172.17.0.2,23.67819356918335,2
2,2058.6281252074427,0.8361450082066653,0.33684486193007457,0.0,0.0017976018494495973,1727749467,,False,3,3a67cb59,2024-10-01_02-24-27,12.877825021743774,36.556018590927124,25389,53f2743d91cf,172.17.0.2,36.556018590927124,3
3,2009.8831493121118,0.8369632959870595,0.3436707063801454,0.0,0.0017976018494495973,1727749478,,False,4,3a67cb59,2024-10-01_02-24-38,10.43143105506897,46.987449645996094,25389,53f2743d91cf,172.17.0.2,46.987449645996094,4
4,2001.6721297083684,0.8412340921525251,0.35285500325977476,0.0,0.0017976018494495973,1727749489,,False,5,3a67cb59,2024-10-01_02-24-49,11.122709035873413,58.11015868186951,25389,53f2743d91cf,172.17.0.2,58.11015868186951,5
5,1985.2948382753946,0.8368448345583862,0.34439995612162755,0.0,0.0017976018494495973,1727749499,,False,6,3a67cb59,2024-10-01_02-24-59,9.765558004379272,67.87571668624878,25389,53f2743d91cf,172.17.0.2,67.87571668624878,6
6,1985.9373668246283,0.8429382240300674,0.3586417881540884,0.0,0.0003590318202396594,1727749509,,False,7,3a67cb59,2024-10-01_02-25-09,10.388508319854736,78.26422500610352,25389,53f2743d91cf,172.17.0.2,78.26422500610352,7
7,1886.8247359176983,0.8445395941863506,0.3619347063773641,0.0,0.0003590318202396594,1727749521,,False,8,3a67cb59,2024-10-01_02-25-21,11.239461421966553,89.50368642807007,25389,53f2743d91cf,172.17.0.2,89.50368642807007,8
8,1869.6310502894498,0.8471876115036039,0.37484350460816107,0.0,0.0003590318202396594,1727749532,,False,9,3a67cb59,2024-10-01_02-25-32,11.799324750900269,101.30301117897034,25389,53f2743d91cf,172.17.0.2,101.30301117897034,9
9,1847.6185860432356,0.8475063631389899,0.3740433693666913,0.0,0.0003590318202396594,1727749543,,False,10,3a67cb59,2024-10-01_02-25-43,10.882538557052612,112.18554973602295,25389,53f2743d91cf,172.17.0.2,112.18554973602295,10
10,1846.2028214231484,0.8477880063750327,0.3925306027322078,0.0,0.0003590318202396594,1727749554,,False,11,3a67cb59,2024-10-01_02-25-54,11.057625532150269,123.24317526817322,25389,53f2743d91cf,172.17.0.2,123.24317526817322,11
11,1835.2817425548144,0.8446547253740575,0.3700052422472555,0.0,0.0003590318202396594,1727749565,,False,12,3a67cb59,2024-10-01_02-26-05,11.108726024627686,134.3519012928009,25389,53f2743d91cf,172.17.0.2,134.3519012928009,12
12,1833.815298560441,0.8465206118128404,0.3725233149648371,0.0,0.0003590318202396594,1727749577,,False,13,3a67cb59,2024-10-01_02-26-17,11.313332319259644,145.66523361206055,25389,53f2743d91cf,172.17.0.2,145.66523361206055,13
13,1818.9992940368497,0.8443711791431766,0.37873192329707195,0.0,7.170878689520252e-05,1727749588,,False,14,3a67cb59,2024-10-01_02-26-28,10.95800495147705,156.6232385635376,25389,53f2743d91cf,172.17.0.2,156.6232385635376,14
14,1790.9726555006048,0.8444672803825019,0.3672616614831122,0.0,7.170878689520252e-05,1727749599,,False,15,3a67cb59,2024-10-01_02-26-39,11.295112609863281,167.91835117340088,25389,53f2743d91cf,172.17.0.2,167.91835117340088,15
15,1783.7131679654617,0.844678512809534,0.3669799513138656,0.0,7.170878689520252e-05,1727749610,,True,16,3a67cb59,2024-10-01_02-26-50,11.236745119094849,179.15509629249573,25389,53f2743d91cf,172.17.0.2,179.15509629249573,16
