epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,80.29656694829464,0.8434116418664378,0.35656162204753294,0.0,0.0018068406839308322,1727748253,,False,1,3abdaa31,2024-10-01_02-04-13,1.0504038333892822,1.0504038333892822,13674,53f2743d91cf,172.17.0.2,1.0504038333892822,1
1,61.7374075204134,0.8409532306745462,0.3538227789946777,0.0,0.0018068406839308322,1727748253,,False,2,3abdaa31,2024-10-01_02-04-13,0.3760228157043457,1.426426649093628,13674,53f2743d91cf,172.17.0.2,1.426426649093628,2
2,61.46807736158371,0.8475233478905855,0.3650047796239029,0.0,0.0018068406839308322,1727748254,,False,3,3abdaa31,2024-10-01_02-04-14,0.38765525817871094,1.8140819072723389,13674,53f2743d91cf,172.17.0.2,1.8140819072723389,3
3,60.52715989947319,0.8479036492479614,0.35711912690374253,0.0,0.0018068406839308322,1727748254,,False,4,3abdaa31,2024-10-01_02-04-14,0.34334230422973633,2.157424211502075,13674,53f2743d91cf,172.17.0.2,2.157424211502075,4
4,59.919758923351765,0.8488848848112669,0.3696585736004014,0.0,0.0003399980065407573,1727748255,,False,5,3abdaa31,2024-10-01_02-04-15,0.3623979091644287,2.519822120666504,13674,53f2743d91cf,172.17.0.2,2.519822120666504,5
5,58.58969555795193,0.8492129310203012,0.3705067907582404,0.0,0.0003399980065407573,1727748257,,False,6,3abdaa31,2024-10-01_02-04-17,0.3907155990600586,2.9105377197265625,13674,53f2743d91cf,172.17.0.2,2.9105377197265625,6
6,58.228903882205486,0.8490542301994116,0.3682280598397778,0.0,0.0003399980065407573,1727748258,,False,7,3abdaa31,2024-10-01_02-04-18,0.35656309127807617,3.2671008110046387,13674,53f2743d91cf,172.17.0.2,3.2671008110046387,7
7,58.20422691106796,0.8493813087205133,0.369577162056987,0.0,0.0003399980065407573,1727748258,,False,8,3abdaa31,2024-10-01_02-04-18,0.36080241203308105,3.6279032230377197,13674,53f2743d91cf,172.17.0.2,3.6279032230377197,8
8,57.87624483555555,0.8500393365144461,0.3715076023524395,0.0,0.0003399980065407573,1727748258,,False,9,3abdaa31,2024-10-01_02-04-18,0.34510087966918945,3.973004102706909,13674,53f2743d91cf,172.17.0.2,3.973004102706909,9
9,57.70940435677767,0.8501312668680102,0.3696019925192808,0.0,6.397832718720988e-05,1727748259,,False,10,3abdaa31,2024-10-01_02-04-19,0.4785468578338623,4.4515509605407715,13674,53f2743d91cf,172.17.0.2,4.4515509605407715,10
10,57.28109051287174,0.8501080423576363,0.3697963209355838,0.0,6.397832718720988e-05,1727748259,,False,11,3abdaa31,2024-10-01_02-04-19,0.3682596683502197,4.819810628890991,13674,53f2743d91cf,172.17.0.2,4.819810628890991,11
11,57.109713062644005,0.850153523690452,0.37001777296804045,0.0,6.397832718720988e-05,1727748260,,False,12,3abdaa31,2024-10-01_02-04-20,0.39566516876220703,5.215475797653198,13674,53f2743d91cf,172.17.0.2,5.215475797653198,12
12,57.177615121006966,0.8502744846819839,0.37052062159552246,0.0,6.397832718720988e-05,1727748260,,False,13,3abdaa31,2024-10-01_02-04-20,0.421417236328125,5.636893033981323,13674,53f2743d91cf,172.17.0.2,5.636893033981323,13
13,57.024383924901485,0.8503518997165643,0.3691256816889367,0.0,6.397832718720988e-05,1727748260,,False,14,3abdaa31,2024-10-01_02-04-20,0.4390382766723633,6.0759313106536865,13674,53f2743d91cf,172.17.0.2,6.0759313106536865,14
14,56.897960752248764,0.8504215732476865,0.36924934024875505,0.0,1.2038971614332106e-05,1727748261,,False,15,3abdaa31,2024-10-01_02-04-21,0.488847017288208,6.5647783279418945,13674,53f2743d91cf,172.17.0.2,6.5647783279418945,15
15,56.99331595003605,0.8504564100132476,0.36948590773786644,0.0,1.2038971614332106e-05,1727748261,,True,16,3abdaa31,2024-10-01_02-04-21,0.3601419925689697,6.924920320510864,13674,53f2743d91cf,172.17.0.2,6.924920320510864,16
