epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,99.28436931967735,0.8290719108420802,0.334867273317195,0.0,0.001530370792110882,1727748203,,False,1,3cd08a58,2024-10-01_02-03-23,1.0082411766052246,1.0082411766052246,12453,53f2743d91cf,172.17.0.2,1.0082411766052246,1
1,65.6096741259098,0.8536797587972237,0.3716764200303455,0.0,0.001530370792110882,1727748203,,False,2,3cd08a58,2024-10-01_02-03-23,0.26352548599243164,1.2717666625976562,12453,53f2743d91cf,172.17.0.2,1.2717666625976562,2
2,62.09315500408411,0.8539418519385739,0.367462216913298,0.0,0.001530370792110882,1727748203,,False,3,3cd08a58,2024-10-01_02-03-23,0.2691025733947754,1.5408692359924316,12453,53f2743d91cf,172.17.0.2,1.5408692359924316,3
3,61.19243008643389,0.8581738853091977,0.3836233656118446,0.0,0.001530370792110882,1727748204,,False,4,3cd08a58,2024-10-01_02-03-24,0.2686886787414551,1.8095579147338867,12453,53f2743d91cf,172.17.0.2,1.8095579147338867,4
4,60.98583033680916,0.8570522808366554,0.37975188123113346,0.0,0.0002926155635909738,1727748204,,False,5,3cd08a58,2024-10-01_02-03-24,0.26578855514526367,2.0753464698791504,12453,53f2743d91cf,172.17.0.2,2.0753464698791504,5
5,60.42457175254822,0.8574338576159738,0.38137785139114183,0.0,0.0002926155635909738,1727748204,,False,6,3cd08a58,2024-10-01_02-03-24,0.2596402168273926,2.334986686706543,12453,53f2743d91cf,172.17.0.2,2.334986686706543,6
6,60.2281541377306,0.8575880300520622,0.38190202306807824,0.0,0.0002926155635909738,1727748204,,False,7,3cd08a58,2024-10-01_02-03-24,0.2807307243347168,2.6157174110412598,12453,53f2743d91cf,172.17.0.2,2.6157174110412598,7
7,60.18179674446583,0.8577219673559139,0.3829391020791807,0.0,0.0002926155635909738,1727748205,,False,8,3cd08a58,2024-10-01_02-03-25,0.28295469284057617,2.898672103881836,12453,53f2743d91cf,172.17.0.2,2.898672103881836,8
8,60.172966450452805,0.8583222762789325,0.3849619107162943,0.0,0.0002926155635909738,1727748205,,False,9,3cd08a58,2024-10-01_02-03-25,0.26764822006225586,3.166320323944092,12453,53f2743d91cf,172.17.0.2,3.166320323944092,9
9,60.07938424497843,0.8578048350403112,0.3839876328981298,0.0,5.5949753155939344e-05,1727748205,,False,10,3cd08a58,2024-10-01_02-03-25,0.3078489303588867,3.4741692543029785,12453,53f2743d91cf,172.17.0.2,3.4741692543029785,10
10,59.66356361657381,0.8579445538105163,0.38489504281057757,0.0,5.5949753155939344e-05,1727748206,,False,11,3cd08a58,2024-10-01_02-03-26,0.2827486991882324,3.756917953491211,12453,53f2743d91cf,172.17.0.2,3.756917953491211,11
11,59.891056798398495,0.8579946598522451,0.38509366509114534,0.0,5.5949753155939344e-05,1727748206,,False,12,3cd08a58,2024-10-01_02-03-26,0.29373764991760254,4.0506556034088135,12453,53f2743d91cf,172.17.0.2,4.0506556034088135,12
12,59.980811558663845,0.8580023684740495,0.3849895795698224,0.0,5.5949753155939344e-05,1727748206,,False,13,3cd08a58,2024-10-01_02-03-26,0.35332345962524414,4.403979063034058,12453,53f2743d91cf,172.17.0.2,4.403979063034058,13
13,59.92017462104559,0.8580071863626773,0.3849503887131031,0.0,5.5949753155939344e-05,1727748206,,False,14,3cd08a58,2024-10-01_02-03-26,0.28094911575317383,4.6849281787872314,12453,53f2743d91cf,172.17.0.2,4.6849281787872314,14
14,59.91522179543972,0.8580264579171881,0.3850928173570985,0.0,1.0697909707175625e-05,1727748207,,False,15,3cd08a58,2024-10-01_02-03-27,0.2814218997955322,4.966350078582764,12453,53f2743d91cf,172.17.0.2,4.966350078582764,15
15,59.83647936582565,0.8580423569496596,0.38520898511550505,0.0,1.0697909707175625e-05,1727748207,,True,16,3cd08a58,2024-10-01_02-03-27,0.29064488410949707,5.256994962692261,12453,53f2743d91cf,172.17.0.2,5.256994962692261,16
