epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,182.14483343809843,0.8222899853492588,0.30901725556273013,0.0,0.00045531567859569193,1727748644,,False,1,4299243a,2024-10-01_02-10-44,1.1405913829803467,1.1405913829803467,18269,53f2743d91cf,172.17.0.2,1.1405913829803467,1
1,132.4461209923029,0.8364987211641132,0.3288903377781614,0.0,0.00045531567859569193,1727748644,,False,2,4299243a,2024-10-01_02-10-44,0.4366004467010498,1.5771918296813965,18269,53f2743d91cf,172.17.0.2,1.5771918296813965,2
2,127.13739965856075,0.847292592684562,0.3570292033686089,0.0,0.00045531567859569193,1727748645,,False,3,4299243a,2024-10-01_02-10-45,0.43995189666748047,2.017143726348877,18269,53f2743d91cf,172.17.0.2,2.017143726348877,3
3,125.2273216843605,0.8490774999379206,0.36025374388808595,0.0,0.00045531567859569193,1727748645,,False,4,4299243a,2024-10-01_02-10-45,0.44327354431152344,2.4604172706604004,18269,53f2743d91cf,172.17.0.2,2.4604172706604004,4
4,124.59542771056294,0.8477753221921482,0.353542825651673,0.0,0.00045531567859569193,1727748646,,False,5,4299243a,2024-10-01_02-10-46,0.46785855293273926,2.9282758235931396,18269,53f2743d91cf,172.17.0.2,2.9282758235931396,5
5,123.450549505651,0.8493675349507088,0.3641618134533779,0.0,0.00045531567859569193,1727748646,,False,6,4299243a,2024-10-01_02-10-46,0.5909514427185059,3.5192272663116455,18269,53f2743d91cf,172.17.0.2,3.5192272663116455,6
6,123.21209125034511,0.8492076183854387,0.3593482040958574,0.0,0.00015729938314512604,1727748647,,False,7,4299243a,2024-10-01_02-10-47,0.47725939750671387,3.9964866638183594,18269,53f2743d91cf,172.17.0.2,3.9964866638183594,7
7,122.25845932215452,0.8493367435623649,0.35530644415702917,0.0,0.00015729938314512604,1727748647,,False,8,4299243a,2024-10-01_02-10-47,0.44469571113586426,4.441182374954224,18269,53f2743d91cf,172.17.0.2,4.441182374954224,8
8,122.14799008890986,0.8499048943408408,0.35883411086753086,0.0,0.00015729938314512604,1727748648,,False,9,4299243a,2024-10-01_02-10-48,0.44513678550720215,4.886319160461426,18269,53f2743d91cf,172.17.0.2,4.886319160461426,9
9,121.42108044400811,0.8491976856795213,0.3576536188605344,0.0,0.00015729938314512604,1727748648,,False,10,4299243a,2024-10-01_02-10-48,0.4574604034423828,5.343779563903809,18269,53f2743d91cf,172.17.0.2,5.343779563903809,10
10,121.29939889907837,0.8491956991383377,0.35451274645407777,0.0,0.00015729938314512604,1727748649,,False,11,4299243a,2024-10-01_02-10-49,0.4869568347930908,5.830736398696899,18269,53f2743d91cf,172.17.0.2,5.830736398696899,11
11,121.43517278134823,0.8494738149040252,0.3548274619168946,0.0,0.00015729938314512604,1727748649,,False,12,4299243a,2024-10-01_02-10-49,0.45866894721984863,6.289405345916748,18269,53f2743d91cf,172.17.0.2,6.289405345916748,12
12,120.96893021836877,0.8494728216334335,0.3543356101188243,0.0,0.00015729938314512604,1727748650,,False,13,4299243a,2024-10-01_02-10-50,0.45940136909484863,6.748806715011597,18269,53f2743d91cf,172.17.0.2,6.748806715011597,13
13,121.44752349331975,0.8497529239403044,0.35533013152245874,0.0,5.434272769642173e-05,1727748650,,False,14,4299243a,2024-10-01_02-10-50,0.44867658615112305,7.19748330116272,18269,53f2743d91cf,172.17.0.2,7.19748330116272,14
14,120.09283010475338,0.8497976211169328,0.3547259936634077,0.0,5.434272769642173e-05,1727748651,,False,15,4299243a,2024-10-01_02-10-51,0.5495250225067139,7.747008323669434,18269,53f2743d91cf,172.17.0.2,7.747008323669434,15
15,120.0579238878563,0.8495373842218966,0.3550940943649982,0.0,5.434272769642173e-05,1727748653,,True,16,4299243a,2024-10-01_02-10-53,0.5148365497589111,8.261844873428345,18269,53f2743d91cf,172.17.0.2,8.261844873428345,16
