epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,276.85007667541504,0.460078869877938,0.1171855513303226,0.0,5.325638089025428e-05,1727748757,,False,1,45de5a27,2024-10-01_02-12-37,1.2490098476409912,1.2490098476409912,20288,53f2743d91cf,172.17.0.2,1.2490098476409912,1
1,247.4174261689186,0.5090548647624944,0.1377696598191883,0.0,5.325638089025428e-05,1727748758,,False,2,45de5a27,2024-10-01_02-12-38,0.6183230876922607,1.867332935333252,20288,53f2743d91cf,172.17.0.2,1.867332935333252,2
2,199.58838719129562,0.6146413283862323,0.17744638163191817,0.0,1.5136903729043005e-05,1727748759,,False,3,45de5a27,2024-10-01_02-12-39,0.5756492614746094,2.4429821968078613,20288,53f2743d91cf,172.17.0.2,2.4429821968078613,3
3,176.2705499380827,0.6529969739055353,0.19243059492014325,0.0,1.5136903729043005e-05,1727748759,,False,4,45de5a27,2024-10-01_02-12-39,0.6391613483428955,3.082143545150757,20288,53f2743d91cf,172.17.0.2,3.082143545150757,4
4,172.4286158233881,0.6847017280913612,0.2055243973240254,0.0,1.5136903729043005e-05,1727748760,,False,5,45de5a27,2024-10-01_02-12-40,0.6174657344818115,3.6996092796325684,20288,53f2743d91cf,172.17.0.2,3.6996092796325684,5
5,171.2371985167265,0.7097729003669598,0.21672775902631317,0.0,4.3023174063306504e-06,1727748761,,False,6,45de5a27,2024-10-01_02-12-41,0.6033525466918945,4.302961826324463,20288,53f2743d91cf,172.17.0.2,4.302961826324463,6
6,169.82576547563076,0.715602103196745,0.21948842224350923,0.0,4.3023174063306504e-06,1727748761,,False,7,45de5a27,2024-10-01_02-12-41,0.5877411365509033,4.890702962875366,20288,53f2743d91cf,172.17.0.2,4.890702962875366,7
7,169.0490138977766,0.7208570404551767,0.22219950396172655,0.0,4.3023174063306504e-06,1727748762,,False,8,45de5a27,2024-10-01_02-12-42,0.6143319606781006,5.505034923553467,20288,53f2743d91cf,172.17.0.2,5.505034923553467,8
8,168.9755008816719,0.7257927715848508,0.22483157777079452,0.0,1.2228349599199005e-06,1727748762,,False,9,45de5a27,2024-10-01_02-12-42,0.6729729175567627,6.1780078411102295,20288,53f2743d91cf,172.17.0.2,6.1780078411102295,9
9,168.5626166984439,0.7271108332552711,0.22552118442070743,0.0,1.2228349599199005e-06,1727748763,,False,10,45de5a27,2024-10-01_02-12-43,0.6744227409362793,6.852430582046509,20288,53f2743d91cf,172.17.0.2,6.852430582046509,10
10,168.4481559097767,0.7284156583079122,0.22613055597129483,0.0,1.2228349599199005e-06,1727748764,,False,11,45de5a27,2024-10-01_02-12-44,0.632378101348877,7.484808683395386,20288,53f2743d91cf,172.17.0.2,7.484808683395386,11
11,168.18847733736038,0.7296772098024281,0.22667150569980715,0.0,3.4756276629009433e-07,1727748764,,False,12,45de5a27,2024-10-01_02-12-44,0.6184189319610596,8.103227615356445,20288,53f2743d91cf,172.17.0.2,8.103227615356445,12
12,168.70719093084335,0.73004223499273,0.22684571827117989,0.0,3.4756276629009433e-07,1727748765,,False,13,45de5a27,2024-10-01_02-12-45,0.6809308528900146,8.78415846824646,20288,53f2743d91cf,172.17.0.2,8.78415846824646,13
13,168.24697165191174,0.7303721322358481,0.22698962799328506,0.0,3.4756276629009433e-07,1727748766,,False,14,45de5a27,2024-10-01_02-12-46,0.5777571201324463,9.361915588378906,20288,53f2743d91cf,172.17.0.2,9.361915588378906,14
14,168.39408999681473,0.7307478485405101,0.22719207302752992,0.0,9.87867377615173e-08,1727748766,,False,15,45de5a27,2024-10-01_02-12-46,0.5782642364501953,9.940179824829102,20288,53f2743d91cf,172.17.0.2,9.940179824829102,15
15,168.1553497761488,0.7308562869861648,0.22725287183268494,0.0,9.87867377615173e-08,1727748767,,True,16,45de5a27,2024-10-01_02-12-47,0.6004748344421387,10.54065465927124,20288,53f2743d91cf,172.17.0.2,10.54065465927124,16
