epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,81.68980985879898,0.6828990970313134,0.199798132027169,0.23477493380406,2.127774930508987e-06,1727747948,,False,1,4f1474c6,2024-10-01_01-59-08,0.7922489643096924,0.7922489643096924,8200,53f2743d91cf,172.17.0.2,0.7922489643096924,1
1,81.51567125320435,0.6851500145982025,0.20136994726155566,0.23477493380406,2.127774930508987e-06,1727747949,,False,2,4f1474c6,2024-10-01_01-59-09,0.16888117790222168,0.9611301422119141,8200,53f2743d91cf,172.17.0.2,0.9611301422119141,2
2,81.45267295837402,0.6871759367661753,0.2026018076668652,0.23477493380406,2.127774930508987e-06,1727747950,,False,3,4f1474c6,2024-10-01_01-59-10,0.1622147560119629,1.123344898223877,8200,53f2743d91cf,172.17.0.2,1.123344898223877,3
3,81.24965631961823,0.6884035347885283,0.20341752292302512,0.23477493380406,2.127774930508987e-06,1727747950,,False,4,4f1474c6,2024-10-01_01-59-10,0.16173624992370605,1.285081148147583,8200,53f2743d91cf,172.17.0.2,1.285081148147583,4
4,81.1660093665123,0.689961158181883,0.20462506969456729,0.23477493380406,4.535999475564014e-07,1727747950,,False,5,4f1474c6,2024-10-01_01-59-10,0.16729378700256348,1.4523749351501465,8200,53f2743d91cf,172.17.0.2,1.4523749351501465,5
5,81.1134701371193,0.6902935924971985,0.20485679957581115,0.23477493380406,4.535999475564014e-07,1727747950,,False,6,4f1474c6,2024-10-01_01-59-10,0.16435837745666504,1.6167333126068115,8200,53f2743d91cf,172.17.0.2,1.6167333126068115,6
6,81.15426540374756,0.6905908562255311,0.20511664634123875,0.23477493380406,4.535999475564014e-07,1727747950,,False,7,4f1474c6,2024-10-01_01-59-10,0.164262056350708,1.7809953689575195,8200,53f2743d91cf,172.17.0.2,1.7809953689575195,7
7,81.03290218114853,0.6909151001301794,0.20538708167832548,0.23477493380406,4.535999475564014e-07,1727747950,,False,8,4f1474c6,2024-10-01_01-59-10,0.16253089904785156,1.943526268005371,8200,53f2743d91cf,172.17.0.2,1.943526268005371,8
8,81.05037325620651,0.6912104367030609,0.2056246452308638,0.23477493380406,4.535999475564014e-07,1727747951,,False,9,4f1474c6,2024-10-01_01-59-11,0.16585755348205566,2.1093838214874268,8200,53f2743d91cf,172.17.0.2,2.1093838214874268,9
9,80.97323697805405,0.6915404620740625,0.20599523483721816,0.23477493380406,9.669862609667639e-08,1727747951,,False,10,4f1474c6,2024-10-01_01-59-11,0.16346979141235352,2.2728536128997803,8200,53f2743d91cf,172.17.0.2,2.2728536128997803,10
10,81.00937569141388,0.691591049904654,0.2060060901967075,0.23477493380406,9.669862609667639e-08,1727747951,,False,11,4f1474c6,2024-10-01_01-59-11,0.16294550895690918,2.4357991218566895,8200,53f2743d91cf,172.17.0.2,2.4357991218566895,11
11,80.99717664718628,0.6916353744800293,0.2060475099433546,0.23477493380406,9.669862609667639e-08,1727747951,,False,12,4f1474c6,2024-10-01_01-59-11,0.16349244117736816,2.5992915630340576,8200,53f2743d91cf,172.17.0.2,2.5992915630340576,12
12,80.93847250938416,0.6916825897885814,0.2060891628142284,0.23477493380406,9.669862609667639e-08,1727747951,,False,13,4f1474c6,2024-10-01_01-59-11,0.1639087200164795,2.763200283050537,8200,53f2743d91cf,172.17.0.2,2.763200283050537,13
13,80.98552268743515,0.6917803929277249,0.20618952588738895,0.23477493380406,9.669862609667639e-08,1727747951,,False,14,4f1474c6,2024-10-01_01-59-11,0.16118693351745605,2.924387216567993,8200,53f2743d91cf,172.17.0.2,2.924387216567993,14
14,80.96523261070251,0.6918097820483542,0.20619973118529852,0.23477493380406,2.0614253461354623e-08,1727747952,,False,15,4f1474c6,2024-10-01_01-59-12,0.1964266300201416,3.1208138465881348,8200,53f2743d91cf,172.17.0.2,3.1208138465881348,15
15,80.94085830450058,0.6918333897026303,0.20622069182052477,0.23477493380406,2.0614253461354623e-08,1727747952,,False,16,4f1474c6,2024-10-01_01-59-12,0.16872644424438477,3.2895402908325195,8200,53f2743d91cf,172.17.0.2,3.2895402908325195,16
16,80.92723631858826,0.6918463980019253,0.20621894361174078,0.23477493380406,2.0614253461354623e-08,1727747952,,False,17,4f1474c6,2024-10-01_01-59-12,0.16867566108703613,3.4582159519195557,8200,53f2743d91cf,172.17.0.2,3.4582159519195557,17
17,80.97869312763214,0.6918622970343968,0.20622563506154926,0.23477493380406,2.0614253461354623e-08,1727747952,,False,18,4f1474c6,2024-10-01_01-59-12,0.16651129722595215,3.624727249145508,8200,53f2743d91cf,172.17.0.2,3.624727249145508,18
18,80.95151728391647,0.6918613334566712,0.20622660991874936,0.23477493380406,2.0614253461354623e-08,1727747952,,False,19,4f1474c6,2024-10-01_01-59-12,0.17227602005004883,3.7970032691955566,8200,53f2743d91cf,172.17.0.2,3.7970032691955566,19
19,80.93398588895798,0.6918714510227896,0.20624771431152022,0.23477493380406,4.394555154735305e-09,1727747952,,False,20,4f1474c6,2024-10-01_01-59-12,0.17419099807739258,3.971194267272949,8200,53f2743d91cf,172.17.0.2,3.971194267272949,20
