epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,68.4978000074625,0.8445570447858777,0.3478057417663114,0.0,0.001572156100634635,1727748187,,False,1,4f7f516e,2024-10-01_02-03-07,1.2783243656158447,1.2783243656158447,12128,53f2743d91cf,172.17.0.2,1.2783243656158447,1
1,61.75311879068613,0.839672651838937,0.3528850609712525,0.0,0.001572156100634635,1727748188,,False,2,4f7f516e,2024-10-01_02-03-08,0.626802921295166,1.9051272869110107,12128,53f2743d91cf,172.17.0.2,1.9051272869110107,2
2,60.48742391914129,0.8410569499432963,0.3387307373916671,0.0,0.001572156100634635,1727748189,,False,3,4f7f516e,2024-10-01_02-03-09,0.6121270656585693,2.51725435256958,12128,53f2743d91cf,172.17.0.2,2.51725435256958,3
3,59.29026034474373,0.8372127985018908,0.335181989045485,0.0,0.001572156100634635,1727748192,,False,4,4f7f516e,2024-10-01_02-03-12,0.677072286605835,3.194326639175415,12128,53f2743d91cf,172.17.0.2,3.194326639175415,4
4,57.99240059405565,0.8302121043349113,0.3295356084451353,0.3102409638554217,0.0003526229982254384,1727748192,,False,5,4f7f516e,2024-10-01_02-03-12,0.7114298343658447,3.9057564735412598,12128,53f2743d91cf,172.17.0.2,3.9057564735412598,5
5,54.627936482429504,0.833264723806295,0.3324932617409747,0.25932504440497334,0.0003526229982254384,1727748193,,False,6,4f7f516e,2024-10-01_02-03-13,0.700739860534668,4.606496334075928,12128,53f2743d91cf,172.17.0.2,4.606496334075928,6
6,53.01881691813469,0.8297172076729666,0.3281988292556238,0.28664495114006516,0.0003526229982254384,1727748194,,False,7,4f7f516e,2024-10-01_02-03-14,0.680443525314331,5.286939859390259,12128,53f2743d91cf,172.17.0.2,5.286939859390259,7
7,52.09364503622055,0.830684803796932,0.3276790612934562,0.3130434782608696,0.0003526229982254384,1727748194,,False,8,4f7f516e,2024-10-01_02-03-14,0.6604986190795898,5.947438478469849,12128,53f2743d91cf,172.17.0.2,5.947438478469849,8
8,51.144657112658024,0.8282965868778227,0.3269280877413475,0.2974683544303797,0.0003526229982254384,1727748195,,False,9,4f7f516e,2024-10-01_02-03-15,0.655916690826416,6.603355169296265,12128,53f2743d91cf,172.17.0.2,6.603355169296265,9
9,49.833208329975605,0.8244968298362655,0.31534087021634066,0.28353658536585363,7.9090733310327e-05,1727748196,,False,10,4f7f516e,2024-10-01_02-03-16,0.6660523414611816,7.269407510757446,12128,53f2743d91cf,172.17.0.2,7.269407510757446,10
10,47.38469813298434,0.8247783306898485,0.31790990417666476,0.2638888888888889,7.9090733310327e-05,1727748196,,False,11,4f7f516e,2024-10-01_02-03-16,0.6257541179656982,7.8951616287231445,12128,53f2743d91cf,172.17.0.2,7.8951616287231445,11
11,46.79930657893419,0.8236493003846168,0.31546646795252425,0.2631578947368421,7.9090733310327e-05,1727748197,,False,12,4f7f516e,2024-10-01_02-03-17,0.655881404876709,8.551043033599854,12128,53f2743d91cf,172.17.0.2,8.551043033599854,12
12,46.48298308998346,0.8228037888602342,0.31391397780430536,0.24742268041237114,7.9090733310327e-05,1727748198,,False,13,4f7f516e,2024-10-01_02-03-18,0.5936315059661865,9.14467453956604,12128,53f2743d91cf,172.17.0.2,9.14467453956604,13
13,45.72437522932887,0.8218755423179527,0.31119656814101837,0.29393939393939394,7.9090733310327e-05,1727748198,,False,14,4f7f516e,2024-10-01_02-03-18,0.6099824905395508,9.75465703010559,12128,53f2743d91cf,172.17.0.2,9.75465703010559,14
14,45.58091073855758,0.8222074913531817,0.31238232160381463,0.25666666666666665,1.773946715626901e-05,1727748199,,False,15,4f7f516e,2024-10-01_02-03-19,0.6337063312530518,10.388363361358643,12128,53f2743d91cf,172.17.0.2,10.388363361358643,15
15,44.59256874769926,0.8220753171172699,0.3125004718778085,0.25546218487394956,1.773946715626901e-05,1727748200,,False,16,4f7f516e,2024-10-01_02-03-20,0.6713581085205078,11.05972146987915,12128,53f2743d91cf,172.17.0.2,11.05972146987915,16
16,44.4089527502656,0.8219360801359276,0.3121477325175216,0.2542372881355932,1.773946715626901e-05,1727748200,,False,17,4f7f516e,2024-10-01_02-03-20,0.6755192279815674,11.735240697860718,12128,53f2743d91cf,172.17.0.2,11.735240697860718,17
17,44.40369579195976,0.8215758801189769,0.3115887094302437,0.259567387687188,1.773946715626901e-05,1727748201,,False,18,4f7f516e,2024-10-01_02-03-21,0.6643080711364746,12.399548768997192,12128,53f2743d91cf,172.17.0.2,12.399548768997192,18
18,44.18647214025259,0.8213478543379383,0.31070205741619955,0.26158940397350994,1.773946715626901e-05,1727748202,,False,19,4f7f516e,2024-10-01_02-03-22,0.6495304107666016,13.049079179763794,12128,53f2743d91cf,172.17.0.2,13.049079179763794,19
19,44.35624563694,0.8213579439742674,0.3105527845103129,0.2613065326633166,3.97883142331742e-06,1727748202,,False,20,4f7f516e,2024-10-01_02-03-22,0.6722190380096436,13.721298217773438,12128,53f2743d91cf,172.17.0.2,13.721298217773438,20
