epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,147.3109004497528,0.6552248915013397,0.22178371947146375,0.0,5.247973639164398e-05,1727748163,,False,1,57e358ff,2024-10-01_02-02-43,1.0972092151641846,1.0972092151641846,11536,53f2743d91cf,172.17.0.2,1.0972092151641846,1
1,136.0455676317215,0.6262841942190875,0.20452410952752315,0.0,5.247973639164398e-05,1727748163,,False,2,57e358ff,2024-10-01_02-02-43,0.34386301040649414,1.4410722255706787,11536,53f2743d91cf,172.17.0.2,1.4410722255706787,2
2,114.65661066770554,0.6400193277715802,0.21327616418815842,0.0,5.247973639164398e-05,1727748164,,False,3,57e358ff,2024-10-01_02-02-44,0.3470902442932129,1.7881624698638916,11536,53f2743d91cf,172.17.0.2,1.7881624698638916,3
3,88.2934792637825,0.7095488086457958,0.25002931819154395,0.0,5.247973639164398e-05,1727748164,,False,4,57e358ff,2024-10-01_02-02-44,0.3361320495605469,2.1242945194244385,11536,53f2743d91cf,172.17.0.2,2.1242945194244385,4
4,81.00946027040482,0.7669048510297645,0.28601818040237065,0.0,9.660250814406955e-06,1727748164,,False,5,57e358ff,2024-10-01_02-02-44,0.3419678211212158,2.4662623405456543,11536,53f2743d91cf,172.17.0.2,2.4662623405456543,5
5,79.52187670767307,0.7733619574603715,0.2900987816093132,0.0,9.660250814406955e-06,1727748165,,False,6,57e358ff,2024-10-01_02-02-45,0.3364710807800293,2.8027334213256836,11536,53f2743d91cf,172.17.0.2,2.8027334213256836,6
6,79.0833905339241,0.7784255371193282,0.2933785634177571,0.0,9.660250814406955e-06,1727748165,,False,7,57e358ff,2024-10-01_02-02-45,0.33986639976501465,3.1425998210906982,11536,53f2743d91cf,172.17.0.2,3.1425998210906982,7
7,78.51017017662525,0.7824865928641052,0.29606354277182306,0.0,9.660250814406955e-06,1727748165,,False,8,57e358ff,2024-10-01_02-02-45,0.36192989349365234,3.5045297145843506,11536,53f2743d91cf,172.17.0.2,3.5045297145843506,8
8,78.32190358638763,0.785860150693613,0.29789794480510967,0.0,9.660250814406955e-06,1727748166,,False,9,57e358ff,2024-10-01_02-02-46,0.3508143424987793,3.85534405708313,11536,53f2743d91cf,172.17.0.2,3.85534405708313,9
9,77.99541994929314,0.7890113372297725,0.29988622092153305,0.0,1.7782186461612842e-06,1727748166,,False,10,57e358ff,2024-10-01_02-02-46,0.36086440086364746,4.216208457946777,11536,53f2743d91cf,172.17.0.2,4.216208457946777,10
10,77.87638154625893,0.7895084297251119,0.3001142150455654,0.0,1.7782186461612842e-06,1727748166,,False,11,57e358ff,2024-10-01_02-02-46,0.3513481616973877,4.567556619644165,11536,53f2743d91cf,172.17.0.2,4.567556619644165,11
11,77.9186996743083,0.7899554886794482,0.30036485086771086,0.0,1.7782186461612842e-06,1727748167,,False,12,57e358ff,2024-10-01_02-02-47,0.33188581466674805,4.899442434310913,11536,53f2743d91cf,172.17.0.2,4.899442434310913,12
12,77.67106883972883,0.7904372931483699,0.30064957801292985,0.0,1.7782186461612842e-06,1727748167,,False,13,57e358ff,2024-10-01_02-02-47,0.3269233703613281,5.226365804672241,11536,53f2743d91cf,172.17.0.2,5.226365804672241,13
13,77.44811943173409,0.7908496065881202,0.3009300416711338,0.0,1.7782186461612842e-06,1727748169,,False,14,57e358ff,2024-10-01_02-02-49,0.34587955474853516,5.572245359420776,11536,53f2743d91cf,172.17.0.2,5.572245359420776,14
14,77.55654162168503,0.7912906429865948,0.301117165475292,0.0,3.2732706575691436e-07,1727748170,,False,15,57e358ff,2024-10-01_02-02-50,0.33966803550720215,5.9119133949279785,11536,53f2743d91cf,172.17.0.2,5.9119133949279785,15
15,77.6509220302105,0.7913814445980453,0.30120668781234616,0.0,3.2732706575691436e-07,1727748170,,False,16,57e358ff,2024-10-01_02-02-50,0.3308727741241455,6.242786169052124,11536,53f2743d91cf,172.17.0.2,6.242786169052124,16
16,77.59787309169769,0.7914620541918842,0.3012739161928359,0.0,3.2732706575691436e-07,1727748170,,False,17,57e358ff,2024-10-01_02-02-50,0.33251523971557617,6.5753014087677,11536,53f2743d91cf,172.17.0.2,6.5753014087677,17
17,77.66030747443438,0.7915519292562793,0.3012933922278341,0.0,3.2732706575691436e-07,1727748171,,False,18,57e358ff,2024-10-01_02-02-51,0.364532470703125,6.939833879470825,11536,53f2743d91cf,172.17.0.2,6.939833879470825,18
18,77.4652529656887,0.7916390246795074,0.30130726679827025,0.0,3.2732706575691436e-07,1727748171,,False,19,57e358ff,2024-10-01_02-02-51,0.3958413600921631,7.335675239562988,11536,53f2743d91cf,172.17.0.2,7.335675239562988,19
19,77.54985436797142,0.7917057360675119,0.3013385924549183,0.0,6.025299993807031e-08,1727748171,,False,20,57e358ff,2024-10-01_02-02-51,0.3709878921508789,7.706663131713867,11536,53f2743d91cf,172.17.0.2,7.706663131713867,20
