epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,82.26827987283468,0.8436771549743091,0.36343393086401754,0.0,0.0016487308899026292,1727748225,,False,1,5c174d45,2024-10-01_02-03-45,0.9587998390197754,0.9587998390197754,12972,53f2743d91cf,172.17.0.2,0.9587998390197754,1
1,61.387713715434074,0.849556588515794,0.3830031886976923,0.0,0.0016487308899026292,1727748225,,False,2,5c174d45,2024-10-01_02-03-45,0.26732468605041504,1.2261245250701904,12972,53f2743d91cf,172.17.0.2,1.2261245250701904,2
2,60.18515836447477,0.851452795276638,0.3901232374182175,0.0,0.0016487308899026292,1727748225,,False,3,5c174d45,2024-10-01_02-03-45,0.2705345153808594,1.4966590404510498,12972,53f2743d91cf,172.17.0.2,1.4966590404510498,3
3,59.468823462724686,0.8482933680466684,0.3733042148144064,0.0,0.0016487308899026292,1727748225,,False,4,5c174d45,2024-10-01_02-03-45,0.2660365104675293,1.762695550918579,12972,53f2743d91cf,172.17.0.2,1.762695550918579,4
4,59.32526856660843,0.8492850465703611,0.3797499061219567,0.0,0.00032823058162289085,1727748226,,False,5,5c174d45,2024-10-01_02-03-46,0.26934170722961426,2.0320372581481934,12972,53f2743d91cf,172.17.0.2,2.0320372581481934,5
5,57.93440059572458,0.8504574472671964,0.3832189035722751,0.0,0.00032823058162289085,1727748226,,False,6,5c174d45,2024-10-01_02-03-46,0.31152796745300293,2.3435652256011963,12972,53f2743d91cf,172.17.0.2,2.3435652256011963,6
6,57.62367409467697,0.850479464181691,0.3848890876383448,0.0,0.00032823058162289085,1727748226,,False,7,5c174d45,2024-10-01_02-03-46,0.2818126678466797,2.625377893447876,12972,53f2743d91cf,172.17.0.2,2.625377893447876,7
7,57.440086990594864,0.8517491062508773,0.3892616075948262,0.0,0.00032823058162289085,1727748227,,False,8,5c174d45,2024-10-01_02-03-47,0.2840113639831543,2.9093892574310303,12972,53f2743d91cf,172.17.0.2,2.9093892574310303,8
8,57.19147665798664,0.851916067852461,0.38739199850535366,0.009345794392523364,0.00032823058162289085,1727748227,,False,9,5c174d45,2024-10-01_02-03-47,0.2646939754486084,3.1740832328796387,12972,53f2743d91cf,172.17.0.2,3.1740832328796387,9
9,57.20645996928215,0.8521857750550194,0.38856964618108797,0.018475750577367205,6.534439026545068e-05,1727748227,,False,10,5c174d45,2024-10-01_02-03-47,0.27579450607299805,3.4498777389526367,12972,53f2743d91cf,172.17.0.2,3.4498777389526367,10
10,56.73000403493643,0.8521949487693921,0.3885207438840354,0.03189066059225513,6.534439026545068e-05,1727748227,,False,11,5c174d45,2024-10-01_02-03-47,0.27182674407958984,3.7217044830322266,12972,53f2743d91cf,172.17.0.2,3.7217044830322266,11
11,56.63698476552963,0.8522564126556894,0.38905749192703876,0.04072398190045249,6.534439026545068e-05,1727748228,,False,12,5c174d45,2024-10-01_02-03-48,0.2709217071533203,3.992626190185547,12972,53f2743d91cf,172.17.0.2,3.992626190185547,12
12,56.71564867347479,0.852164675511962,0.3887709483545776,0.053691275167785234,6.534439026545068e-05,1727748228,,False,13,5c174d45,2024-10-01_02-03-48,0.26270508766174316,4.25533127784729,12972,53f2743d91cf,172.17.0.2,4.25533127784729,13
13,56.61926556378603,0.8521371543688439,0.38826482579015864,0.053452115812917596,6.534439026545068e-05,1727748228,,False,14,5c174d45,2024-10-01_02-03-48,0.26573967933654785,4.521070957183838,12972,53f2743d91cf,172.17.0.2,4.521070957183838,14
14,56.577963422983885,0.8521380717402811,0.3881876600368334,0.05333333333333334,1.3008810203033634e-05,1727748229,,False,15,5c174d45,2024-10-01_02-03-49,0.26669931411743164,4.7877702713012695,12972,53f2743d91cf,172.17.0.2,4.7877702713012695,15
15,56.45032939314842,0.8521325675116576,0.3881773461320385,0.05333333333333334,1.3008810203033634e-05,1727748229,,True,16,5c174d45,2024-10-01_02-03-49,0.27495598793029785,5.062726259231567,12972,53f2743d91cf,172.17.0.2,5.062726259231567,16
