epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,281.7048654984683,0.8355868704293107,0.3306818683613076,0.0,0.000517606404467725,1727748442,,False,1,62a1d2bd,2024-10-01_02-07-22,1.6653223037719727,1.6653223037719727,15330,53f2743d91cf,172.17.0.2,1.6653223037719727,1
1,249.31602249422576,0.8450146990937584,0.3574852049815903,0.0,0.000517606404467725,1727748443,,False,2,62a1d2bd,2024-10-01_02-07-23,0.964738130569458,2.6300604343414307,15330,53f2743d91cf,172.17.0.2,2.6300604343414307,2
2,245.7840335185465,0.8439835758886269,0.3531032762046247,0.0,0.000517606404467725,1727748444,,False,3,62a1d2bd,2024-10-01_02-07-24,0.9983177185058594,3.62837815284729,15330,53f2743d91cf,172.17.0.2,3.62837815284729,3
3,243.5408532830479,0.8462042323671616,0.3644301632307599,0.0,0.000517606404467725,1727748445,,False,4,62a1d2bd,2024-10-01_02-07-25,1.0012900829315186,4.629668235778809,15330,53f2743d91cf,172.17.0.2,4.629668235778809,4
4,241.09186174813658,0.8462295002308122,0.3641010674770846,0.0,0.0001851599993800678,1727748446,,False,5,62a1d2bd,2024-10-01_02-07-26,1.0445585250854492,5.674226760864258,15330,53f2743d91cf,172.17.0.2,5.674226760864258,5
5,236.5092677693574,0.8469321412084843,0.36534776014576065,0.0,0.0001851599993800678,1727748447,,False,6,62a1d2bd,2024-10-01_02-07-27,1.1231873035430908,6.797414064407349,15330,53f2743d91cf,172.17.0.2,6.797414064407349,6
6,235.8510442058323,0.8473587793678174,0.36706049658168116,0.0,0.0001851599993800678,1727748448,,False,7,62a1d2bd,2024-10-01_02-07-28,1.1345624923706055,7.931976556777954,15330,53f2743d91cf,172.17.0.2,7.931976556777954,7
7,233.91314464481547,0.8480206030272844,0.36764719722406736,0.0,0.0001851599993800678,1727748450,,False,8,62a1d2bd,2024-10-01_02-07-30,1.1113779544830322,9.043354511260986,15330,53f2743d91cf,172.17.0.2,9.043354511260986,8
8,233.11765811410442,0.847403484049661,0.36665873737721394,0.0,0.0001851599993800678,1727748451,,False,9,62a1d2bd,2024-10-01_02-07-31,1.139524221420288,10.182878732681274,15330,53f2743d91cf,172.17.0.2,10.182878732681274,9
9,231.39529991248855,0.8469773318107826,0.36582334981149606,0.0,6.62360918924149e-05,1727748452,,False,10,62a1d2bd,2024-10-01_02-07-32,1.16416597366333,11.347044706344604,15330,53f2743d91cf,172.17.0.2,11.347044706344604,10
10,231.90048020496033,0.8467873369129473,0.3654411437290966,0.014962593516209476,6.62360918924149e-05,1727748453,,False,11,62a1d2bd,2024-10-01_02-07-33,1.2543940544128418,12.601438760757446,15330,53f2743d91cf,172.17.0.2,12.601438760757446,11
11,230.40372163744178,0.8472956097086907,0.3672007698290186,0.039119804400977995,6.62360918924149e-05,1727748454,,False,12,62a1d2bd,2024-10-01_02-07-34,1.0939655303955078,13.695404291152954,15330,53f2743d91cf,172.17.0.2,13.695404291152954,12
12,229.6685572569695,0.8472800602541365,0.36698319262302703,0.052884615384615384,6.62360918924149e-05,1727748457,,False,13,62a1d2bd,2024-10-01_02-07-37,1.2546985149383545,14.950102806091309,15330,53f2743d91cf,172.17.0.2,14.950102806091309,13
13,229.7239706353721,0.8469846206176048,0.36673041925662064,0.05301204819277108,6.62360918924149e-05,1727748459,,False,14,62a1d2bd,2024-10-01_02-07-39,1.3077359199523926,16.2578387260437,15330,53f2743d91cf,172.17.0.2,16.2578387260437,14
14,226.003652804,0.8470351563449064,0.3677212453531106,0.08333333333333333,2.369420978542468e-05,1727748460,,False,15,62a1d2bd,2024-10-01_02-07-40,1.1692039966583252,17.427042722702026,15330,53f2743d91cf,172.17.0.2,17.427042722702026,15
15,227.28739916579798,0.8470448747540028,0.3674472416081031,0.08735632183908046,2.369420978542468e-05,1727748461,,True,16,62a1d2bd,2024-10-01_02-07-41,1.4183900356292725,18.8454327583313,15330,53f2743d91cf,172.17.0.2,18.8454327583313,16
