epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,66.83806559443474,0.8142573530572615,0.3017163540587485,0.0,0.00188081103083674,1727748490,,False,1,62defabd,2024-10-01_02-08-10,1.2067508697509766,1.2067508697509766,16375,53f2743d91cf,172.17.0.2,1.2067508697509766,1
1,60.43775302916765,0.8243821142703778,0.32313584495503844,0.0,0.00188081103083674,1727748491,,False,2,62defabd,2024-10-01_02-08-11,0.564852237701416,1.7716031074523926,16375,53f2743d91cf,172.17.0.2,1.7716031074523926,2
2,58.76543444767594,0.8248705419870227,0.32477952713871394,0.0,0.00188081103083674,1727748491,,False,3,62defabd,2024-10-01_02-08-11,0.4984719753265381,2.2700750827789307,16375,53f2743d91cf,172.17.0.2,2.2700750827789307,3
3,57.77779118716717,0.824903103834799,0.32962925423017264,0.11210762331838565,0.00188081103083674,1727748492,,False,4,62defabd,2024-10-01_02-08-12,0.43418240547180176,2.7042574882507324,16375,53f2743d91cf,172.17.0.2,2.7042574882507324,4
4,56.576899535954,0.8175076174989344,0.31664156176827374,0.17269076305220885,0.0003687107933443283,1727748492,,False,5,62defabd,2024-10-01_02-08-12,0.46597766876220703,3.1702351570129395,16375,53f2743d91cf,172.17.0.2,3.1702351570129395,5
5,53.97922091931105,0.8249524399677934,0.33466996485415296,0.2395644283121597,0.0003687107933443283,1727748492,,False,6,62defabd,2024-10-01_02-08-12,0.43285131454467773,3.603086471557617,16375,53f2743d91cf,172.17.0.2,3.603086471557617,6
6,53.03396025300026,0.8232907990085411,0.33180929391655056,0.27884615384615385,0.0003687107933443283,1727748493,,False,7,62defabd,2024-10-01_02-08-13,0.4334590435028076,4.036545515060425,16375,53f2743d91cf,172.17.0.2,4.036545515060425,7
7,52.243867829442024,0.8239341421827884,0.3348190468025948,0.2576271186440678,0.0003687107933443283,1727748493,,False,8,62defabd,2024-10-01_02-08-13,0.4423027038574219,4.478848218917847,16375,53f2743d91cf,172.17.0.2,4.478848218917847,8
8,51.79542696475983,0.8226888981860091,0.32916722986088737,0.2687074829931973,0.0003687107933443283,1727748494,,False,9,62defabd,2024-10-01_02-08-14,0.4606592655181885,4.939507484436035,16375,53f2743d91cf,172.17.0.2,4.939507484436035,9
9,51.14433002471924,0.8215995563694922,0.32987653650788223,0.23655913978494625,7.228139717370927e-05,1727748494,,False,10,62defabd,2024-10-01_02-08-14,0.500704288482666,5.440211772918701,16375,53f2743d91cf,172.17.0.2,5.440211772918701,10
10,49.72382792085409,0.822052462070381,0.32969067993944795,0.29067930489731436,7.228139717370927e-05,1727748495,,False,11,62defabd,2024-10-01_02-08-15,0.5278129577636719,5.968024730682373,16375,53f2743d91cf,172.17.0.2,5.968024730682373,11
11,49.39942109584808,0.8221353467738115,0.32954042109364784,0.27768595041322314,7.228139717370927e-05,1727748495,,False,12,62defabd,2024-10-01_02-08-15,0.46744871139526367,6.435473442077637,16375,53f2743d91cf,172.17.0.2,6.435473442077637,12
12,49.26293969899416,0.8218985333354384,0.32872618838192286,0.2768729641693811,7.228139717370927e-05,1727748496,,False,13,62defabd,2024-10-01_02-08-16,0.4664022922515869,6.901875734329224,16375,53f2743d91cf,172.17.0.2,6.901875734329224,13
13,49.145303666591644,0.8218531440930834,0.3279788982460423,0.27608346709470305,7.228139717370927e-05,1727748496,,False,14,62defabd,2024-10-01_02-08-16,0.4395925998687744,7.341468334197998,16375,53f2743d91cf,172.17.0.2,7.341468334197998,14
14,48.92305611073971,0.8217870336748709,0.3281629522419869,0.2764227642276423,1.416991439278102e-05,1727748497,,False,15,62defabd,2024-10-01_02-08-17,0.43016934394836426,7.771637678146362,16375,53f2743d91cf,172.17.0.2,7.771637678146362,15
15,48.64756039902568,0.8217672992216731,0.3279087672725994,0.2765273311897106,1.416991439278102e-05,1727748497,,False,16,62defabd,2024-10-01_02-08-17,0.45745038986206055,8.229088068008423,16375,53f2743d91cf,172.17.0.2,8.229088068008423,16
16,48.646572068333626,0.8217189498113386,0.32791390157791933,0.27463651050080773,1.416991439278102e-05,1727748498,,False,17,62defabd,2024-10-01_02-08-18,0.4665958881378174,8.69568395614624,16375,53f2743d91cf,172.17.0.2,8.69568395614624,17
17,48.3848939165473,0.8217159896433591,0.32788701877821214,0.2765273311897106,1.416991439278102e-05,1727748498,,False,18,62defabd,2024-10-01_02-08-18,0.46851587295532227,9.164199829101562,16375,53f2743d91cf,172.17.0.2,9.164199829101562,18
18,48.56487350910902,0.8217189498113388,0.3279625703694256,0.27741935483870966,1.416991439278102e-05,1727748498,,False,19,62defabd,2024-10-01_02-08-18,0.456650972366333,9.620850801467896,16375,53f2743d91cf,172.17.0.2,9.620850801467896,19
19,48.49783483892679,0.8216646800650448,0.3278224047874978,0.2765273311897106,2.7778443935748142e-06,1727748499,,False,20,62defabd,2024-10-01_02-08-19,0.4407973289489746,10.06164813041687,16375,53f2743d91cf,172.17.0.2,10.06164813041687,20
