epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,77.05803573131561,0.5139340799685628,0.1472037393881752,0.2267669172932331,1.6623065666806152e-06,1727747927,,False,1,6bc207d9,2024-10-01_01-58-47,0.780663013458252,0.780663013458252,7689,53f2743d91cf,172.17.0.2,0.780663013458252,1
1,76.927665412426,0.5130420473523922,0.14613607792782646,0.22647237401335762,1.6623065666806152e-06,1727747929,,False,2,6bc207d9,2024-10-01_01-58-49,0.17350482940673828,0.9541678428649902,7689,53f2743d91cf,172.17.0.2,0.9541678428649902,2
2,76.92668908834457,0.5121750663129974,0.14508457524652318,0.2185960591133005,1.6623065666806152e-06,1727747929,,False,3,6bc207d9,2024-10-01_01-58-49,0.16434741020202637,1.1185152530670166,7689,53f2743d91cf,172.17.0.2,1.1185152530670166,3
3,76.83493036031723,0.5112717359269084,0.1439545754766447,0.21551994973295632,1.6623065666806152e-06,1727747929,,False,4,6bc207d9,2024-10-01_01-58-49,0.16247272491455078,1.2809879779815674,7689,53f2743d91cf,172.17.0.2,1.2809879779815674,4
4,76.72658282518387,0.5100564888495923,0.1426670830574711,0.21557271557271557,3.370807064132434e-07,1727747929,,False,5,6bc207d9,2024-10-01_01-58-49,0.16366887092590332,1.4446568489074707,7689,53f2743d91cf,172.17.0.2,1.4446568489074707,5
5,76.74714601039886,0.5097656940760389,0.1423269790806786,0.21604139715394566,3.370807064132434e-07,1727747930,,False,6,6bc207d9,2024-10-01_01-58-50,0.1706676483154297,1.6153244972229004,7689,53f2743d91cf,172.17.0.2,1.6153244972229004,6
6,76.73079097270966,0.5095972099420375,0.14206292437305085,0.21493506493506492,3.370807064132434e-07,1727747930,,False,7,6bc207d9,2024-10-01_01-58-50,0.16654324531555176,1.7818677425384521,7689,53f2743d91cf,172.17.0.2,1.7818677425384521,7
7,76.69878566265106,0.5093982709499951,0.14181411605773556,0.2138200782268579,3.370807064132434e-07,1727747930,,False,8,6bc207d9,2024-10-01_01-58-50,0.16875433921813965,1.9506220817565918,7689,53f2743d91cf,172.17.0.2,1.9506220817565918,8
8,76.65942972898483,0.5091801748698301,0.1414959628785568,0.2139352306182532,3.370807064132434e-07,1727747930,,False,9,6bc207d9,2024-10-01_01-58-50,0.16668438911437988,2.1173064708709717,7689,53f2743d91cf,172.17.0.2,2.1173064708709717,9
9,76.70069140195847,0.5089807446703999,0.14120411182045864,0.21440315685629727,6.835285675550247e-08,1727747930,,False,10,6bc207d9,2024-10-01_01-58-50,0.1673872470855713,2.284693717956543,7689,53f2743d91cf,172.17.0.2,2.284693717956543,10
10,76.68158972263336,0.5089483249828077,0.14114695457881354,0.21482701812191105,6.835285675550247e-08,1727747930,,False,11,6bc207d9,2024-10-01_01-58-50,0.17363429069519043,2.4583280086517334,7689,53f2743d91cf,172.17.0.2,2.4583280086517334,11
11,76.65625828504562,0.5089291678946851,0.14110916986737093,0.2151815181518152,6.835285675550247e-08,1727747931,,False,12,6bc207d9,2024-10-01_01-58-51,0.1736280918121338,2.631956100463867,7689,53f2743d91cf,172.17.0.2,2.631956100463867,12
12,76.64394348859787,0.50888643285195,0.14107356170143687,0.21532364597093792,6.835285675550247e-08,1727747931,,False,13,6bc207d9,2024-10-01_01-58-51,0.1663525104522705,2.7983086109161377,7689,53f2743d91cf,172.17.0.2,2.7983086109161377,13
13,76.65779674053192,0.508841732979664,0.14101238892222545,0.21487603305785125,6.835285675550247e-08,1727747931,,False,14,6bc207d9,2024-10-01_01-58-51,0.16553258895874023,2.963841199874878,7689,53f2743d91cf,172.17.0.2,2.963841199874878,14
14,76.67303615808487,0.5088019451812555,0.14096984725907805,0.2131039046988749,1.3860517489572579e-08,1727747931,,False,15,6bc207d9,2024-10-01_01-58-51,0.17223429679870605,3.136075496673584,7689,53f2743d91cf,172.17.0.2,3.136075496673584,15
15,76.6507910490036,0.5087921210335004,0.14094419075825468,0.21317444554783185,1.3860517489572579e-08,1727747931,,True,16,6bc207d9,2024-10-01_01-58-51,0.16796231269836426,3.3040378093719482,7689,53f2743d91cf,172.17.0.2,3.3040378093719482,16
