epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,580.3551113791764,0.8347858710284696,0.3434898375584331,0.0,0.0006954918994346389,1727748663,,False,1,6d3bca8d,2024-10-01_02-11-03,2.599255323410034,2.599255323410034,18658,53f2743d91cf,172.17.0.2,2.599255323410034,1
1,497.2481662443606,0.8375780441163349,0.33520944545975434,0.0,0.0006954918994346389,1727748665,,False,2,6d3bca8d,2024-10-01_02-11-05,1.3604340553283691,3.9596893787384033,18658,53f2743d91cf,172.17.0.2,3.9596893787384033,2
2,492.46097644089605,0.8409622346595995,0.3412459841574701,0.0049382716049382715,0.0006954918994346389,1727748666,,False,3,6d3bca8d,2024-10-01_02-11-06,1.3522462844848633,5.311935663223267,18658,53f2743d91cf,172.17.0.2,5.311935663223267,3
3,484.34928957492957,0.841046671508992,0.3428193287925154,0.0,0.0006954918994346389,1727748668,,False,4,6d3bca8d,2024-10-01_02-11-08,1.481628656387329,6.793564319610596,18658,53f2743d91cf,172.17.0.2,6.793564319610596,4
4,483.1461108195217,0.8430803522168031,0.34898739393613787,0.046511627906976744,0.0006954918994346389,1727748669,,False,5,6d3bca8d,2024-10-01_02-11-09,1.3904588222503662,8.184023141860962,18658,53f2743d91cf,172.17.0.2,8.184023141860962,5
5,480.01460990869964,0.8428294404427562,0.34881579854425315,0.0,0.0006954918994346389,1727748671,,False,6,6d3bca8d,2024-10-01_02-11-11,1.6843125820159912,9.868335723876953,18658,53f2743d91cf,172.17.0.2,9.868335723876953,6
6,478.9689051513269,0.8427776269215381,0.34675509268036153,0.0,0.00014946316157898906,1727748673,,False,7,6d3bca8d,2024-10-01_02-11-13,2.0087060928344727,11.877041816711426,18658,53f2743d91cf,172.17.0.2,11.877041816711426,7
7,472.58983323154825,0.8434003486858076,0.3487505446022612,0.004866180048661801,0.00014946316157898906,1727748675,,False,8,6d3bca8d,2024-10-01_02-11-15,2.139892578125,14.016934394836426,18658,53f2743d91cf,172.17.0.2,14.016934394836426,8
8,474.1833133702021,0.8437851120563347,0.350584463371954,0.019184652278177457,0.00014946316157898906,1727748676,,False,9,6d3bca8d,2024-10-01_02-11-16,1.4715750217437744,15.4885094165802,18658,53f2743d91cf,172.17.0.2,15.4885094165802,9
9,470.77725596735036,0.8434185793691991,0.3505032068360037,0.023923444976076555,0.00014946316157898906,1727748678,,False,10,6d3bca8d,2024-10-01_02-11-18,1.548992395401001,17.0375018119812,18658,53f2743d91cf,172.17.0.2,17.0375018119812,10
10,469.59898891659395,0.8433091952688497,0.3502678742978047,0.02403846153846154,0.00014946316157898906,1727748679,,False,11,6d3bca8d,2024-10-01_02-11-19,1.3596608638763428,18.397162675857544,18658,53f2743d91cf,172.17.0.2,18.397162675857544,11
11,468.21835099175587,0.8432775314503277,0.35074809672381124,0.0330188679245283,0.00014946316157898906,1727748680,,False,12,6d3bca8d,2024-10-01_02-11-20,1.261657476425171,19.658820152282715,18658,53f2743d91cf,172.17.0.2,19.658820152282715,12
12,470.3712447558937,0.8435423561143314,0.35221646986804034,0.04640371229698376,0.00014946316157898906,1727748682,,False,13,6d3bca8d,2024-10-01_02-11-22,1.2519214153289795,20.910741567611694,18658,53f2743d91cf,172.17.0.2,20.910741567611694,13
13,469.99193777186883,0.8434521622070257,0.3518335233579694,0.024154589371980676,3.212005299752078e-05,1727748683,,False,14,6d3bca8d,2024-10-01_02-11-23,1.248769760131836,22.15951132774353,18658,53f2743d91cf,172.17.0.2,22.15951132774353,14
14,470.9363227017275,0.8436143193382454,0.35283744148136564,0.03333333333333333,3.212005299752078e-05,1727748684,,False,15,6d3bca8d,2024-10-01_02-11-24,1.2546045780181885,23.41411590576172,18658,53f2743d91cf,172.17.0.2,23.41411590576172,15
15,468.6342721957226,0.8437332985351166,0.35337708242485766,0.037825059101654845,3.212005299752078e-05,1727748685,,True,16,6d3bca8d,2024-10-01_02-11-25,1.2521586418151855,24.666274547576904,18658,53f2743d91cf,172.17.0.2,24.666274547576904,16
