epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,298.75148162292317,0.8320066124613975,0.3380428875720208,0.0,0.002353572984604669,1727748783,,False,1,6ebbe452,2024-10-01_02-13-03,1.6622529029846191,1.6622529029846191,20865,53f2743d91cf,172.17.0.2,1.6622529029846191,1
1,260.1265100101009,0.8364213620560472,0.344899494790733,0.0,0.002353572984604669,1727748784,,False,2,6ebbe452,2024-10-01_02-13-04,0.8469300270080566,2.509182929992676,20865,53f2743d91cf,172.17.0.2,2.509182929992676,2
2,256.0909526873438,0.8396051948257885,0.34543789519344176,0.0,0.002353572984604669,1727748785,,False,3,6ebbe452,2024-10-01_02-13-05,0.9681503772735596,3.4773333072662354,20865,53f2743d91cf,172.17.0.2,3.4773333072662354,3
3,252.2171492734924,0.8406834858930193,0.35167036557122044,0.0,0.002353572984604669,1727748786,,False,4,6ebbe452,2024-10-01_02-13-06,0.8987886905670166,4.376121997833252,20865,53f2743d91cf,172.17.0.2,4.376121997833252,4
4,250.53210452839267,0.8398475129930109,0.35168497988430175,0.0,0.002353572984604669,1727748787,,False,5,6ebbe452,2024-10-01_02-13-07,1.1602997779846191,5.536421775817871,20865,53f2743d91cf,172.17.0.2,5.536421775817871,5
5,248.04934906755807,0.8392508850311792,0.3473803034792718,0.0,0.002353572984604669,1727748788,,False,6,6ebbe452,2024-10-01_02-13-08,1.0786089897155762,6.615030765533447,20865,53f2743d91cf,172.17.0.2,6.615030765533447,6
6,246.26474337788022,0.839532846252344,0.3543753200363324,0.0,0.00041787216772609664,1727748789,,False,7,6ebbe452,2024-10-01_02-13-09,1.1374106407165527,7.75244140625,20865,53f2743d91cf,172.17.0.2,7.75244140625,7
7,243.90194071276346,0.841098746883065,0.3511546338804556,0.0,0.00041787216772609664,1727748791,,False,8,6ebbe452,2024-10-01_02-13-11,1.3999786376953125,9.152420043945312,20865,53f2743d91cf,172.17.0.2,9.152420043945312,8
8,242.97003710526042,0.8415531553888786,0.3477596030494294,0.0,0.00041787216772609664,1727748792,,False,9,6ebbe452,2024-10-01_02-13-12,1.3015589714050293,10.453979015350342,20865,53f2743d91cf,172.17.0.2,10.453979015350342,9
9,242.93606661439117,0.8405452307423955,0.34560844602480684,0.0,0.00041787216772609664,1727748793,,False,10,6ebbe452,2024-10-01_02-13-13,1.048814296722412,11.502793312072754,20865,53f2743d91cf,172.17.0.2,11.502793312072754,10
10,239.71194835938513,0.8406562312934339,0.3480550573533154,0.0,0.00041787216772609664,1727748794,,False,11,6ebbe452,2024-10-01_02-13-14,0.859992504119873,12.362785816192627,20865,53f2743d91cf,172.17.0.2,12.362785816192627,11
11,242.92015215815627,0.8404297703477884,0.3440066484116749,0.0,0.00041787216772609664,1727748795,,False,12,6ebbe452,2024-10-01_02-13-15,1.0247318744659424,13.38751769065857,20865,53f2743d91cf,172.17.0.2,13.38751769065857,12
12,238.20059199095704,0.8403247162548414,0.34315375462729475,0.0,0.00041787216772609664,1727748796,,False,13,6ebbe452,2024-10-01_02-13-16,0.8688058853149414,14.25632357597351,20865,53f2743d91cf,172.17.0.2,14.25632357597351,13
13,240.3032429141458,0.8403217430257957,0.343563330590473,0.0,7.419236611837537e-05,1727748797,,False,14,6ebbe452,2024-10-01_02-13-17,0.9710381031036377,15.227361679077148,20865,53f2743d91cf,172.17.0.2,15.227361679077148,14
14,237.94211677729618,0.8403167876440529,0.3422867925429208,0.0,7.419236611837537e-05,1727748798,,False,15,6ebbe452,2024-10-01_02-13-18,0.8956379890441895,16.122999668121338,20865,53f2743d91cf,172.17.0.2,16.122999668121338,15
15,236.8089216776425,0.8404704044780793,0.34244068056952737,0.0,7.419236611837537e-05,1727748799,,True,16,6ebbe452,2024-10-01_02-13-19,1.1228084564208984,17.245808124542236,20865,53f2743d91cf,172.17.0.2,17.245808124542236,16
