epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2156.578193622753,0.8410049833887044,0.3593972741953821,0.0,0.001617406932230581,1727748935,,False,1,718b01af,2024-10-01_02-15-35,12.114612102508545,12.114612102508545,21868,53f2743d91cf,172.17.0.2,12.114612102508545,1
1,2034.7647409035367,0.8383259505352529,0.3527996970069582,0.0,0.001617406932230581,1727748947,,False,2,718b01af,2024-10-01_02-15-47,11.869179487228394,23.98379158973694,21868,53f2743d91cf,172.17.0.2,23.98379158973694,2
2,2042.2456620609441,0.8401771871539313,0.3690448215826167,0.0,0.001617406932230581,1727748960,,False,3,718b01af,2024-10-01_02-16-00,12.691598653793335,36.67539024353027,21868,53f2743d91cf,172.17.0.2,36.67539024353027,3
3,2008.0483722731499,0.8409689922480621,0.36250491397855955,0.0,0.001617406932230581,1727748969,,False,4,718b01af,2024-10-01_02-16-09,9.068647623062134,45.74403786659241,21868,53f2743d91cf,172.17.0.2,45.74403786659241,4
4,2008.1855372188284,0.8319472129937246,0.3391914941886263,0.0,0.0003473036311443449,1727748978,,False,5,718b01af,2024-10-01_02-16-18,9.182940006256104,54.92697787284851,21868,53f2743d91cf,172.17.0.2,54.92697787284851,5
5,1871.8252949751563,0.837516611295681,0.363323766875529,0.0,0.0003473036311443449,1727748987,,False,6,718b01af,2024-10-01_02-16-27,9.254636287689209,64.18161416053772,21868,53f2743d91cf,172.17.0.2,64.18161416053772,6
6,1847.3449623098143,0.8373837209302325,0.36321943185817496,0.0,0.0003473036311443449,1727748997,,False,7,718b01af,2024-10-01_02-16-37,9.818622350692749,74.00023651123047,21868,53f2743d91cf,172.17.0.2,74.00023651123047,7
7,1827.6928865043947,0.8376291989664082,0.3655706847650721,0.0,0.0003473036311443449,1727749010,,False,8,718b01af,2024-10-01_02-16-50,13.09157133102417,87.09180784225464,21868,53f2743d91cf,172.17.0.2,87.09180784225464,8
8,1814.548242527692,0.8360317460317459,0.36931949700140854,0.08583690987124463,0.0003473036311443449,1727749027,,False,9,718b01af,2024-10-01_02-17-07,17.018943309783936,104.11075115203857,21868,53f2743d91cf,172.17.0.2,104.11075115203857,9
9,1803.5338926914733,0.8349031007751938,0.3665341201239615,0.0,7.45760450276414e-05,1727749045,,False,10,718b01af,2024-10-01_02-17-25,18.003597736358643,122.11434888839722,21868,53f2743d91cf,172.17.0.2,122.11434888839722,10
10,1752.175651401769,0.8351744186046511,0.3691876794274716,0.17374517374517376,7.45760450276414e-05,1727749065,,False,11,718b01af,2024-10-01_02-17-45,19.846508741378784,141.960857629776,21868,53f2743d91cf,172.17.0.2,141.960857629776,11
11,1739.0587251556578,0.8354032853451457,0.3655521671366925,0.22996515679442509,7.45760450276414e-05,1727749088,,False,12,718b01af,2024-10-01_02-18-08,22.68672204017639,164.6475796699524,21868,53f2743d91cf,172.17.0.2,164.6475796699524,12
12,1735.0608545217249,0.8358822443706163,0.3680360317590727,0.2229965156794425,7.45760450276414e-05,1727749113,,False,13,718b01af,2024-10-01_02-18-33,24.93348503112793,189.58106470108032,21868,53f2743d91cf,172.17.0.2,189.58106470108032,13
13,1722.8734520366556,0.835344222960502,0.367097355595316,0.2218370883882149,7.45760450276414e-05,1727749140,,False,14,718b01af,2024-10-01_02-19-00,26.984925270080566,216.5659899711609,21868,53f2743d91cf,172.17.0.2,216.5659899711609,14
14,1722.5388602637668,0.8353719084533039,0.3640642184923294,0.25245901639344265,1.6013614581683756e-05,1727749168,,False,15,718b01af,2024-10-01_02-19-28,28.45906376838684,245.02505373954773,21868,53f2743d91cf,172.17.0.2,245.02505373954773,15
15,1699.8917697809366,0.8353562200073827,0.3658000685298038,0.2229965156794425,1.6013614581683756e-05,1727749199,,False,16,718b01af,2024-10-01_02-19-59,30.251983880996704,275.27703762054443,21868,53f2743d91cf,172.17.0.2,275.27703762054443,16
16,1695.4058452118256,0.8351531930601698,0.36456806589721635,0.24242424242424243,1.6013614581683756e-05,1727749231,,False,17,718b01af,2024-10-01_02-20-31,32.08296608924866,307.3600037097931,21868,53f2743d91cf,172.17.0.2,307.3600037097931,17
17,1692.8474955553888,0.8351864156515318,0.36495071525500744,0.22956521739130434,1.6013614581683756e-05,1727749265,,False,18,718b01af,2024-10-01_02-21-05,34.468618869781494,341.8286225795746,21868,53f2743d91cf,172.17.0.2,341.8286225795746,18
18,1687.5351854200321,0.8350419896640827,0.36386475764811727,0.23785594639865998,1.6013614581683756e-05,1727749303,,False,19,718b01af,2024-10-01_02-21-43,37.67441964149475,379.50304222106934,21868,53f2743d91cf,172.17.0.2,379.50304222106934,19
19,1692.7276722920374,0.8350046142488002,0.36428263992074433,0.23208191126279865,3.4385820792141417e-06,1727749343,,False,20,718b01af,2024-10-01_02-22-23,40.364460945129395,419.86750316619873,21868,53f2743d91cf,172.17.0.2,419.86750316619873,20
