epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,519.6223520679487,0.8379409595851471,0.35146584545577064,0.0,0.004415642840864562,1727748456,,False,1,748e96da,2024-10-01_02-07-36,2.098987340927124,2.098987340927124,15649,53f2743d91cf,172.17.0.2,2.098987340927124,1
1,503.85694475165656,0.8375517971407502,0.3450735324377836,0.0,0.004415642840864562,1727748458,,False,2,748e96da,2024-10-01_02-07-38,1.4516665935516357,3.5506539344787598,15649,53f2743d91cf,172.17.0.2,3.5506539344787598,2
2,498.0120567392223,0.8370189585860748,0.34955628479640144,0.0,0.004415642840864562,1727748459,,False,3,748e96da,2024-10-01_02-07-39,1.632568120956421,5.183222055435181,15649,53f2743d91cf,172.17.0.2,5.183222055435181,3
3,494.8107260721372,0.8440324460619901,0.36632536724497805,0.0,0.004415642840864562,1727748461,,False,4,748e96da,2024-10-01_02-07-41,1.7022569179534912,6.885478973388672,15649,53f2743d91cf,172.17.0.2,6.885478973388672,4
4,493.2389802845464,0.8369599657460929,0.3422671972911486,0.0,0.004415642840864562,1727748462,,False,5,748e96da,2024-10-01_02-07-42,1.5200614929199219,8.405540466308594,15649,53f2743d91cf,172.17.0.2,8.405540466308594,5
5,492.57994652545676,0.8449810889887961,0.3759009577938849,0.0,0.004415642840864562,1727748464,,False,6,748e96da,2024-10-01_02-07-44,1.7206530570983887,10.126193523406982,15649,53f2743d91cf,172.17.0.2,10.126193523406982,6
6,490.6493140418024,0.8458479031375625,0.36476800116402436,0.0,0.004415642840864562,1727748466,,False,7,748e96da,2024-10-01_02-07-46,1.7145600318908691,11.840753555297852,15649,53f2743d91cf,172.17.0.2,11.840753555297852,7
7,488.829990094142,0.8439943861652276,0.3635344914486304,0.0,0.004415642840864562,1727748467,,False,8,748e96da,2024-10-01_02-07-47,1.4906702041625977,13.33142375946045,15649,53f2743d91cf,172.17.0.2,13.33142375946045,8
8,488.3867773928214,0.8466424034824805,0.3711848960973171,0.0,0.004415642840864562,1727748469,,False,9,748e96da,2024-10-01_02-07-49,1.7193894386291504,15.0508131980896,15649,53f2743d91cf,172.17.0.2,15.0508131980896,9
9,490.57482419932785,0.8421713171103024,0.34302753642683725,0.0,0.0004750044698945578,1727748471,,False,10,748e96da,2024-10-01_02-07-51,1.4222784042358398,16.47309160232544,15649,53f2743d91cf,172.17.0.2,16.47309160232544,10
10,477.89339000680775,0.8440952448916481,0.35065657752434837,0.0,0.0004750044698945578,1727748472,,False,11,748e96da,2024-10-01_02-07-52,1.528014898300171,18.00110650062561,15649,53f2743d91cf,172.17.0.2,18.00110650062561,11
11,471.15050204542786,0.845280810675801,0.3553954561337639,0.0,0.0004750044698945578,1727748474,,False,12,748e96da,2024-10-01_02-07-54,1.5477259159088135,19.548832416534424,15649,53f2743d91cf,172.17.0.2,19.548832416534424,12
12,472.88553858660816,0.845277956183544,0.354691500612743,0.0,0.0004750044698945578,1727748475,,False,13,748e96da,2024-10-01_02-07-55,1.619286060333252,21.168118476867676,15649,53f2743d91cf,172.17.0.2,21.168118476867676,13
13,470.85196278996955,0.8451228621042365,0.3554552272371211,0.0,0.0004750044698945578,1727748477,,False,14,748e96da,2024-10-01_02-07-57,1.459686279296875,22.62780475616455,15649,53f2743d91cf,172.17.0.2,22.62780475616455,14
14,470.94862454772556,0.8447698565617642,0.354934241797908,0.0,0.0004750044698945578,1727748478,,False,15,748e96da,2024-10-01_02-07-58,1.5643365383148193,24.19214129447937,15649,53f2743d91cf,172.17.0.2,24.19214129447937,15
15,468.9627351781637,0.8461599942910156,0.3583858266530932,0.0,0.0004750044698945578,1727748480,,True,16,748e96da,2024-10-01_02-08-00,1.3816874027252197,25.57382869720459,15649,53f2743d91cf,172.17.0.2,25.57382869720459,16
