epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,48.912916749715805,0.8319674619073635,0.33019692148076457,0.0,0.0016444527509154286,1727749365,,False,1,74f9bc79,2024-10-01_02-22-45,0.8357253074645996,0.8357253074645996,24021,53f2743d91cf,172.17.0.2,0.8357253074645996,1
1,33.36485804617405,0.8437110654375268,0.34604039236026335,0.0,0.0016444527509154286,1727749367,,False,2,74f9bc79,2024-10-01_02-22-47,0.22382616996765137,1.059551477432251,24021,53f2743d91cf,172.17.0.2,1.059551477432251,2
2,32.15387724339962,0.8426217408187905,0.3486557837253317,0.0,0.0016444527509154286,1727749367,,False,3,74f9bc79,2024-10-01_02-22-47,0.20423531532287598,1.263786792755127,24021,53f2743d91cf,172.17.0.2,1.263786792755127,3
3,31.37227937579155,0.8500586337045999,0.3739520350648104,0.0,0.0016444527509154286,1727749368,,False,4,74f9bc79,2024-10-01_02-22-48,0.23651480674743652,1.5003015995025635,24021,53f2743d91cf,172.17.0.2,1.5003015995025635,4
4,31.614334776997566,0.8471047861869205,0.34994938239745677,0.0,0.0016444527509154286,1727749368,,False,5,74f9bc79,2024-10-01_02-22-48,0.22562575340270996,1.7259273529052734,24021,53f2743d91cf,172.17.0.2,1.7259273529052734,5
5,31.445127055048943,0.8447801549240266,0.35320944725346914,0.0,0.0016444527509154286,1727749368,,False,6,74f9bc79,2024-10-01_02-22-48,0.209136962890625,1.9350643157958984,24021,53f2743d91cf,172.17.0.2,1.9350643157958984,6
6,31.61239765584469,0.8437240737368219,0.3462889453386274,0.0,0.0016444527509154286,1727749368,,False,7,74f9bc79,2024-10-01_02-22-48,0.21729707717895508,2.1523613929748535,24021,53f2743d91cf,172.17.0.2,2.1523613929748535,7
7,30.821674287319183,0.8471120130198623,0.3600682851224155,0.0,0.0016444527509154286,1727749368,,False,8,74f9bc79,2024-10-01_02-22-48,0.19581294059753418,2.3481743335723877,24021,53f2743d91cf,172.17.0.2,2.3481743335723877,8
8,31.021545201539993,0.850073087370483,0.37875856793223106,0.0,0.0016444527509154286,1727749369,,False,9,74f9bc79,2024-10-01_02-22-49,0.20027756690979004,2.5484519004821777,24021,53f2743d91cf,172.17.0.2,2.5484519004821777,9
9,30.886387795209885,0.8482471075805623,0.36611879201631237,0.0,0.000494327872790556,1727749369,,False,10,74f9bc79,2024-10-01_02-22-49,0.20114612579345703,2.7495980262756348,24021,53f2743d91cf,172.17.0.2,2.7495980262756348,10
10,30.612550035119057,0.8493720845751441,0.37392580038623685,0.0,0.000494327872790556,1727749369,,False,11,74f9bc79,2024-10-01_02-22-49,0.19401955604553223,2.943617582321167,24021,53f2743d91cf,172.17.0.2,2.943617582321167,11
11,30.22152692079544,0.8491201089999123,0.3663476354437149,0.0,0.000494327872790556,1727749369,,False,12,74f9bc79,2024-10-01_02-22-49,0.21758413314819336,3.1612017154693604,24021,53f2743d91cf,172.17.0.2,3.1612017154693604,12
12,30.36532475054264,0.8496308051944548,0.3682688903661403,0.0,0.000494327872790556,1727749369,,False,13,74f9bc79,2024-10-01_02-22-49,0.21447277069091797,3.3756744861602783,24021,53f2743d91cf,172.17.0.2,3.3756744861602783,13
13,30.12164629995823,0.8492251389719976,0.3707403410228574,0.0,0.000494327872790556,1727749370,,False,14,74f9bc79,2024-10-01_02-22-50,0.20218968391418457,3.577864170074463,24021,53f2743d91cf,172.17.0.2,3.577864170074463,14
14,30.136136651039124,0.8497869047859941,0.36799682865351857,0.0,0.000494327872790556,1727749370,,False,15,74f9bc79,2024-10-01_02-22-50,0.2109684944152832,3.788832664489746,24021,53f2743d91cf,172.17.0.2,3.788832664489746,15
15,29.871840745210648,0.8504286475512116,0.3756668232519385,0.0,0.000494327872790556,1727749370,,True,16,74f9bc79,2024-10-01_02-22-50,0.2115485668182373,4.000381231307983,24021,53f2743d91cf,172.17.0.2,4.000381231307983,16
