epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,147.0566589832306,0.36993819578483556,0.1025592068631179,0.0,6.562448294204842e-06,1727748463,,False,1,7657dcc8,2024-10-01_02-07-43,1.3817524909973145,1.3817524909973145,15790,53f2743d91cf,172.17.0.2,1.3817524909973145,1
1,145.6992199420929,0.40334700880410657,0.10863558522138297,0.0,6.562448294204842e-06,1727748464,,False,2,7657dcc8,2024-10-01_02-07-44,0.3896772861480713,1.7714297771453857,15790,53f2743d91cf,172.17.0.2,1.7714297771453857,2
2,144.44486713409424,0.44852016180319393,0.11871121381049363,0.0,6.562448294204842e-06,1727748464,,False,3,7657dcc8,2024-10-01_02-07-44,0.30847597122192383,2.0799057483673096,15790,53f2743d91cf,172.17.0.2,2.0799057483673096,3
3,143.12227421998978,0.5036616467569266,0.1342419967375092,0.0,6.562448294204842e-06,1727748464,,False,4,7657dcc8,2024-10-01_02-07-44,0.4064316749572754,2.486337423324585,15790,53f2743d91cf,172.17.0.2,2.486337423324585,4
4,141.68848758935928,0.5589006146998777,0.1547835081494825,0.0,6.562448294204842e-06,1727748465,,False,5,7657dcc8,2024-10-01_02-07-45,0.36753368377685547,2.8538711071014404,15790,53f2743d91cf,172.17.0.2,2.8538711071014404,5
5,140.26665782928467,0.6050077475766193,0.17772445465261077,0.0,6.562448294204842e-06,1727748465,,False,6,7657dcc8,2024-10-01_02-07-45,0.36808180809020996,3.2219529151916504,15790,53f2743d91cf,172.17.0.2,3.2219529151916504,6
6,138.72424292564392,0.6420614959832366,0.19755701825875652,0.0,6.562448294204842e-06,1727748465,,False,7,7657dcc8,2024-10-01_02-07-45,0.2971620559692383,3.5191149711608887,15790,53f2743d91cf,172.17.0.2,3.5191149711608887,7
7,136.97749662399292,0.6660938380538309,0.21229930024895696,0.0,6.562448294204842e-06,1727748466,,False,8,7657dcc8,2024-10-01_02-07-46,0.3061833381652832,3.825298309326172,15790,53f2743d91cf,172.17.0.2,3.825298309326172,8
8,135.10577583312988,0.6806717227843742,0.2227885672366044,0.0,6.562448294204842e-06,1727748466,,False,9,7657dcc8,2024-10-01_02-07-46,0.3544454574584961,4.179743766784668,15790,53f2743d91cf,172.17.0.2,4.179743766784668,9
9,133.0603614449501,0.6874825342977651,0.22953039468397937,0.0,2.2604418662721657e-06,1727748466,,False,10,7657dcc8,2024-10-01_02-07-46,0.3311336040496826,4.510877370834351,15790,53f2743d91cf,172.17.0.2,4.510877370834351,10
10,131.4020830988884,0.6881078180428943,0.23047834033797795,0.0,2.2604418662721657e-06,1727748467,,False,11,7657dcc8,2024-10-01_02-07-47,0.3201265335083008,4.831003904342651,15790,53f2743d91cf,172.17.0.2,4.831003904342651,11
11,130.65629702806473,0.6887683813460265,0.23131508894739994,0.0,2.2604418662721657e-06,1727748467,,False,12,7657dcc8,2024-10-01_02-07-47,0.3134644031524658,5.144468307495117,15790,53f2743d91cf,172.17.0.2,5.144468307495117,12
12,129.88468331098557,0.6884429738439213,0.23156780582749184,0.0,2.2604418662721657e-06,1727748467,,False,13,7657dcc8,2024-10-01_02-07-47,0.30589914321899414,5.450367450714111,15790,53f2743d91cf,172.17.0.2,5.450367450714111,13
13,129.15872967243195,0.6881574879469248,0.23150304256936238,0.0,2.2604418662721657e-06,1727748468,,False,14,7657dcc8,2024-10-01_02-07-48,0.3188033103942871,5.769170761108398,15790,53f2743d91cf,172.17.0.2,5.769170761108398,14
14,128.2661702632904,0.6879272424104851,0.23166663321626965,0.0,2.2604418662721657e-06,1727748468,,False,15,7657dcc8,2024-10-01_02-07-48,0.3287684917449951,6.0979392528533936,15790,53f2743d91cf,172.17.0.2,6.0979392528533936,15
15,127.58868885040283,0.6874987814626348,0.23140877305761984,0.0,2.2604418662721657e-06,1727748468,,True,16,7657dcc8,2024-10-01_02-07-48,0.30313539505004883,6.401074647903442,15790,53f2743d91cf,172.17.0.2,6.401074647903442,16
