epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,38.12017598748207,0.851030209514154,0.37566262304644016,0.0,0.0014180932447243192,1727748461,,False,1,768d6237,2024-10-01_02-07-41,1.5816926956176758,1.5816926956176758,15733,53f2743d91cf,172.17.0.2,1.5816926956176758,1
1,32.09164349734783,0.8493061532191205,0.37172829108661126,0.0,0.0014180932447243192,1727748461,,False,2,768d6237,2024-10-01_02-07-41,0.7055034637451172,2.287196159362793,15733,53f2743d91cf,172.17.0.2,2.287196159362793,2
2,32.08338221907616,0.853682675230315,0.3757901209841168,0.0,0.0014180932447243192,1727748462,,False,3,768d6237,2024-10-01_02-07-42,0.5063333511352539,2.793529510498047,15733,53f2743d91cf,172.17.0.2,2.793529510498047,3
3,31.818852350115776,0.8485383586278481,0.3568273718198238,0.0,0.0014180932447243192,1727748462,,False,4,768d6237,2024-10-01_02-07-42,0.4883415699005127,3.2818710803985596,15733,53f2743d91cf,172.17.0.2,3.2818710803985596,4
4,31.500894516706467,0.8532695330379135,0.36796835819670537,0.0,0.0014180932447243192,1727748463,,False,5,768d6237,2024-10-01_02-07-43,0.5850939750671387,3.8669650554656982,15733,53f2743d91cf,172.17.0.2,3.8669650554656982,5
5,31.571753099560738,0.8531154170740063,0.36727842799022065,0.0,0.0014180932447243192,1727748463,,False,6,768d6237,2024-10-01_02-07-43,0.514420747756958,4.381385803222656,15733,53f2743d91cf,172.17.0.2,4.381385803222656,6
6,31.761010333895683,0.8516995927067871,0.3698420761588819,0.0,0.00032527201734770415,1727748464,,False,7,768d6237,2024-10-01_02-07-44,0.4866952896118164,4.868081092834473,15733,53f2743d91cf,172.17.0.2,4.868081092834473,7
7,31.30356888473034,0.8536111877048884,0.37516240650969174,0.0,0.00032527201734770415,1727748464,,False,8,768d6237,2024-10-01_02-07-44,0.4727354049682617,5.340816497802734,15733,53f2743d91cf,172.17.0.2,5.340816497802734,8
8,31.06430023908615,0.8541199560676662,0.3741172883554728,0.0,0.00032527201734770415,1727748465,,False,9,768d6237,2024-10-01_02-07-45,0.5267014503479004,5.867517948150635,15733,53f2743d91cf,172.17.0.2,5.867517948150635,9
9,31.236795872449875,0.8546983551370285,0.3784870342409622,0.0,0.00032527201734770415,1727748465,,False,10,768d6237,2024-10-01_02-07-45,0.48511266708374023,6.352630615234375,15733,53f2743d91cf,172.17.0.2,6.352630615234375,10
10,31.07317915558815,0.8544857493795904,0.3782181500407344,0.0,0.00032527201734770415,1727748466,,False,11,768d6237,2024-10-01_02-07-46,0.4521512985229492,6.804781913757324,15733,53f2743d91cf,172.17.0.2,6.804781913757324,11
11,31.135429963469505,0.8555589906704137,0.3774630070548269,0.0,0.00032527201734770415,1727748466,,False,12,768d6237,2024-10-01_02-07-46,0.4570798873901367,7.261861801147461,15733,53f2743d91cf,172.17.0.2,7.261861801147461,12
12,30.860869705677032,0.8551653450758555,0.37592086621090925,0.0,0.00032527201734770415,1727748467,,False,13,768d6237,2024-10-01_02-07-47,0.4574589729309082,7.719320774078369,15733,53f2743d91cf,172.17.0.2,7.719320774078369,13
13,31.104401648044586,0.8554596508623531,0.3750885495456208,0.0,7.460855318439466e-05,1727748467,,False,14,768d6237,2024-10-01_02-07-47,0.4638540744781494,8.183174848556519,15733,53f2743d91cf,172.17.0.2,8.183174848556519,14
14,30.703295648097992,0.8552386894201248,0.3778306131650888,0.0,7.460855318439466e-05,1727748468,,False,15,768d6237,2024-10-01_02-07-48,0.4659764766693115,8.64915132522583,15733,53f2743d91cf,172.17.0.2,8.64915132522583,15
15,30.639628440141678,0.8553668099202403,0.37747957953247036,0.0,7.460855318439466e-05,1727748468,,True,16,768d6237,2024-10-01_02-07-48,0.49227046966552734,9.141421794891357,15733,53f2743d91cf,172.17.0.2,9.141421794891357,16
