epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,4618.455551981926,0.7119902923071308,0.2315959628712482,0.0,1.6883154039993168e-06,1727748517,,False,1,770e632f,2024-10-01_02-08-37,6.796069145202637,6.796069145202637,16832,53f2743d91cf,172.17.0.2,6.796069145202637,1
1,4455.1100262999535,0.7091903922667913,0.22842491589291394,0.0,1.6883154039993168e-06,1727748523,,False,2,770e632f,2024-10-01_02-08-43,6.141406059265137,12.937475204467773,16832,53f2743d91cf,172.17.0.2,12.937475204467773,2
2,4295.669102430344,0.6960496279123313,0.22281691359668124,0.0,1.6883154039993168e-06,1727748529,,False,3,770e632f,2024-10-01_02-08-49,6.375393629074097,19.31286883354187,16832,53f2743d91cf,172.17.0.2,19.31286883354187,3
3,4129.01550334692,0.6843633327748821,0.22031340085873918,0.0,1.6883154039993168e-06,1727748537,,False,4,770e632f,2024-10-01_02-08-57,7.801882743835449,27.11475157737732,16832,53f2743d91cf,172.17.0.2,27.11475157737732,4
4,3952.6174058020115,0.6787742961407898,0.21916433569415525,0.0,3.230426718512615e-07,1727748544,,False,5,770e632f,2024-10-01_02-09-04,6.630197763442993,33.74494934082031,16832,53f2743d91cf,172.17.0.2,33.74494934082031,5
5,3847.316493719816,0.6778753143628368,0.21915274552775313,0.0,3.230426718512615e-07,1727748550,,False,6,770e632f,2024-10-01_02-09-10,6.036799907684326,39.78174924850464,16832,53f2743d91cf,172.17.0.2,39.78174924850464,6
6,3807.374983638525,0.676740472711855,0.2185383262935942,0.0,3.230426718512615e-07,1727748556,,False,7,770e632f,2024-10-01_02-09-16,5.787231683731079,45.56898093223572,16832,53f2743d91cf,172.17.0.2,45.56898093223572,7
7,3775.7106741964817,0.6760436565393554,0.21836583626771866,0.0,3.230426718512615e-07,1727748561,,False,8,770e632f,2024-10-01_02-09-21,5.761437654495239,51.33041858673096,16832,53f2743d91cf,172.17.0.2,51.33041858673096,8
8,3739.157980889082,0.6754984645709456,0.21824747929745258,0.0,3.230426718512615e-07,1727748567,,False,9,770e632f,2024-10-01_02-09-27,5.910012245178223,57.24043083190918,16832,53f2743d91cf,172.17.0.2,57.24043083190918,9
9,3698.6983046233654,0.6751385910742014,0.2181131019880866,0.0,6.181106183690548e-08,1727748573,,False,10,770e632f,2024-10-01_02-09-33,6.0357911586761475,63.27622199058533,16832,53f2743d91cf,172.17.0.2,63.27622199058533,10
10,3676.386460632086,0.6751151922772738,0.21816253038376404,0.0,6.181106183690548e-08,1727748579,,False,11,770e632f,2024-10-01_02-09-39,6.105943441390991,69.38216543197632,16832,53f2743d91cf,172.17.0.2,69.38216543197632,11
11,3660.8396685421467,0.6750805620578212,0.21809588414441547,0.0,6.181106183690548e-08,1727748586,,False,12,770e632f,2024-10-01_02-09-46,6.499750137329102,75.88191556930542,16832,53f2743d91cf,172.17.0.2,75.88191556930542,12
12,3660.64949709177,0.6751053647825644,0.21811145198267196,0.0,6.181106183690548e-08,1727748593,,False,13,770e632f,2024-10-01_02-09-53,6.749947547912598,82.63186311721802,16832,53f2743d91cf,172.17.0.2,82.63186311721802,13
13,3655.320752978325,0.6751194040607209,0.21792863631165493,0.0,6.181106183690548e-08,1727748600,,False,14,770e632f,2024-10-01_02-10-00,6.969207763671875,89.60107088088989,16832,53f2743d91cf,172.17.0.2,89.60107088088989,14
14,3643.495758295059,0.6751175321569666,0.218028975321996,0.0,1.1826943306006566e-08,1727748607,,False,15,770e632f,2024-10-01_02-10-07,7.068045139312744,96.66911602020264,16832,53f2743d91cf,172.17.0.2,96.66911602020264,15
15,3646.2424135506153,0.6751526303523578,0.2180367619915048,0.0,1.1826943306006566e-08,1727748614,,True,16,770e632f,2024-10-01_02-10-14,7.048952102661133,103.71806812286377,16832,53f2743d91cf,172.17.0.2,103.71806812286377,16
