epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,75.30663058161736,0.8572288506073539,0.36987923053919447,0.0,0.0016975188159207583,1727748158,,False,1,7a136ecf,2024-10-01_02-02-38,0.9732816219329834,0.9732816219329834,11400,53f2743d91cf,172.17.0.2,0.9732816219329834,1
1,61.98132002353668,0.8518132621920734,0.3678536130917113,0.0,0.0016975188159207583,1727748158,,False,2,7a136ecf,2024-10-01_02-02-38,0.285999059677124,1.2592806816101074,11400,53f2743d91cf,172.17.0.2,1.2592806816101074,2
2,60.90995468199253,0.855481983369264,0.37370317660741764,0.0,0.0016975188159207583,1727748158,,False,3,7a136ecf,2024-10-01_02-02-38,0.3725013732910156,1.631782054901123,11400,53f2743d91cf,172.17.0.2,1.631782054901123,3
3,60.19586677104235,0.8561839300213184,0.3896676500742782,0.0,0.0016975188159207583,1727748159,,False,4,7a136ecf,2024-10-01_02-02-39,0.34378910064697266,1.9755711555480957,11400,53f2743d91cf,172.17.0.2,1.9755711555480957,4
4,59.57593410462141,0.855054015894792,0.37993739053639386,0.0,0.0003174914173460984,1727748159,,False,5,7a136ecf,2024-10-01_02-02-39,0.2814054489135742,2.25697660446167,11400,53f2743d91cf,172.17.0.2,2.25697660446167,5
5,57.86362028867006,0.8559324491338658,0.38535074571949623,0.0,0.0003174914173460984,1727748159,,False,6,7a136ecf,2024-10-01_02-02-39,0.3196139335632324,2.5765905380249023,11400,53f2743d91cf,172.17.0.2,2.5765905380249023,6
6,57.35936935245991,0.8554099888408481,0.3848875198992266,0.0,0.0003174914173460984,1727748159,,False,7,7a136ecf,2024-10-01_02-02-39,0.27625179290771484,2.852842330932617,11400,53f2743d91cf,172.17.0.2,2.852842330932617,7
7,57.05476997047663,0.8554069890688307,0.385566214270485,0.015544041450777202,0.0003174914173460984,1727748160,,False,8,7a136ecf,2024-10-01_02-02-40,0.27150654792785645,3.1243488788604736,11400,53f2743d91cf,172.17.0.2,3.1243488788604736,8
8,56.760148108005524,0.8547640379331172,0.3848297366382899,0.05867970660146699,0.0003174914173460984,1727748160,,False,9,7a136ecf,2024-10-01_02-02-40,0.2939627170562744,3.418311595916748,11400,53f2743d91cf,172.17.0.2,3.418311595916748,9
9,56.586985014379025,0.8541000883932822,0.3869627688967929,0.11818181818181818,5.9381256421454544e-05,1727748160,,False,10,7a136ecf,2024-10-01_02-02-40,0.30594801902770996,3.724259614944458,11400,53f2743d91cf,172.17.0.2,3.724259614944458,10
10,55.95540224760771,0.85413608565749,0.3862278201299542,0.125,5.9381256421454544e-05,1727748161,,False,11,7a136ecf,2024-10-01_02-02-41,0.2927885055541992,4.017048120498657,11400,53f2743d91cf,172.17.0.2,4.017048120498657,11
11,55.885171100497246,0.8541590839096229,0.38611995226783624,0.13973799126637554,5.9381256421454544e-05,1727748161,,False,12,7a136ecf,2024-10-01_02-02-41,0.3055903911590576,4.322638511657715,11400,53f2743d91cf,172.17.0.2,4.322638511657715,12
12,55.80300676077604,0.8541300861134553,0.3861417748405278,0.15550755939524838,5.9381256421454544e-05,1727748161,,False,13,7a136ecf,2024-10-01_02-02-41,0.27519774436950684,4.597836256027222,11400,53f2743d91cf,172.17.0.2,4.597836256027222,13
13,55.73265192657709,0.8541660833776634,0.38685778997530895,0.15550755939524838,5.9381256421454544e-05,1727748162,,False,14,7a136ecf,2024-10-01_02-02-42,0.2752857208251953,4.873121976852417,11400,53f2743d91cf,172.17.0.2,4.873121976852417,14
14,55.680644661188126,0.8541055879753138,0.3866444513778624,0.1670235546038544,1.1106232866593326e-05,1727748162,,False,15,7a136ecf,2024-10-01_02-02-42,0.2736330032348633,5.14675498008728,11400,53f2743d91cf,172.17.0.2,5.14675498008728,15
15,55.54513932019472,0.8540640911290742,0.3865273071795288,0.1670235546038544,1.1106232866593326e-05,1727748162,,False,16,7a136ecf,2024-10-01_02-02-42,0.30866169929504395,5.455416679382324,11400,53f2743d91cf,172.17.0.2,5.455416679382324,16
16,55.57612033933401,0.8540790899891608,0.38661634073918344,0.17446808510638298,1.1106232866593326e-05,1727748162,,False,17,7a136ecf,2024-10-01_02-02-42,0.2796180248260498,5.735034704208374,11400,53f2743d91cf,172.17.0.2,5.735034704208374,17
17,55.522437281906605,0.85406509105308,0.38670678364768635,0.17446808510638298,1.1106232866593326e-05,1727748163,,False,18,7a136ecf,2024-10-01_02-02-43,0.28539061546325684,6.020425319671631,11400,53f2743d91cf,172.17.0.2,6.020425319671631,18
18,55.56512609124184,0.8540420928009471,0.3867265709592273,0.17834394904458598,1.1106232866593326e-05,1727748163,,False,19,7a136ecf,2024-10-01_02-02-43,0.3178977966308594,6.33832311630249,11400,53f2743d91cf,172.17.0.2,6.33832311630249,19
19,55.51441787183285,0.8540420928009471,0.386690443791973,0.17834394904458598,2.077227999548218e-06,1727748163,,False,20,7a136ecf,2024-10-01_02-02-43,0.2831883430480957,6.621511459350586,11400,53f2743d91cf,172.17.0.2,6.621511459350586,20
