epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,80.33727980777621,0.8392032221059178,0.33758351212302684,0.0,0.0012352497478683685,1727748266,,False,1,7a458b69,2024-10-01_02-04-26,1.037585973739624,1.037585973739624,13940,53f2743d91cf,172.17.0.2,1.037585973739624,1
1,61.90707274526358,0.8457390719933255,0.35013794531396547,0.0,0.0012352497478683685,1727748266,,False,2,7a458b69,2024-10-01_02-04-26,0.39645981788635254,1.4340457916259766,13940,53f2743d91cf,172.17.0.2,1.4340457916259766,2
2,61.01083116978407,0.8491409777558043,0.3545636917198658,0.0,0.0012352497478683685,1727748267,,False,3,7a458b69,2024-10-01_02-04-27,0.33940768241882324,1.7734534740447998,13940,53f2743d91cf,172.17.0.2,1.7734534740447998,3
3,60.110862016677856,0.8500254925665993,0.3603229847588084,0.0,0.0012352497478683685,1727748267,,False,4,7a458b69,2024-10-01_02-04-27,0.3610570430755615,2.1345105171203613,13940,53f2743d91cf,172.17.0.2,2.1345105171203613,4
4,59.637981712818146,0.8483366100293938,0.3534452499748789,0.0,0.00024391279094668422,1727748267,,False,5,7a458b69,2024-10-01_02-04-27,0.3276102542877197,2.462120771408081,13940,53f2743d91cf,172.17.0.2,2.462120771408081,5
5,58.30602224171162,0.8498362295721498,0.36352608797039176,0.0,0.00024391279094668422,1727748268,,False,6,7a458b69,2024-10-01_02-04-28,0.34667038917541504,2.808791160583496,13940,53f2743d91cf,172.17.0.2,2.808791160583496,6
6,57.748512625694275,0.8508404821957597,0.3648589938907858,0.0,0.00024391279094668422,1727748268,,False,7,7a458b69,2024-10-01_02-04-28,0.4580271244049072,3.2668182849884033,13940,53f2743d91cf,172.17.0.2,3.2668182849884033,7
7,57.6894975155592,0.8509998107370054,0.36732633868699094,0.009876543209876543,0.00024391279094668422,1727748268,,False,8,7a458b69,2024-10-01_02-04-28,0.34238266944885254,3.609200954437256,13940,53f2743d91cf,172.17.0.2,3.609200954437256,8
8,57.35602422058582,0.8510741640562535,0.36762450956882553,0.037825059101654845,0.00024391279094668422,1727748269,,False,9,7a458b69,2024-10-01_02-04-29,0.33751416206359863,3.9467151165008545,13940,53f2743d91cf,172.17.0.2,3.9467151165008545,9
9,57.259497463703156,0.8513030177791341,0.36815535007434363,0.06526806526806526,4.8163093892604994e-05,1727748269,,False,10,7a458b69,2024-10-01_02-04-29,0.33643651008605957,4.283151626586914,13940,53f2743d91cf,172.17.0.2,4.283151626586914,10
10,56.843014895915985,0.8513203990745425,0.3683443497325709,0.06511627906976744,4.8163093892604994e-05,1727748269,,False,11,7a458b69,2024-10-01_02-04-29,0.3394477367401123,4.622599363327026,13940,53f2743d91cf,172.17.0.2,4.622599363327026,11
11,56.691919311881065,0.8512904646213388,0.3686058799274319,0.07834101382488479,4.8163093892604994e-05,1727748270,,False,12,7a458b69,2024-10-01_02-04-30,0.4664430618286133,5.08904242515564,13940,53f2743d91cf,172.17.0.2,5.08904242515564,12
12,56.71258597820997,0.8513541960378371,0.3688709973354496,0.091324200913242,4.8163093892604994e-05,1727748270,,False,13,7a458b69,2024-10-01_02-04-30,0.3689432144165039,5.4579856395721436,13940,53f2743d91cf,172.17.0.2,5.4579856395721436,13
13,56.6196204200387,0.8513194334470199,0.368653045845014,0.10835214446952596,4.8163093892604994e-05,1727748271,,False,14,7a458b69,2024-10-01_02-04-31,0.378521203994751,5.8365068435668945,13940,53f2743d91cf,172.17.0.2,5.8365068435668945,14
14,56.556624963879585,0.8514130993167219,0.36895943118614727,0.11235955056179775,9.510299170062523e-06,1727748271,,False,15,7a458b69,2024-10-01_02-04-31,0.359835147857666,6.1963419914245605,13940,53f2743d91cf,172.17.0.2,6.1963419914245605,15
15,56.5586061924696,0.8514324118671761,0.3689524764359426,0.11185682326621924,9.510299170062523e-06,1727748272,,True,16,7a458b69,2024-10-01_02-04-32,0.5306601524353027,6.727002143859863,13940,53f2743d91cf,172.17.0.2,6.727002143859863,16
