epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,78.97860166430473,0.8312459345881419,0.36056386596613554,0.0,0.0015199469605754294,1727748175,,False,1,7e7eb1d3,2024-10-01_02-02-55,1.036600112915039,1.036600112915039,11811,53f2743d91cf,172.17.0.2,1.036600112915039,1
1,60.2849857211113,0.8364937459008502,0.3620368382949928,0.0,0.0015199469605754294,1727748175,,False,2,7e7eb1d3,2024-10-01_02-02-55,0.32587265968322754,1.3624727725982666,11811,53f2743d91cf,172.17.0.2,1.3624727725982666,2
2,59.779916636645794,0.8366844772566353,0.36076872298077045,0.0,0.0015199469605754294,1727748175,,False,3,7e7eb1d3,2024-10-01_02-02-55,0.3362853527069092,1.6987581253051758,11811,53f2743d91cf,172.17.0.2,1.6987581253051758,3
3,58.90518016368151,0.8379962051657608,0.35827158630816264,0.0,0.0015199469605754294,1727748176,,False,4,7e7eb1d3,2024-10-01_02-02-56,0.32837510108947754,2.0271332263946533,11811,53f2743d91cf,172.17.0.2,2.0271332263946533,4
4,58.69102641195059,0.8397006417390381,0.3661849947604873,0.0,0.000313971960699646,1727748176,,False,5,7e7eb1d3,2024-10-01_02-02-56,0.37799668312072754,2.405129909515381,11811,53f2743d91cf,172.17.0.2,2.405129909515381,5
5,57.108223892748356,0.8392404573593963,0.36370547232385786,0.0,0.000313971960699646,1727748176,,False,6,7e7eb1d3,2024-10-01_02-02-56,0.3437314033508301,2.748861312866211,11811,53f2743d91cf,172.17.0.2,2.748861312866211,6
6,56.875333078205585,0.839140143462368,0.3635764197495776,0.0,0.000313971960699646,1727748177,,False,7,7e7eb1d3,2024-10-01_02-02-57,0.3647956848144531,3.113656997680664,11811,53f2743d91cf,172.17.0.2,3.113656997680664,7
7,56.665456891059875,0.8392080690159611,0.36311655471929294,0.0,0.000313971960699646,1727748177,,False,8,7e7eb1d3,2024-10-01_02-02-57,0.35878539085388184,3.472442388534546,11811,53f2743d91cf,172.17.0.2,3.472442388534546,8
8,56.5542671456933,0.8389237713346965,0.3623752104682694,0.0,0.000313971960699646,1727748178,,False,9,7e7eb1d3,2024-10-01_02-02-58,0.3699953556060791,3.842437744140625,11811,53f2743d91cf,172.17.0.2,3.842437744140625,9
9,56.238028451800346,0.8388059137516408,0.36283587072036877,0.0,6.485646845746495e-05,1727748178,,False,10,7e7eb1d3,2024-10-01_02-02-58,0.34839606285095215,4.190833806991577,11811,53f2743d91cf,172.17.0.2,4.190833806991577,10
10,55.768006168305874,0.8390515253560245,0.3627362297479867,0.0,6.485646845746495e-05,1727748178,,False,11,7e7eb1d3,2024-10-01_02-02-58,0.33548831939697266,4.52632212638855,11811,53f2743d91cf,172.17.0.2,4.52632212638855,11
11,55.8122098967433,0.839152289091156,0.3637785144473879,0.0,6.485646845746495e-05,1727748179,,False,12,7e7eb1d3,2024-10-01_02-02-59,0.33170175552368164,4.8580238819122314,11811,53f2743d91cf,172.17.0.2,4.8580238819122314,12
12,55.628919415175915,0.8391972729014828,0.363706213993632,0.0,6.485646845746495e-05,1727748179,,False,13,7e7eb1d3,2024-10-01_02-02-59,0.33519840240478516,5.193222284317017,11811,53f2743d91cf,172.17.0.2,5.193222284317017,13
13,55.470300909131765,0.8391234994525469,0.36364169944837804,0.0,6.485646845746495e-05,1727748179,,False,14,7e7eb1d3,2024-10-01_02-02-59,0.3466925621032715,5.539914846420288,11811,53f2743d91cf,172.17.0.2,5.539914846420288,14
14,55.54365321993828,0.8392764444076577,0.3640800224750314,0.0,1.3397252071174801e-05,1727748180,,False,15,7e7eb1d3,2024-10-01_02-03-00,0.3406860828399658,5.880600929260254,11811,53f2743d91cf,172.17.0.2,5.880600929260254,15
15,55.67256370931864,0.8392773440838642,0.364231916611193,0.0,1.3397252071174801e-05,1727748180,,True,16,7e7eb1d3,2024-10-01_02-03-00,0.34619665145874023,6.226797580718994,11811,53f2743d91cf,172.17.0.2,6.226797580718994,16
