epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,69.09815509617329,0.8484427704981836,0.3655353686735099,0.0,0.00524276299422889,1727748477,,False,1,8386ba48,2024-10-01_02-07-57,1.1349892616271973,1.1349892616271973,16108,53f2743d91cf,172.17.0.2,1.1349892616271973,1
1,64.23057594895363,0.8343786488064349,0.3121748587132067,0.0,0.00524276299422889,1727748477,,False,2,8386ba48,2024-10-01_02-07-57,0.3823821544647217,1.517371416091919,16108,53f2743d91cf,172.17.0.2,1.517371416091919,2
2,62.92122978717089,0.8498607372210691,0.3762699943641189,0.0,0.0019880301240841696,1727748478,,False,3,8386ba48,2024-10-01_02-07-58,0.34258151054382324,1.8599529266357422,16108,53f2743d91cf,172.17.0.2,1.8599529266357422,3
3,61.57143718749285,0.8555498345874416,0.38829410194836506,0.0,0.0019880301240841696,1727748478,,False,4,8386ba48,2024-10-01_02-07-58,0.34568047523498535,2.2056334018707275,16108,53f2743d91cf,172.17.0.2,2.2056334018707275,4
4,60.66715858131647,0.8531608799299428,0.373934530652939,0.0,0.0019880301240841696,1727748478,,False,5,8386ba48,2024-10-01_02-07-58,0.3422837257385254,2.547917127609253,16108,53f2743d91cf,172.17.0.2,2.547917127609253,5
5,59.88354532420635,0.8567666101777375,0.3963402207659157,0.0,0.0007538513143959926,1727748479,,False,6,8386ba48,2024-10-01_02-07-59,0.5077979564666748,3.0557150840759277,16108,53f2743d91cf,172.17.0.2,3.0557150840759277,6
6,59.419755682349205,0.8564934564737935,0.387612985751091,0.0,0.0007538513143959926,1727748481,,False,7,8386ba48,2024-10-01_02-08-01,0.47556233406066895,3.5312774181365967,16108,53f2743d91cf,172.17.0.2,3.5312774181365967,7
7,59.03364936262369,0.8568188083809031,0.3935053681195734,0.0,0.0007538513143959926,1727748482,,False,8,8386ba48,2024-10-01_02-08-02,0.37682604789733887,3.9081034660339355,16108,53f2743d91cf,172.17.0.2,3.9081034660339355,8
8,58.68965056538582,0.8562846636611314,0.3953943020865484,0.0,0.00028585673694374325,1727748482,,False,9,8386ba48,2024-10-01_02-08-02,0.3942711353302002,4.302374601364136,16108,53f2743d91cf,172.17.0.2,4.302374601364136,9
9,57.98784451186657,0.8558802542812661,0.39402598399344096,0.0,0.00028585673694374325,1727748482,,False,10,8386ba48,2024-10-01_02-08-02,0.4801299571990967,4.782504558563232,16108,53f2743d91cf,172.17.0.2,4.782504558563232,10
10,58.39533621817827,0.8564113583290089,0.3950622537015748,0.0,0.00028585673694374325,1727748483,,False,11,8386ba48,2024-10-01_02-08-03,0.33721113204956055,5.119715690612793,16108,53f2743d91cf,172.17.0.2,5.119715690612793,11
11,57.7995797470212,0.8559177559029579,0.3938091863636623,0.0,0.00010839547865164379,1727748483,,False,12,8386ba48,2024-10-01_02-08-03,0.3297410011291504,5.449456691741943,16108,53f2743d91cf,172.17.0.2,5.449456691741943,12
12,57.363467149436474,0.855920796574987,0.3957780201227796,0.0,0.00010839547865164379,1727748484,,False,13,8386ba48,2024-10-01_02-08-04,0.3688480854034424,5.818304777145386,16108,53f2743d91cf,172.17.0.2,5.818304777145386,13
13,57.49506985396147,0.85601911163726,0.39689077705551484,0.0,0.00010839547865164379,1727748484,,False,14,8386ba48,2024-10-01_02-08-04,0.39565181732177734,6.213956594467163,16108,53f2743d91cf,172.17.0.2,6.213956594467163,14
14,57.42354426532984,0.8561407385184225,0.39599087910103914,0.0,4.11030361492977e-05,1727748484,,False,15,8386ba48,2024-10-01_02-08-04,0.4160010814666748,6.629957675933838,16108,53f2743d91cf,172.17.0.2,6.629957675933838,15
15,57.47685891389847,0.8561802672548003,0.39612119167095156,0.0,4.11030361492977e-05,1727748485,,True,16,8386ba48,2024-10-01_02-08-05,0.46719932556152344,7.097157001495361,16108,53f2743d91cf,172.17.0.2,7.097157001495361,16
