epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,74.07400388270617,0.8557703153037683,0.38015620215884,0.0,0.0017762491330913096,1727748738,,False,1,87dac92a,2024-10-01_02-12-18,1.0072386264801025,1.0072386264801025,19833,53f2743d91cf,172.17.0.2,1.0072386264801025,1
1,61.81934005767107,0.8624212905781734,0.39710567438327576,0.004796163069544364,0.0017762491330913096,1727748738,,False,2,87dac92a,2024-10-01_02-12-18,0.2587745189666748,1.2660131454467773,19833,53f2743d91cf,172.17.0.2,1.2660131454467773,2
2,60.60055857896805,0.8560080165924822,0.3801347669048583,0.004784688995215311,0.0017762491330913096,1727748738,,False,3,87dac92a,2024-10-01_02-12-18,0.2487962245941162,1.5148093700408936,19833,53f2743d91cf,172.17.0.2,1.5148093700408936,3
3,59.926487915217876,0.8614714175852346,0.3962187922266697,0.027906976744186046,0.0017762491330913096,1727748738,,False,4,87dac92a,2024-10-01_02-12-18,0.24733710289001465,1.7621464729309082,19833,53f2743d91cf,172.17.0.2,1.7621464729309082,4
4,59.439646020531654,0.8608077183006687,0.4007251647917813,0.09482758620689655,0.0017762491330913096,1727748739,,False,5,87dac92a,2024-10-01_02-12-19,0.2557852268218994,2.0179316997528076,19833,53f2743d91cf,172.17.0.2,2.0179316997528076,5
5,58.91450773179531,0.8600041947286243,0.39896154627102454,0.027906976744186046,0.0017762491330913096,1727748739,,False,6,87dac92a,2024-10-01_02-12-19,0.247222900390625,2.2651546001434326,19833,53f2743d91cf,172.17.0.2,2.2651546001434326,6
6,58.35998163372278,0.8608906807112395,0.4049902515763414,0.05045871559633028,0.0017762491330913096,1727748739,,False,7,87dac92a,2024-10-01_02-12-19,0.25499391555786133,2.520148515701294,19833,53f2743d91cf,172.17.0.2,2.520148515701294,7
7,57.95872228592634,0.854018783062618,0.38551138248173666,0.06711409395973154,0.0017762491330913096,1727748739,,False,8,87dac92a,2024-10-01_02-12-19,0.24854493141174316,2.768693447113037,19833,53f2743d91cf,172.17.0.2,2.768693447113037,8
8,57.34808320552111,0.8560686071170563,0.38657618745849737,0.1317365269461078,0.0017762491330913096,1727748740,,False,9,87dac92a,2024-10-01_02-12-20,0.25540852546691895,3.024101972579956,19833,53f2743d91cf,172.17.0.2,3.024101972579956,9
9,56.52987239509821,0.8540094614434529,0.38606610273432296,0.12601626016260162,0.0003532521932844268,1727748740,,False,10,87dac92a,2024-10-01_02-12-20,0.25319528579711914,3.277297258377075,19833,53f2743d91cf,172.17.0.2,3.277297258377075,10
10,55.084008229896426,0.8556621845214514,0.3877819389150941,0.13333333333333333,0.0003532521932844268,1727748740,,False,11,87dac92a,2024-10-01_02-12-20,0.2716560363769531,3.5489532947540283,19833,53f2743d91cf,172.17.0.2,3.5489532947540283,11
11,54.929119914770126,0.8564032532450887,0.38922883873066066,0.13306451612903225,0.0003532521932844268,1727748740,,False,12,87dac92a,2024-10-01_02-12-20,0.2563626766204834,3.8053159713745117,19833,53f2743d91cf,172.17.0.2,3.8053159713745117,12
12,54.53443495184183,0.8556081191302929,0.38801618656538284,0.1504950495049505,0.0003532521932844268,1727748741,,False,13,87dac92a,2024-10-01_02-12-21,0.2673203945159912,4.072636365890503,19833,53f2743d91cf,172.17.0.2,4.072636365890503,13
13,54.63633148372173,0.8559548833632402,0.3904361016002419,0.13279678068410464,0.0003532521932844268,1727748741,,False,14,87dac92a,2024-10-01_02-12-21,0.2462902069091797,4.318926572799683,19833,53f2743d91cf,172.17.0.2,4.318926572799683,14
14,54.21397753059864,0.8562932581389386,0.3900796741321926,0.13627254509018036,0.0003532521932844268,1727748741,,False,15,87dac92a,2024-10-01_02-12-21,0.25562620162963867,4.574552774429321,19833,53f2743d91cf,172.17.0.2,4.574552774429321,15
15,54.030167922377586,0.8558290415045094,0.39014019507220143,0.14960629921259844,0.0003532521932844268,1727748742,,True,16,87dac92a,2024-10-01_02-12-22,0.2734520435333252,4.8480048179626465,19833,53f2743d91cf,172.17.0.2,4.8480048179626465,16
