epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,71.11447155475616,0.4384617990448846,0.11908380528105955,0.0,2.3573131003281778e-06,1727748765,,False,1,89d9595a,2024-10-01_02-12-45,0.8417537212371826,0.8417537212371826,20478,53f2743d91cf,172.17.0.2,0.8417537212371826,1
1,70.97953563928604,0.4358986801242236,0.11845892515743622,0.0,2.3573131003281778e-06,1727748765,,False,2,89d9595a,2024-10-01_02-12-45,0.1708364486694336,1.0125901699066162,20478,53f2743d91cf,172.17.0.2,1.0125901699066162,2
2,70.82177674770355,0.4336450215340443,0.11791096160856955,0.0,2.3573131003281778e-06,1727748765,,False,3,89d9595a,2024-10-01_02-12-45,0.16661763191223145,1.1792078018188477,20478,53f2743d91cf,172.17.0.2,1.1792078018188477,3
3,70.68556815385818,0.4315355641333646,0.11741458079825756,0.0,2.3573131003281778e-06,1727748765,,False,4,89d9595a,2024-10-01_02-12-45,0.1576545238494873,1.336862325668335,20478,53f2743d91cf,172.17.0.2,1.336862325668335,4
4,70.51866173744202,0.42940138652877063,0.11687987267113911,0.0,2.3573131003281778e-06,1727748765,,False,5,89d9595a,2024-10-01_02-12-45,0.1818385124206543,1.5187008380889893,20478,53f2743d91cf,172.17.0.2,1.5187008380889893,5
5,70.35747057199478,0.42731207151646555,0.11632813388135788,0.0,2.3573131003281778e-06,1727748765,,False,6,89d9595a,2024-10-01_02-12-45,0.15567994117736816,1.6743807792663574,20478,53f2743d91cf,172.17.0.2,1.6743807792663574,6
6,70.1907366514206,0.4253948823684519,0.11586246444324841,0.0,8.284341216360176e-07,1727748766,,False,7,89d9595a,2024-10-01_02-12-46,0.15132737159729004,1.8257081508636475,20478,53f2743d91cf,172.17.0.2,1.8257081508636475,7
7,70.08845829963684,0.42473293024141573,0.11569480531864566,0.0,8.284341216360176e-07,1727748766,,False,8,89d9595a,2024-10-01_02-12-46,0.1551351547241211,1.9808433055877686,20478,53f2743d91cf,172.17.0.2,1.9808433055877686,8
8,70.03909695148468,0.4240604491386383,0.11552531244350356,0.0,8.284341216360176e-07,1727748766,,False,9,89d9595a,2024-10-01_02-12-46,0.15389490127563477,2.1347382068634033,20478,53f2743d91cf,172.17.0.2,2.1347382068634033,9
9,69.99392682313919,0.4234479374194305,0.11536088970311656,0.0,8.284341216360176e-07,1727748766,,False,10,89d9595a,2024-10-01_02-12-46,0.15782523155212402,2.2925634384155273,20478,53f2743d91cf,172.17.0.2,2.2925634384155273,10
10,69.92882561683655,0.4228500747099496,0.11520558757657241,0.0,8.284341216360176e-07,1727748766,,False,11,89d9595a,2024-10-01_02-12-46,0.16644883155822754,2.459012269973755,20478,53f2743d91cf,172.17.0.2,2.459012269973755,11
11,69.91001504659653,0.4221469222430564,0.11503229905120216,0.0,8.284341216360176e-07,1727748766,,False,12,89d9595a,2024-10-01_02-12-46,0.1611030101776123,2.620115280151367,20478,53f2743d91cf,172.17.0.2,2.620115280151367,12
12,69.82771098613739,0.42166808273760703,0.11490450210785359,0.0,8.284341216360176e-07,1727748767,,False,13,89d9595a,2024-10-01_02-12-47,0.15715718269348145,2.7772724628448486,20478,53f2743d91cf,172.17.0.2,2.7772724628448486,13
13,69.77511554956436,0.42108258013008315,0.11474989150036469,0.0,2.9113786106533543e-07,1727748767,,False,14,89d9595a,2024-10-01_02-12-47,0.15911149978637695,2.9363839626312256,20478,53f2743d91cf,172.17.0.2,2.9363839626312256,14
14,69.75371479988098,0.42089076965897104,0.11469716906146252,0.0,2.9113786106533543e-07,1727748767,,False,15,89d9595a,2024-10-01_02-12-47,0.17408013343811035,3.110464096069336,20478,53f2743d91cf,172.17.0.2,3.110464096069336,15
15,69.70451349020004,0.42070674147427634,0.1146402510359617,0.0,2.9113786106533543e-07,1727748767,,True,16,89d9595a,2024-10-01_02-12-47,0.20067381858825684,3.3111379146575928,20478,53f2743d91cf,172.17.0.2,3.3111379146575928,16
