epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,84.51783318072557,0.8425449167397021,0.357574106599281,0.0,0.0021799225802331384,1727748241,,False,1,925ee8a1,2024-10-01_02-04-01,0.9489123821258545,0.9489123821258545,13359,53f2743d91cf,172.17.0.2,0.9489123821258545,1
1,64.10161353647709,0.8523019829097283,0.3518862807124049,0.0,0.0021799225802331384,1727748241,,False,2,925ee8a1,2024-10-01_02-04-01,0.25540733337402344,1.204319715499878,13359,53f2743d91cf,172.17.0.2,1.204319715499878,2
2,61.61380387842655,0.8524428367972957,0.3636361031213003,0.0,0.0021799225802331384,1727748242,,False,3,925ee8a1,2024-10-01_02-04-02,0.26735448837280273,1.4716742038726807,13359,53f2743d91cf,172.17.0.2,1.4716742038726807,3
3,61.17127212136984,0.8514069738324778,0.3631259773556068,0.0,0.0021799225802331384,1727748242,,False,4,925ee8a1,2024-10-01_02-04-02,0.2641258239746094,1.73580002784729,13359,53f2743d91cf,172.17.0.2,1.73580002784729,4
4,60.67383446544409,0.8494687656504321,0.35797731273457206,0.0,0.00041788579900950564,1727748242,,False,5,925ee8a1,2024-10-01_02-04-02,0.28830862045288086,2.024108648300171,13359,53f2743d91cf,172.17.0.2,2.024108648300171,5
5,59.72990917414427,0.8503388318517592,0.35954617567973923,0.0,0.00041788579900950564,1727748242,,False,6,925ee8a1,2024-10-01_02-04-02,0.2680847644805908,2.2921934127807617,13359,53f2743d91cf,172.17.0.2,2.2921934127807617,6
6,59.58466250449419,0.8509990844497308,0.36232348660120456,0.0,0.00041788579900950564,1727748243,,False,7,925ee8a1,2024-10-01_02-04-03,0.2787587642669678,2.5709521770477295,13359,53f2743d91cf,172.17.0.2,2.5709521770477295,7
7,59.366469733417034,0.8508983347940403,0.3628486370895572,0.0,0.00041788579900950564,1727748243,,False,8,925ee8a1,2024-10-01_02-04-03,0.2786593437194824,2.849611520767212,13359,53f2743d91cf,172.17.0.2,2.849611520767212,8
8,59.15524323284626,0.8510323416176286,0.3648417672790227,0.005063291139240506,0.00041788579900950564,1727748243,,False,9,925ee8a1,2024-10-01_02-04-03,0.2794458866119385,3.1290574073791504,13359,53f2743d91cf,172.17.0.2,3.1290574073791504,9
9,59.22916788607836,0.8514138208964567,0.3650491989435655,0.005063291139240506,8.010768024391801e-05,1727748244,,False,10,925ee8a1,2024-10-01_02-04-04,0.2613699436187744,3.390427350997925,13359,53f2743d91cf,172.17.0.2,3.390427350997925,10
10,58.90372347831726,0.8512103652810816,0.36541558613640046,0.005063291139240506,8.010768024391801e-05,1727748244,,False,11,925ee8a1,2024-10-01_02-04-04,0.2568650245666504,3.647292375564575,13359,53f2743d91cf,172.17.0.2,3.647292375564575,11
11,58.94529355317354,0.8511418946412921,0.36439559300339364,0.005063291139240506,8.010768024391801e-05,1727748244,,False,12,925ee8a1,2024-10-01_02-04-04,0.2952432632446289,3.942535638809204,13359,53f2743d91cf,172.17.0.2,3.942535638809204,12
12,58.9540586322546,0.8510646206335295,0.36586258253256443,0.005063291139240506,8.010768024391801e-05,1727748244,,False,13,925ee8a1,2024-10-01_02-04-04,0.2611246109008789,4.203660249710083,13359,53f2743d91cf,172.17.0.2,4.203660249710083,13
13,59.08660692721605,0.8510900525854515,0.36565775327200745,0.005063291139240506,8.010768024391801e-05,1727748245,,False,14,925ee8a1,2024-10-01_02-04-05,0.2714529037475586,4.475113153457642,13359,53f2743d91cf,172.17.0.2,4.475113153457642,14
14,58.931159757077694,0.851162435833229,0.3661384779892327,0.005063291139240506,1.5356445347681794e-05,1727748245,,False,15,925ee8a1,2024-10-01_02-04-05,0.25627589225769043,4.731389045715332,13359,53f2743d91cf,172.17.0.2,4.731389045715332,15
15,58.9900443777442,0.8511340694253162,0.36599142952706254,0.005063291139240506,1.5356445347681794e-05,1727748245,,True,16,925ee8a1,2024-10-01_02-04-05,0.26813364028930664,4.999522686004639,13359,53f2743d91cf,172.17.0.2,4.999522686004639,16
