epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,292.57080364227295,0.46488461774962886,0.12036715380229768,0.0,1.6248481834698412e-06,1727748447,,False,1,927b3b42,2024-10-01_02-07-27,1.4391989707946777,1.4391989707946777,15458,53f2743d91cf,172.17.0.2,1.4391989707946777,1
1,290.6069182753563,0.4753901953148257,0.1250827729348807,0.0,1.6248481834698412e-06,1727748448,,False,2,927b3b42,2024-10-01_02-07-28,0.8216941356658936,2.2608931064605713,15458,53f2743d91cf,172.17.0.2,2.2608931064605713,2
2,288.5621193051338,0.49320580429866356,0.12978080847924978,0.0,1.6248481834698412e-06,1727748449,,False,3,927b3b42,2024-10-01_02-07-29,0.9623415470123291,3.2232346534729004,15458,53f2743d91cf,172.17.0.2,3.2232346534729004,3
3,286.4590346813202,0.5116953670437099,0.1360505398455536,0.0,1.6248481834698412e-06,1727748450,,False,4,927b3b42,2024-10-01_02-07-30,0.9705500602722168,4.193784713745117,15458,53f2743d91cf,172.17.0.2,4.193784713745117,4
4,284.14219504594803,0.5160240925049119,0.13862593218921232,0.0,1.6248481834698412e-06,1727748451,,False,5,927b3b42,2024-10-01_02-07-31,1.031930685043335,5.225715398788452,15458,53f2743d91cf,172.17.0.2,5.225715398788452,5
5,281.8662937283516,0.5309906485865517,0.14427503715479814,0.0,1.6248481834698412e-06,1727748451,,False,6,927b3b42,2024-10-01_02-07-31,0.9132833480834961,6.138998746871948,15458,53f2743d91cf,172.17.0.2,6.138998746871948,6
6,279.24354124069214,0.5532423471354769,0.15384424018108717,0.0,1.6248481834698412e-06,1727748452,,False,7,927b3b42,2024-10-01_02-07-32,0.9020588397979736,7.041057586669922,15458,53f2743d91cf,172.17.0.2,7.041057586669922,7
7,276.4891886115074,0.5748601094528237,0.16608865576061704,0.0,1.6248481834698412e-06,1727748453,,False,8,927b3b42,2024-10-01_02-07-33,0.8443865776062012,7.885444164276123,15458,53f2743d91cf,172.17.0.2,7.885444164276123,8
8,273.09273821115494,0.5807519586628679,0.17014184201851273,0.0,1.6248481834698412e-06,1727748454,,False,9,927b3b42,2024-10-01_02-07-34,0.8967247009277344,8.782168865203857,15458,53f2743d91cf,172.17.0.2,8.782168865203857,9
9,269.4674631357193,0.5819393080481109,0.1692944365512364,0.0,5.465082518888812e-07,1727748457,,False,10,927b3b42,2024-10-01_02-07-37,0.879894495010376,9.662063360214233,15458,53f2743d91cf,172.17.0.2,9.662063360214233,10
10,266.82846945524216,0.5817387323813066,0.16898352684660592,0.0,5.465082518888812e-07,1727748458,,False,11,927b3b42,2024-10-01_02-07-38,0.8418455123901367,10.50390887260437,15458,53f2743d91cf,172.17.0.2,10.50390887260437,11
11,265.45759505033493,0.5817587411461216,0.16846344529242802,0.0,5.465082518888812e-07,1727748459,,False,12,927b3b42,2024-10-01_02-07-39,0.9178566932678223,11.421765565872192,15458,53f2743d91cf,172.17.0.2,11.421765565872192,12
12,264.0840871334076,0.5820964500547069,0.16846376148988965,0.0,5.465082518888812e-07,1727748460,,False,13,927b3b42,2024-10-01_02-07-40,1.0442945957183838,12.466060161590576,15458,53f2743d91cf,172.17.0.2,12.466060161590576,13
13,262.49368703365326,0.5821691648341567,0.1681120814007349,0.0,5.465082518888812e-07,1727748461,,False,14,927b3b42,2024-10-01_02-07-41,1.2869632244110107,13.753023386001587,15458,53f2743d91cf,172.17.0.2,13.753023386001587,14
14,261.41730856895447,0.5828050531403512,0.16801791634454355,0.0,5.465082518888812e-07,1727748462,,False,15,927b3b42,2024-10-01_02-07-42,1.1096031665802002,14.862626552581787,15458,53f2743d91cf,172.17.0.2,14.862626552581787,15
15,259.5536269545555,0.5837903628028277,0.16801948893509105,0.0,5.465082518888812e-07,1727748463,,True,16,927b3b42,2024-10-01_02-07-43,1.1175577640533447,15.980184316635132,15458,53f2743d91cf,172.17.0.2,15.980184316635132,16
