epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,76.72291181236506,0.8288693831917981,0.32790496786497725,0.0,0.0016038100688109313,1727748659,,False,1,930f0cb4,2024-10-01_02-10-59,1.191335916519165,1.191335916519165,18594,53f2743d91cf,172.17.0.2,1.191335916519165,1
1,61.41623393446207,0.8344118556578415,0.3361372693681557,0.0,0.0016038100688109313,1727748660,,False,2,930f0cb4,2024-10-01_02-11-00,0.37981653213500977,1.5711524486541748,18594,53f2743d91cf,172.17.0.2,1.5711524486541748,2
2,60.761358730494976,0.837788719998097,0.35194657438516624,0.0,0.0016038100688109313,1727748660,,False,3,930f0cb4,2024-10-01_02-11-00,0.6119856834411621,2.183138132095337,18594,53f2743d91cf,172.17.0.2,2.183138132095337,3
3,59.67980755865574,0.8392316658341064,0.35423840699634374,0.0,0.0016038100688109313,1727748661,,False,4,930f0cb4,2024-10-01_02-11-01,0.5959949493408203,2.7791330814361572,18594,53f2743d91cf,172.17.0.2,2.7791330814361572,4
4,58.92319697141647,0.838329170532125,0.34939995713691524,0.0,0.00034651247173613284,1727748661,,False,5,930f0cb4,2024-10-01_02-11-01,0.4016737937927246,3.180806875228882,18594,53f2743d91cf,172.17.0.2,3.180806875228882,5
5,57.47164712101221,0.8402264563857372,0.3537730456735315,0.0,0.00034651247173613284,1727748662,,False,6,930f0cb4,2024-10-01_02-11-02,0.3798487186431885,3.5606555938720703,18594,53f2743d91cf,172.17.0.2,3.5606555938720703,6
6,57.19094966351986,0.8398529936487548,0.3532170507554824,0.0,0.00034651247173613284,1727748662,,False,7,930f0cb4,2024-10-01_02-11-02,0.3947780132293701,3.9554336071014404,18594,53f2743d91cf,172.17.0.2,3.9554336071014404,7
7,56.98431672900915,0.839879159827779,0.3536272781232367,0.0,0.00034651247173613284,1727748662,,False,8,930f0cb4,2024-10-01_02-11-02,0.3733370304107666,4.328770637512207,18594,53f2743d91cf,172.17.0.2,4.328770637512207,8
8,56.716929495334625,0.8394481314969434,0.351788513181304,0.009732360097323601,0.00034651247173613284,1727748663,,False,9,930f0cb4,2024-10-01_02-11-03,0.38808727264404297,4.71685791015625,18594,53f2743d91cf,172.17.0.2,4.71685791015625,9
9,56.51183121651411,0.8395946620994791,0.3541605389503022,0.09871244635193133,7.486603021373043e-05,1727748663,,False,10,930f0cb4,2024-10-01_02-11-03,0.36319541931152344,5.080053329467773,18594,53f2743d91cf,172.17.0.2,5.080053329467773,10
10,55.83078434318304,0.8395841956278693,0.3535739445993049,0.07456140350877193,7.486603021373043e-05,1727748663,,False,11,930f0cb4,2024-10-01_02-11-03,0.35747623443603516,5.437529563903809,18594,53f2743d91cf,172.17.0.2,5.437529563903809,11
11,55.656137619167566,0.839638430980756,0.3535077725551408,0.09829059829059829,7.486603021373043e-05,1727748664,,False,12,930f0cb4,2024-10-01_02-11-04,0.34615135192871094,5.7836809158325195,18594,53f2743d91cf,172.17.0.2,5.7836809158325195,12
12,55.87140744179487,0.8396041770736696,0.35332769844408546,0.11416490486257928,7.486603021373043e-05,1727748664,,False,13,930f0cb4,2024-10-01_02-11-04,0.3909287452697754,6.174609661102295,18594,53f2743d91cf,172.17.0.2,6.174609661102295,13
13,55.53100749850273,0.8395746806536788,0.35356130927518714,0.12133891213389121,7.486603021373043e-05,1727748665,,False,14,930f0cb4,2024-10-01_02-11-05,0.5074841976165771,6.682093858718872,18594,53f2743d91cf,172.17.0.2,6.682093858718872,14
14,55.34230500459671,0.8396964723233188,0.3540069536370155,0.16367265469061876,1.6175240250028612e-05,1727748665,,False,15,930f0cb4,2024-10-01_02-11-05,0.371168851852417,7.053262710571289,18594,53f2743d91cf,172.17.0.2,7.053262710571289,15
15,55.353566743433475,0.8396527034420419,0.3539630174472176,0.16432865731462926,1.6175240250028612e-05,1727748665,,True,16,930f0cb4,2024-10-01_02-11-05,0.4099297523498535,7.463192462921143,18594,53f2743d91cf,172.17.0.2,7.463192462921143,16
