epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,83.45891736447811,0.8392725381620977,0.33888027176780866,0.0,0.0014111598222703039,1727748492,,False,1,9397d5d2,2024-10-01_02-08-12,0.9895439147949219,0.9895439147949219,16436,53f2743d91cf,172.17.0.2,0.9895439147949219,1
1,62.90901507437229,0.853584584134124,0.3637772898597612,0.0,0.0014111598222703039,1727748493,,False,2,9397d5d2,2024-10-01_02-08-13,0.2770833969116211,1.266627311706543,16436,53f2743d91cf,172.17.0.2,1.266627311706543,2
2,61.33867225050926,0.8543243660759605,0.3693610750495931,0.0,0.0014111598222703039,1727748493,,False,3,9397d5d2,2024-10-01_02-08-13,0.3022480010986328,1.5688753128051758,16436,53f2743d91cf,172.17.0.2,1.5688753128051758,3
3,60.709923192858696,0.8546505993577042,0.373492992527749,0.0,0.0014111598222703039,1727748493,,False,4,9397d5d2,2024-10-01_02-08-13,0.30978989601135254,1.8786652088165283,16436,53f2743d91cf,172.17.0.2,1.8786652088165283,4
4,60.453680112957954,0.854557047166616,0.3719942611934622,0.0,0.00027482208660723444,1727748494,,False,5,9397d5d2,2024-10-01_02-08-14,0.26703596115112305,2.1457011699676514,16436,53f2743d91cf,172.17.0.2,2.1457011699676514,5
5,59.346296556293964,0.8541430187516973,0.37024446894846413,0.0,0.00027482208660723444,1727748494,,False,6,9397d5d2,2024-10-01_02-08-14,0.36601734161376953,2.511718511581421,16436,53f2743d91cf,172.17.0.2,2.511718511581421,6
6,59.09362219274044,0.8538580443849975,0.36925635147166014,0.0,0.00027482208660723444,1727748494,,False,7,9397d5d2,2024-10-01_02-08-14,0.3807401657104492,2.89245867729187,16436,53f2743d91cf,172.17.0.2,2.89245867729187,7
7,59.26521231979132,0.8534473742538613,0.36830478693522606,0.0,0.00027482208660723444,1727748495,,False,8,9397d5d2,2024-10-01_02-08-15,0.3418440818786621,3.2343027591705322,16436,53f2743d91cf,172.17.0.2,3.2343027591705322,8
8,59.04646084457636,0.8535126209102101,0.3692224832758833,0.0,0.00027482208660723444,1727748495,,False,9,9397d5d2,2024-10-01_02-08-15,0.3142426013946533,3.5485453605651855,16436,53f2743d91cf,172.17.0.2,3.5485453605651855,9
9,58.8850409463048,0.8536795755896907,0.37128019810471935,0.0,5.352135037804899e-05,1727748495,,False,10,9397d5d2,2024-10-01_02-08-15,0.2797994613647461,3.8283448219299316,16436,53f2743d91cf,172.17.0.2,3.8283448219299316,10
10,58.82810055464506,0.8534444957249046,0.3706282223563595,0.0,5.352135037804899e-05,1727748496,,False,11,9397d5d2,2024-10-01_02-08-16,0.2585911750793457,4.086935997009277,16436,53f2743d91cf,172.17.0.2,4.086935997009277,11
11,58.54983427375555,0.8533686944623817,0.3701428346209238,0.0,5.352135037804899e-05,1727748496,,False,12,9397d5d2,2024-10-01_02-08-16,0.2568833827972412,4.3438193798065186,16436,53f2743d91cf,172.17.0.2,4.3438193798065186,12
12,58.609245389699936,0.853271783987511,0.3697195523446772,0.0,5.352135037804899e-05,1727748496,,False,13,9397d5d2,2024-10-01_02-08-16,0.2760748863220215,4.61989426612854,16436,53f2743d91cf,172.17.0.2,4.61989426612854,13
13,58.44651271402836,0.8532218894855972,0.36949444929351816,0.0,5.352135037804899e-05,1727748496,,False,14,9397d5d2,2024-10-01_02-08-16,0.265460729598999,4.885354995727539,16436,53f2743d91cf,172.17.0.2,4.885354995727539,14
14,58.63473387807608,0.8532247680145539,0.3695994432066882,0.0,1.0423234106303006e-05,1727748497,,False,15,9397d5d2,2024-10-01_02-08-17,0.26669788360595703,5.152052879333496,16436,53f2743d91cf,172.17.0.2,5.152052879333496,15
15,58.684756092727184,0.8532238085049016,0.3695373146703594,0.0,1.0423234106303006e-05,1727748497,,True,16,9397d5d2,2024-10-01_02-08-17,0.26716136932373047,5.419214248657227,16436,53f2743d91cf,172.17.0.2,5.419214248657227,16
