epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,69.94884480535984,0.8510537401666434,0.36473045713488456,0.0,0.00182953554312423,1727748422,,False,1,93f5c0bc,2024-10-01_02-07-02,1.0563225746154785,1.0563225746154785,14882,53f2743d91cf,172.17.0.2,1.0563225746154785,1
1,61.70001877844334,0.8533326738971901,0.36379280150118065,0.0,0.00182953554312423,1727748423,,False,2,93f5c0bc,2024-10-01_02-07-03,0.3560330867767334,1.412355661392212,14882,53f2743d91cf,172.17.0.2,1.412355661392212,2
2,60.51373702287674,0.8558870191934708,0.37798807651976113,0.0,0.00182953554312423,1727748423,,False,3,93f5c0bc,2024-10-01_02-07-03,0.368483304977417,1.780838966369629,14882,53f2743d91cf,172.17.0.2,1.780838966369629,3
3,59.527379021048546,0.8513068472745892,0.35801093037860104,0.0787746170678337,0.00182953554312423,1727748423,,False,4,93f5c0bc,2024-10-01_02-07-03,0.35582661628723145,2.1366655826568604,14882,53f2743d91cf,172.17.0.2,2.1366655826568604,4
4,58.58617991954088,0.8533055206442304,0.3666062846434568,0.02877697841726619,0.0003596903335033866,1727748424,,False,5,93f5c0bc,2024-10-01_02-07-04,0.35567164421081543,2.492337226867676,14882,53f2743d91cf,172.17.0.2,2.492337226867676,5
5,56.07413247227669,0.853487835342674,0.37027299248450724,0.13646055437100213,0.0003596903335033866,1727748424,,False,6,93f5c0bc,2024-10-01_02-07-04,0.330596923828125,2.822934150695801,14882,53f2743d91cf,172.17.0.2,2.822934150695801,6
6,55.126243740320206,0.8539397430526463,0.370802362278989,0.14522821576763487,0.0003596903335033866,1727748424,,False,7,93f5c0bc,2024-10-01_02-07-04,0.3107585906982422,3.133692741394043,14882,53f2743d91cf,172.17.0.2,3.133692741394043,7
7,54.56311133503914,0.8552023693152725,0.375291608407107,0.2189239332096475,0.0003596903335033866,1727748425,,False,8,93f5c0bc,2024-10-01_02-07-05,0.2962043285369873,3.4298970699310303,14882,53f2743d91cf,172.17.0.2,3.4298970699310303,8
8,53.85503126680851,0.8534073453428292,0.36982503174694453,0.1782178217821782,0.0003596903335033866,1727748425,,False,9,93f5c0bc,2024-10-01_02-07-05,0.2999906539916992,3.7298877239227295,14882,53f2743d91cf,172.17.0.2,3.7298877239227295,9
9,53.21808607131243,0.8529117984763146,0.371759703292963,0.2130841121495327,7.071583632359771e-05,1727748425,,False,10,93f5c0bc,2024-10-01_02-07-05,0.3048419952392578,4.034729719161987,14882,53f2743d91cf,172.17.0.2,4.034729719161987,10
10,52.037599466741085,0.8533559481140127,0.3722114960062174,0.24187725631768953,7.071583632359771e-05,1727748426,,False,11,93f5c0bc,2024-10-01_02-07-06,0.30019116401672363,4.334920883178711,14882,53f2743d91cf,172.17.0.2,4.334920883178711,11
11,51.875883147120476,0.8532958230538875,0.3721743173971555,0.22099447513812154,7.071583632359771e-05,1727748426,,False,12,93f5c0bc,2024-10-01_02-07-06,0.2974281311035156,4.632349014282227,14882,53f2743d91cf,172.17.0.2,4.632349014282227,12
12,51.5898412913084,0.8531649055842604,0.3719526673698717,0.22344322344322345,7.071583632359771e-05,1727748426,,False,13,93f5c0bc,2024-10-01_02-07-06,0.3087735176086426,4.941122531890869,14882,53f2743d91cf,172.17.0.2,4.941122531890869,13
13,51.29187599569559,0.8530950829337927,0.37134091548689574,0.22826086956521738,7.071583632359771e-05,1727748427,,False,14,93f5c0bc,2024-10-01_02-07-07,0.3210783004760742,5.262200832366943,14882,53f2743d91cf,172.17.0.2,5.262200832366943,14
14,51.21633917838335,0.8529651352231997,0.3715177069861075,0.23591549295774647,1.3902874337040746e-05,1727748427,,False,15,93f5c0bc,2024-10-01_02-07-07,0.3194890022277832,5.581689834594727,14882,53f2743d91cf,172.17.0.2,5.581689834594727,15
15,51.10630810260773,0.8529331331750687,0.37148383807466856,0.23172905525846701,1.3902874337040746e-05,1727748427,,False,16,93f5c0bc,2024-10-01_02-07-07,0.3240475654602051,5.905737400054932,14882,53f2743d91cf,172.17.0.2,5.905737400054932,16
16,50.97581439465284,0.8528739778739779,0.37147496491900184,0.2302158273381295,1.3902874337040746e-05,1727748427,,False,17,93f5c0bc,2024-10-01_02-07-07,0.3221571445465088,6.22789454460144,14882,53f2743d91cf,172.17.0.2,6.22789454460144,17
17,50.97352819889784,0.8528768871510807,0.3716605251322692,0.2302158273381295,1.3902874337040746e-05,1727748428,,False,18,93f5c0bc,2024-10-01_02-07-08,0.33345532417297363,6.561349868774414,14882,53f2743d91cf,172.17.0.2,6.561349868774414,18
18,50.857646986842155,0.8528574919703952,0.3711388453085151,0.2302158273381295,1.3902874337040746e-05,1727748428,,False,19,93f5c0bc,2024-10-01_02-07-08,0.3083457946777344,6.869695663452148,14882,53f2743d91cf,172.17.0.2,6.869695663452148,19
19,50.8218532204628,0.8528206411270927,0.37118202609627676,0.2302158273381295,2.733332798993509e-06,1727748428,,False,20,93f5c0bc,2024-10-01_02-07-08,0.3135535717010498,7.183249235153198,14882,53f2743d91cf,172.17.0.2,7.183249235153198,20
