epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,82.96409236639738,0.8557302169634833,0.35673741670406356,0.0,0.0015801917612742187,1727748952,,False,1,958e337d,2024-10-01_02-15-52,1.0172810554504395,1.0172810554504395,22461,53f2743d91cf,172.17.0.2,1.0172810554504395,1
1,63.2192767560482,0.8677042688111957,0.3944615251191368,0.0,0.0015801917612742187,1727748952,,False,2,958e337d,2024-10-01_02-15-52,0.3603963851928711,1.3776774406433105,22461,53f2743d91cf,172.17.0.2,1.3776774406433105,2
2,61.81989309191704,0.8686246021526277,0.4084008342288796,0.0,0.0003260882301801128,1727748953,,False,3,958e337d,2024-10-01_02-15-53,0.3044114112854004,1.682088851928711,22461,53f2743d91cf,172.17.0.2,1.682088851928711,3
3,60.966424107551575,0.8704020991763647,0.41283165430892377,0.0,0.0003260882301801128,1727748953,,False,4,958e337d,2024-10-01_02-15-53,0.3279290199279785,2.0100178718566895,22461,53f2743d91cf,172.17.0.2,2.0100178718566895,4
4,60.595475390553474,0.8713569328700892,0.42366428546718665,0.0,0.0003260882301801128,1727748953,,False,5,958e337d,2024-10-01_02-15-53,0.3565993309020996,2.366617202758789,22461,53f2743d91cf,172.17.0.2,2.366617202758789,5
5,60.45713730156422,0.8711227192108653,0.4188839554355461,0.0,6.729153794363166e-05,1727748954,,False,6,958e337d,2024-10-01_02-15-54,0.3134117126464844,2.6800289154052734,22461,53f2743d91cf,172.17.0.2,2.6800289154052734,6
6,60.23979566246271,0.871120289608591,0.4191591151042725,0.0,6.729153794363166e-05,1727748954,,False,7,958e337d,2024-10-01_02-15-54,0.30951428413391113,2.9895431995391846,22461,53f2743d91cf,172.17.0.2,2.9895431995391846,7
7,60.22847967222333,0.8712407978813866,0.4204335202591991,0.0,6.729153794363166e-05,1727748954,,False,8,958e337d,2024-10-01_02-15-54,0.3257734775543213,3.315316677093506,22461,53f2743d91cf,172.17.0.2,3.315316677093506,8
8,60.04258917272091,0.871062950994922,0.4198082585013248,0.0,1.3886275736840067e-05,1727748955,,False,9,958e337d,2024-10-01_02-15-55,0.4612715244293213,3.776588201522827,22461,53f2743d91cf,172.17.0.2,3.776588201522827,9
9,60.118340879678726,0.871065866517651,0.4198052411417801,0.0,1.3886275736840067e-05,1727748955,,False,10,958e337d,2024-10-01_02-15-55,0.44785094261169434,4.2244391441345215,22461,53f2743d91cf,172.17.0.2,4.2244391441345215,10
10,60.08253698050976,0.8710454578585485,0.41976296865313123,0.0,1.3886275736840067e-05,1727748956,,False,11,958e337d,2024-10-01_02-15-56,0.4469728469848633,4.671411991119385,22461,53f2743d91cf,172.17.0.2,4.671411991119385,11
11,60.05852822959423,0.8710308802449039,0.41952681400414915,0.0,2.8655706160421033e-06,1727748956,,False,12,958e337d,2024-10-01_02-15-56,0.45336151123046875,5.1247735023498535,22461,53f2743d91cf,172.17.0.2,5.1247735023498535,12
12,60.20535331964493,0.871033795767633,0.41959404349810153,0.0,2.8655706160421033e-06,1727748956,,False,13,958e337d,2024-10-01_02-15-56,0.4081535339355469,5.5329270362854,22461,53f2743d91cf,172.17.0.2,5.5329270362854,13
13,60.05281763523817,0.8710376831312714,0.4195872258353164,0.0,2.8655706160421033e-06,1727748957,,False,14,958e337d,2024-10-01_02-15-57,0.43553781509399414,5.9684648513793945,22461,53f2743d91cf,172.17.0.2,5.9684648513793945,14
14,60.030389338731766,0.8710396268130908,0.4196329472927093,0.0,5.913388954058399e-07,1727748957,,False,15,958e337d,2024-10-01_02-15-57,0.4283280372619629,6.396792888641357,22461,53f2743d91cf,172.17.0.2,6.396792888641357,15
15,59.9867597296834,0.8710401127335454,0.4196227679951048,0.0,5.913388954058399e-07,1727748958,,True,16,958e337d,2024-10-01_02-15-58,0.287769079208374,6.6845619678497314,22461,53f2743d91cf,172.17.0.2,6.6845619678497314,16
