epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,68.3111407160759,0.8427523980271121,0.3677057530545781,0.0,0.0018068406839308322,1727748277,,False,1,9628a7d9,2024-10-01_02-04-37,1.2185087203979492,1.2185087203979492,14202,53f2743d91cf,172.17.0.2,1.2185087203979492,1
1,60.544061452150345,0.8423089143064633,0.36175475259546575,0.0,0.0018068406839308322,1727748278,,False,2,9628a7d9,2024-10-01_02-04-38,0.4827876091003418,1.701296329498291,14202,53f2743d91cf,172.17.0.2,1.701296329498291,2
2,59.43184797465801,0.8506793149358509,0.37866540961200884,0.0,0.0018068406839308322,1727748278,,False,3,9628a7d9,2024-10-01_02-04-38,0.5426080226898193,2.2439043521881104,14202,53f2743d91cf,172.17.0.2,2.2439043521881104,3
3,58.76777574419975,0.847150357056403,0.3773671434277709,0.0,0.0018068406839308322,1727748279,,False,4,9628a7d9,2024-10-01_02-04-39,0.4865121841430664,2.7304165363311768,14202,53f2743d91cf,172.17.0.2,2.7304165363311768,4
4,58.1246792152524,0.8469054481360445,0.3711931053344734,0.0,0.0003466274581598734,1727748279,,False,5,9628a7d9,2024-10-01_02-04-39,0.4173922538757324,3.147808790206909,14202,53f2743d91cf,172.17.0.2,3.147808790206909,5
5,55.756869807839394,0.8508485763132413,0.37211817402653735,0.06349206349206349,0.0003466274581598734,1727748280,,False,6,9628a7d9,2024-10-01_02-04-40,0.4299471378326416,3.577755928039551,14202,53f2743d91cf,172.17.0.2,3.577755928039551,6
6,55.04670553654432,0.851571010348584,0.3716961062025871,0.10947368421052632,0.0003466274581598734,1727748280,,False,7,9628a7d9,2024-10-01_02-04-40,0.3701624870300293,3.94791841506958,14202,53f2743d91cf,172.17.0.2,3.94791841506958,7
7,54.423711977899075,0.8512892232510286,0.37366674218849694,0.16247582205029013,0.0003466274581598734,1727748280,,False,8,9628a7d9,2024-10-01_02-04-40,0.4039583206176758,4.351876735687256,14202,53f2743d91cf,172.17.0.2,4.351876735687256,8
8,53.96547048538923,0.8509119311304769,0.3730360117824847,0.12219959266802444,0.0003466274581598734,1727748281,,False,9,9628a7d9,2024-10-01_02-04-41,0.3403799533843994,4.692256689071655,14202,53f2743d91cf,172.17.0.2,4.692256689071655,9
9,53.400019854307175,0.8519492480634231,0.3739380055210366,0.19963031423290203,6.649761421631476e-05,1727748281,,False,10,9628a7d9,2024-10-01_02-04-41,0.3369596004486084,5.029216289520264,14202,53f2743d91cf,172.17.0.2,5.029216289520264,10
10,52.295880902558565,0.8514055313483418,0.37313564217892237,0.2011173184357542,6.649761421631476e-05,1727748281,,False,11,9628a7d9,2024-10-01_02-04-41,0.32914137840270996,5.358357667922974,14202,53f2743d91cf,172.17.0.2,5.358357667922974,11
11,52.16921629011631,0.8511038867707577,0.37279681675043136,0.19281663516068054,6.649761421631476e-05,1727748282,,False,12,9628a7d9,2024-10-01_02-04-42,0.33899617195129395,5.697353839874268,14202,53f2743d91cf,172.17.0.2,5.697353839874268,12
12,51.97932253777981,0.8509847418905834,0.37306456563778095,0.19622641509433963,6.649761421631476e-05,1727748282,,False,13,9628a7d9,2024-10-01_02-04-42,0.3272230625152588,6.024576902389526,14202,53f2743d91cf,172.17.0.2,6.024576902389526,13
13,51.929193526506424,0.8509733947591382,0.37304474570484425,0.20626151012891344,6.649761421631476e-05,1727748282,,False,14,9628a7d9,2024-10-01_02-04-42,0.335141658782959,6.359718561172485,14202,53f2743d91cf,172.17.0.2,6.359718561172485,14
14,51.809385910630226,0.8510518790849673,0.37321404229908567,0.20863309352517986,1.2757017923324236e-05,1727748283,,False,15,9628a7d9,2024-10-01_02-04-43,0.3539290428161621,6.7136476039886475,14202,53f2743d91cf,172.17.0.2,6.7136476039886475,15
15,51.5007695928216,0.8509960890220286,0.37312449190962205,0.20765027322404372,1.2757017923324236e-05,1727748283,,True,16,9628a7d9,2024-10-01_02-04-43,0.3204765319824219,7.034124135971069,14202,53f2743d91cf,172.17.0.2,7.034124135971069,16
