epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2210.1053594465106,0.8227576335877862,0.30515625975046373,0.0,0.0017624756112905665,1727749445,,False,1,989bf5ed,2024-10-01_02-24-05,17.279861211776733,17.279861211776733,25323,53f2743d91cf,172.17.0.2,17.279861211776733,1
1,2117.8026228356953,0.8164955805544396,0.28542269028475975,0.0,0.0017624756112905665,1727749460,,False,2,989bf5ed,2024-10-01_02-24-20,15.95979118347168,33.23965239524841,25323,53f2743d91cf,172.17.0.2,33.23965239524841,2
2,2126.5219870156043,0.8125441944556047,0.27839323184249787,0.0,0.0017624756112905665,1727749474,,False,3,989bf5ed,2024-10-01_02-24-34,13.730749368667603,46.970401763916016,25323,53f2743d91cf,172.17.0.2,46.970401763916016,3
3,2129.423901309675,0.8139719766974689,0.28222422962450927,0.0,0.0017624756112905665,1727749488,,False,4,989bf5ed,2024-10-01_02-24-48,14.098227500915527,61.06862926483154,25323,53f2743d91cf,172.17.0.2,61.06862926483154,4
4,2128.707629229821,0.8202772197669747,0.2988988651991718,0.0,0.0017624756112905665,1727749505,,False,5,989bf5ed,2024-10-01_02-25-05,16.488391637802124,77.55702090263367,25323,53f2743d91cf,172.17.0.2,77.55702090263367,5
5,2113.2751859164823,0.8108808758537566,0.27716330155712127,0.0,0.0017624756112905665,1727749521,,False,6,989bf5ed,2024-10-01_02-25-21,15.8164963722229,93.37351727485657,25323,53f2743d91cf,172.17.0.2,93.37351727485657,6
6,2160.2236119359013,0.8196404178384893,0.29834859691688936,0.0,0.0003520161191664378,1727749535,,False,7,989bf5ed,2024-10-01_02-25-35,14.00565767288208,107.37917494773865,25323,53f2743d91cf,172.17.0.2,107.37917494773865,7
7,1950.5532195273327,0.8226376054640417,0.30208005694399337,0.0,0.0003520161191664378,1727749551,,False,8,989bf5ed,2024-10-01_02-25-51,16.300271034240723,123.67944598197937,25323,53f2743d91cf,172.17.0.2,123.67944598197937,8
8,1926.417826361907,0.8214564081960627,0.3033508816816057,0.0,0.0003520161191664378,1727749573,,False,9,989bf5ed,2024-10-01_02-26-13,21.87882351875305,145.55826950073242,25323,53f2743d91cf,172.17.0.2,145.55826950073242,9
9,1914.3441180791726,0.828512454801125,0.3161100094516183,0.0,0.0003520161191664378,1727749596,,False,10,989bf5ed,2024-10-01_02-26-36,22.55088996887207,168.1091594696045,25323,53f2743d91cf,172.17.0.2,168.1091594696045,10
10,1892.3758574237079,0.8277460827641623,0.3150804530089275,0.0,0.0003520161191664378,1727749619,,False,11,989bf5ed,2024-10-01_02-26-59,23.645960092544556,191.75511956214905,25323,53f2743d91cf,172.17.0.2,191.75511956214905,11
11,1890.58225790037,0.8303726396143029,0.32182423348196554,0.0,0.0003520161191664378,1727749642,,False,12,989bf5ed,2024-10-01_02-27-22,23.06844472885132,214.82356429100037,25323,53f2743d91cf,172.17.0.2,214.82356429100037,12
12,1878.0830501081211,0.8332723985536359,0.31775225138609764,0.0,0.0003520161191664378,1727749666,,False,13,989bf5ed,2024-10-01_02-27-46,23.47798991203308,238.30155420303345,25323,53f2743d91cf,172.17.0.2,238.30155420303345,13
13,1846.9723107343561,0.8332287063077541,0.32666144597642216,0.0,7.030755339772514e-05,1727749690,,False,14,989bf5ed,2024-10-01_02-28-10,24.417599201202393,262.71915340423584,25323,53f2743d91cf,172.17.0.2,262.71915340423584,14
14,1815.4842667015982,0.8328199075934111,0.3198144405458331,0.0,7.030755339772514e-05,1727749716,,False,15,989bf5ed,2024-10-01_02-28-36,25.589502811431885,288.3086562156677,25323,53f2743d91cf,172.17.0.2,288.3086562156677,15
15,1796.6441196787957,0.8327400562474889,0.3205682252687503,0.2111111111111111,7.030755339772514e-05,1727749743,,False,16,989bf5ed,2024-10-01_02-29-03,26.95310640335083,315.26176261901855,25323,53f2743d91cf,172.17.0.2,315.26176261901855,16
16,1782.5131311372932,0.8329163318601848,0.3235020338805331,0.2381786339754816,7.030755339772514e-05,1727749771,,False,17,989bf5ed,2024-10-01_02-29-31,27.961151838302612,343.22291445732117,25323,53f2743d91cf,172.17.0.2,343.22291445732117,17
17,1779.999359514419,0.8329449578143833,0.3172349845227908,0.32305433186490456,7.030755339772514e-05,1727749800,,False,18,989bf5ed,2024-10-01_02-30-00,28.923789024353027,372.1467034816742,25323,53f2743d91cf,172.17.0.2,372.1467034816742,18
18,1767.5159634664608,0.8323593812776217,0.32281107637063555,0.2140221402214022,7.030755339772514e-05,1727749831,,False,19,989bf5ed,2024-10-01_02-30-31,30.84254479408264,402.98924827575684,25323,53f2743d91cf,172.17.0.2,402.98924827575684,19
19,1760.1123187555309,0.832637103254319,0.32475569279404626,0.2601626016260163,7.030755339772514e-05,1727749865,,False,20,989bf5ed,2024-10-01_02-31-05,34.114787578582764,437.1040358543396,25323,53f2743d91cf,172.17.0.2,437.1040358543396,20
