epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,101.03150980174541,0.7795561903389175,0.2772277019351192,0.0,0.0001455354997858543,1727748508,,False,1,9b7105cb,2024-10-01_02-08-28,1.1297075748443604,1.1297075748443604,16767,53f2743d91cf,172.17.0.2,1.1297075748443604,1
1,70.56934042274952,0.8190051580307947,0.3263490395569926,0.0,0.0001455354997858543,1727748509,,False,2,9b7105cb,2024-10-01_02-08-29,0.32428956031799316,1.4539971351623535,16767,53f2743d91cf,172.17.0.2,1.4539971351623535,2
2,64.77723278105259,0.8310064009748874,0.3480676059435886,0.0,7.19170240037511e-05,1727748509,,False,3,9b7105cb,2024-10-01_02-08-29,0.34241795539855957,1.796415090560913,16767,53f2743d91cf,172.17.0.2,1.796415090560913,3
3,62.436723329126835,0.8347314894457386,0.35509990132910474,0.0,7.19170240037511e-05,1727748509,,False,4,9b7105cb,2024-10-01_02-08-29,0.3590571880340576,2.1554722785949707,16767,53f2743d91cf,172.17.0.2,2.1554722785949707,4
4,61.696355663239956,0.8371799395562278,0.36055907314432223,0.0,7.19170240037511e-05,1727748510,,False,5,9b7105cb,2024-10-01_02-08-30,0.34206414222717285,2.4975364208221436,16767,53f2743d91cf,172.17.0.2,2.4975364208221436,5
5,61.14767327904701,0.8398511462134662,0.3663239170091459,0.0,3.553812196451346e-05,1727748510,,False,6,9b7105cb,2024-10-01_02-08-30,0.3862006664276123,2.883737087249756,16767,53f2743d91cf,172.17.0.2,2.883737087249756,6
6,60.67145346850157,0.8415658100523103,0.370871335464178,0.0,3.553812196451346e-05,1727748511,,False,7,9b7105cb,2024-10-01_02-08-31,0.36365294456481934,3.247390031814575,16767,53f2743d91cf,172.17.0.2,3.247390031814575,7
7,60.40946786850691,0.8426019087802581,0.37375070292344154,0.0,3.553812196451346e-05,1727748511,,False,8,9b7105cb,2024-10-01_02-08-31,0.353076696395874,3.600466728210449,16767,53f2743d91cf,172.17.0.2,3.600466728210449,8
8,60.44462612271309,0.8435715549249319,0.37537873802895283,0.0,1.756132334812352e-05,1727748511,,False,9,9b7105cb,2024-10-01_02-08-31,0.33745503425598145,3.9379217624664307,16767,53f2743d91cf,172.17.0.2,3.9379217624664307,9
9,60.3137014657259,0.8439216009269667,0.37659397366733033,0.0,1.756132334812352e-05,1727748512,,False,10,9b7105cb,2024-10-01_02-08-32,0.36917543411254883,4.3070971965789795,16767,53f2743d91cf,172.17.0.2,4.3070971965789795,10
10,60.06462738662958,0.844343715223538,0.37833545362026183,0.0,1.756132334812352e-05,1727748512,,False,11,9b7105cb,2024-10-01_02-08-32,0.32143235206604004,4.6285295486450195,16767,53f2743d91cf,172.17.0.2,4.6285295486450195,11
11,60.09826818108559,0.8446937612255729,0.3789587465544686,0.0,8.678007184659359e-06,1727748512,,False,12,9b7105cb,2024-10-01_02-08-32,0.3140096664428711,4.942539215087891,16767,53f2743d91cf,172.17.0.2,4.942539215087891,12
12,60.15212484449148,0.8449576996549145,0.3797020888992993,0.0,8.678007184659359e-06,1727748513,,False,13,9b7105cb,2024-10-01_02-08-33,0.33567047119140625,5.278209686279297,16767,53f2743d91cf,172.17.0.2,5.278209686279297,13
13,60.0848009288311,0.8451982392873288,0.3803810738651806,0.0,8.678007184659359e-06,1727748513,,False,14,9b7105cb,2024-10-01_02-08-33,0.34503746032714844,5.623247146606445,16767,53f2743d91cf,172.17.0.2,5.623247146606445,14
14,59.84457742422819,0.8453040018494408,0.3808927126241687,0.0,4.288276413123861e-06,1727748513,,False,15,9b7105cb,2024-10-01_02-08-33,0.3392207622528076,5.962467908859253,16767,53f2743d91cf,172.17.0.2,5.962467908859253,15
15,59.89650699496269,0.8453966610852737,0.3812066900548661,0.0,4.288276413123861e-06,1727748514,,True,16,9b7105cb,2024-10-01_02-08-34,0.33854103088378906,6.301008939743042,16767,53f2743d91cf,172.17.0.2,6.301008939743042,16
