epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,4392.270705848932,0.7214535447676661,0.24404779560227424,0.0,4.73778001912121e-06,1727748773,,False,1,9b997ff8,2024-10-01_02-12-53,7.085633993148804,7.085633993148804,20540,53f2743d91cf,172.17.0.2,7.085633993148804,1
1,3204.0819262340665,0.7631600117990935,0.26979264875661496,0.0,4.73778001912121e-06,1727748780,,False,2,9b997ff8,2024-10-01_02-13-00,6.742432355880737,13.828066349029541,20540,53f2743d91cf,172.17.0.2,13.828066349029541,2
2,2590.313204050064,0.7874073341168575,0.2892383052813377,0.0,6.455680501255902e-07,1727748788,,False,3,9b997ff8,2024-10-01_02-13-08,7.6858673095703125,21.513933658599854,20540,53f2743d91cf,172.17.0.2,21.513933658599854,3
3,2461.40269594267,0.7896404697814672,0.29113521026523786,0.0,6.455680501255902e-07,1727748798,,False,4,9b997ff8,2024-10-01_02-13-18,10.11628270149231,31.630216360092163,20540,53f2743d91cf,172.17.0.2,31.630216360092163,4
4,2434.560185369104,0.7917136334088193,0.2932222332406364,0.0,6.455680501255902e-07,1727748805,,False,5,9b997ff8,2024-10-01_02-13-25,6.933718681335449,38.56393504142761,20540,53f2743d91cf,172.17.0.2,38.56393504142761,5
5,2431.2635307898745,0.7935315815316444,0.2948721463456555,0.0,8.796484971040491e-08,1727748811,,False,6,9b997ff8,2024-10-01_02-13-31,6.37758994102478,44.94152498245239,20540,53f2743d91cf,172.17.0.2,44.94152498245239,6
6,2425.3928633891046,0.793791420505456,0.29507849616472515,0.0,8.796484971040491e-08,1727748818,,False,7,9b997ff8,2024-10-01_02-13-38,6.519432783126831,51.460957765579224,20540,53f2743d91cf,172.17.0.2,51.460957765579224,7
7,2419.762864643708,0.7940327656021283,0.29540146603711365,0.0,8.796484971040491e-08,1727748825,,False,8,9b997ff8,2024-10-01_02-13-45,6.831648826599121,58.292606592178345,20540,53f2743d91cf,172.17.0.2,58.292606592178345,8
8,2412.84046263434,0.7942620896786596,0.2956211652229138,0.0,1.1986055975150553e-08,1727748832,,False,9,9b997ff8,2024-10-01_02-13-52,7.735652923583984,66.02825951576233,20540,53f2743d91cf,172.17.0.2,66.02825951576233,9
9,2420.546350814402,0.794293529269797,0.29565956366282997,0.0,1.1986055975150553e-08,1727748842,,False,10,9b997ff8,2024-10-01_02-14-02,9.12279486656189,75.15105438232422,20540,53f2743d91cf,172.17.0.2,75.15105438232422,10
10,2414.2892709169537,0.7943194206977925,0.29570395569910374,0.0,1.1986055975150553e-08,1727748852,,False,11,9b997ff8,2024-10-01_02-14-12,10.160478830337524,85.31153321266174,20540,53f2743d91cf,172.17.0.2,85.31153321266174,11
11,2410.678934197873,0.7943624189621422,0.2957295055469752,0.0,1.6332152935225085e-09,1727748862,,False,12,9b997ff8,2024-10-01_02-14-22,9.94980502128601,95.26133823394775,20540,53f2743d91cf,172.17.0.2,95.26133823394775,12
12,2422.1872845357284,0.7943619566152137,0.29572950554697525,0.0,1.6332152935225085e-09,1727748872,,False,13,9b997ff8,2024-10-01_02-14-32,9.956980466842651,105.2183187007904,20540,53f2743d91cf,172.17.0.2,105.2183187007904,13
13,2418.9582787705585,0.7943647306967846,0.29573065299105844,0.0,1.6332152935225085e-09,1727748882,,False,14,9b997ff8,2024-10-01_02-14-42,9.898789167404175,115.11710786819458,20540,53f2743d91cf,172.17.0.2,115.11710786819458,14
14,2426.4808434983715,0.7943638060029276,0.2957298478236312,0.0,2.225412763402608e-10,1727748892,,False,15,9b997ff8,2024-10-01_02-14-52,9.957424879074097,125.07453274726868,20540,53f2743d91cf,172.17.0.2,125.07453274726868,15
15,2411.7939757676795,0.7943638060029276,0.29572984782363115,0.0,2.225412763402608e-10,1727748902,,True,16,9b997ff8,2024-10-01_02-15-02,9.954342126846313,135.028874874115,20540,53f2743d91cf,172.17.0.2,135.028874874115,16
