epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,69.87783694267273,0.8521527669584891,0.38379514547779464,0.0,0.0034382985646980928,1727748466,,False,1,9c771596,2024-10-01_02-07-46,1.1218435764312744,1.1218435764312744,15853,53f2743d91cf,172.17.0.2,1.1218435764312744,1
1,63.892590552568436,0.8522340527447984,0.3668373623495517,0.0,0.0034382985646980928,1727748466,,False,2,9c771596,2024-10-01_02-07-46,0.5159671306610107,1.6378107070922852,15853,53f2743d91cf,172.17.0.2,1.6378107070922852,2
2,62.756380915641785,0.8560119064323185,0.38220687870077236,0.0,0.0034382985646980928,1727748467,,False,3,9c771596,2024-10-01_02-07-47,0.5593812465667725,2.1971919536590576,15853,53f2743d91cf,172.17.0.2,2.1971919536590576,3
3,62.84195722639561,0.8552242084554635,0.3723612202229944,0.0,0.0034382985646980928,1727748467,,False,4,9c771596,2024-10-01_02-07-47,0.4633331298828125,2.66052508354187,15853,53f2743d91cf,172.17.0.2,2.66052508354187,4
4,61.9582435041666,0.8576231068395216,0.3757667259075664,0.0,0.0034382985646980928,1727748468,,False,5,9c771596,2024-10-01_02-07-48,0.47362494468688965,3.1341500282287598,15853,53f2743d91cf,172.17.0.2,3.1341500282287598,5
5,61.812439784407616,0.8578630934467206,0.388199049445118,0.0,0.0034382985646980928,1727748469,,False,6,9c771596,2024-10-01_02-07-49,0.6802628040313721,3.814412832260132,15853,53f2743d91cf,172.17.0.2,3.814412832260132,6
6,61.41727724671364,0.8532506089176314,0.37000393702384426,0.0,0.0034382985646980928,1727748469,,False,7,9c771596,2024-10-01_02-07-49,0.42017126083374023,4.234584093093872,15853,53f2743d91cf,172.17.0.2,4.234584093093872,7
7,61.32963775843382,0.8534552749153032,0.37058938906644145,0.0,0.0034382985646980928,1727748469,,False,8,9c771596,2024-10-01_02-07-49,0.4444456100463867,4.679029703140259,15853,53f2743d91cf,172.17.0.2,4.679029703140259,8
8,61.06775061041117,0.8545071516976633,0.3722622184858844,0.0,0.0034382985646980928,1727748470,,False,9,9c771596,2024-10-01_02-07-50,0.40901660919189453,5.088046312332153,15853,53f2743d91cf,172.17.0.2,5.088046312332153,9
9,60.57337012887001,0.8561473827428341,0.3781297712291695,0.0,0.0017162827737828498,1727748470,,False,10,9c771596,2024-10-01_02-07-50,0.3988456726074219,5.486891984939575,15853,53f2743d91cf,172.17.0.2,5.486891984939575,10
10,59.09006776660681,0.8538084810105758,0.3561679968421145,0.0,0.0017162827737828498,1727748471,,False,11,9c771596,2024-10-01_02-07-51,0.45009613037109375,5.936988115310669,15853,53f2743d91cf,172.17.0.2,5.936988115310669,11
11,58.66085207462311,0.8570047542508111,0.37574830909393,0.0,0.0017162827737828498,1727748471,,False,12,9c771596,2024-10-01_02-07-51,0.44379425048828125,6.38078236579895,15853,53f2743d91cf,172.17.0.2,6.38078236579895,12
12,58.09865125268698,0.85673380162978,0.3745216855619719,0.0,0.0017162827737828498,1727748472,,False,13,9c771596,2024-10-01_02-07-52,0.4673166275024414,6.848098993301392,15853,53f2743d91cf,172.17.0.2,6.848098993301392,13
13,57.97592955082655,0.8521764753128294,0.3698828216834024,0.0,0.0017162827737828498,1727748472,,False,14,9c771596,2024-10-01_02-07-52,0.45925283432006836,7.30735182762146,15853,53f2743d91cf,172.17.0.2,7.30735182762146,14
14,57.30201855301857,0.8556790217836231,0.38331867458171753,0.0,0.0017162827737828498,1727748473,,False,15,9c771596,2024-10-01_02-07-53,0.44641876220703125,7.753770589828491,15853,53f2743d91cf,172.17.0.2,7.753770589828491,15
15,57.48754647374153,0.8520076137686511,0.3676302693369199,0.0,0.0017162827737828498,1727748473,,True,16,9c771596,2024-10-01_02-07-53,0.4879167079925537,8.241687297821045,15853,53f2743d91cf,172.17.0.2,8.241687297821045,16
