epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,83.38219428062439,0.8331113420616719,0.3243155142048136,0.0,0.0017817469558253994,1727748432,,False,1,9e93ba77,2024-10-01_02-07-12,0.847564697265625,0.847564697265625,15134,53f2743d91cf,172.17.0.2,0.847564697265625,1
1,63.65153381973505,0.8469524480759429,0.344993172808134,0.0,0.0017817469558253994,1727748434,,False,2,9e93ba77,2024-10-01_02-07-14,0.24867844581604004,1.096243143081665,15134,53f2743d91cf,172.17.0.2,1.096243143081665,2
2,61.79252542555332,0.8479130829510703,0.3477403766936651,0.01015228426395939,0.0017817469558253994,1727748434,,False,3,9e93ba77,2024-10-01_02-07-14,0.23500323295593262,1.3312463760375977,15134,53f2743d91cf,172.17.0.2,1.3312463760375977,3
3,61.39911776781082,0.8467951627803262,0.345585981001481,0.02506265664160401,0.0017817469558253994,1727748434,,False,4,9e93ba77,2024-10-01_02-07-14,0.25705528259277344,1.588301658630371,15134,53f2743d91cf,172.17.0.2,1.588301658630371,4
4,61.116334583610296,0.8496491940621815,0.3521215485502832,0.05275779376498801,0.0003436485383599512,1727748434,,False,5,9e93ba77,2024-10-01_02-07-14,0.2651822566986084,1.8534839153289795,15134,53f2743d91cf,172.17.0.2,1.8534839153289795,5
5,60.07217599451542,0.8489105504587156,0.3503758505229062,0.03414634146341464,0.0003436485383599512,1727748435,,False,6,9e93ba77,2024-10-01_02-07-15,0.22957253456115723,2.0830564498901367,15134,53f2743d91cf,172.17.0.2,2.0830564498901367,6
6,59.9109206572175,0.8483929026503568,0.3491393865962678,0.0387409200968523,0.0003436485383599512,1727748435,,False,7,9e93ba77,2024-10-01_02-07-15,0.22944927215576172,2.3125057220458984,15134,53f2743d91cf,172.17.0.2,2.3125057220458984,7
7,59.80919078737497,0.847791634811417,0.3473450167456471,0.0343980343980344,0.0003436485383599512,1727748435,,False,8,9e93ba77,2024-10-01_02-07-15,0.22710800170898438,2.539613723754883,15134,53f2743d91cf,172.17.0.2,2.539613723754883,8
8,59.79430780559778,0.8479081055682977,0.3481057411824916,0.0387409200968523,0.0003436485383599512,1727748435,,False,9,9e93ba77,2024-10-01_02-07-15,0.2279822826385498,2.7675960063934326,15134,53f2743d91cf,172.17.0.2,2.7675960063934326,9
9,59.70579243451357,0.8479170648572883,0.34784735377823306,0.03855421686746988,6.628007278520833e-05,1727748435,,False,10,9e93ba77,2024-10-01_02-07-15,0.22603559494018555,2.993631601333618,15134,53f2743d91cf,172.17.0.2,2.993631601333618,10
10,59.49254932999611,0.8480096441768602,0.3481732148187365,0.047619047619047616,6.628007278520833e-05,1727748436,,False,11,9e93ba77,2024-10-01_02-07-16,0.22838521003723145,3.2220168113708496,15134,53f2743d91cf,172.17.0.2,3.2220168113708496,11
11,59.503062412142754,0.8480156170361876,0.3480542998098291,0.047619047619047616,6.628007278520833e-05,1727748436,,False,12,9e93ba77,2024-10-01_02-07-16,0.21754670143127441,3.439563512802124,15134,53f2743d91cf,172.17.0.2,3.439563512802124,12
12,59.39486364275217,0.8479767934505607,0.3479796974971304,0.047619047619047616,6.628007278520833e-05,1727748436,,False,13,9e93ba77,2024-10-01_02-07-16,0.22078537940979004,3.660348892211914,15134,53f2743d91cf,172.17.0.2,3.660348892211914,13
13,59.459940783679485,0.8479807753567787,0.3480499049565987,0.047619047619047616,6.628007278520833e-05,1727748436,,False,14,9e93ba77,2024-10-01_02-07-16,0.22325706481933594,3.88360595703125,15134,53f2743d91cf,172.17.0.2,3.88360595703125,14
14,59.50136283040047,0.8479439427242609,0.3480753430028821,0.052132701421800945,1.2783549347767225e-05,1727748437,,False,15,9e93ba77,2024-10-01_02-07-17,0.22654509544372559,4.110151052474976,15134,53f2743d91cf,172.17.0.2,4.110151052474976,15
15,59.47867792099714,0.8479319970056065,0.3480454785213476,0.047505938242280284,1.2783549347767225e-05,1727748437,,True,16,9e93ba77,2024-10-01_02-07-17,0.22272562980651855,4.332876682281494,15134,53f2743d91cf,172.17.0.2,4.332876682281494,16
