epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,66.6180294752121,0.43404374468778634,0.11685127894155001,0.0,0.0002151661375334709,1727748636,,False,1,9f772d3e,2024-10-01_02-10-36,0.9327235221862793,0.9327235221862793,18078,53f2743d91cf,172.17.0.2,0.9327235221862793,1
1,45.05390405654907,0.7711225933362456,0.28205843790857876,0.0,0.0002151661375334709,1727748637,,False,2,9f772d3e,2024-10-01_02-10-37,0.22641825675964355,1.1591417789459229,18078,53f2743d91cf,172.17.0.2,1.1591417789459229,2
2,38.95004290342331,0.8184101782250645,0.3171703385410364,0.0,0.0002151661375334709,1727748637,,False,3,9f772d3e,2024-10-01_02-10-37,0.20620965957641602,1.3653514385223389,18078,53f2743d91cf,172.17.0.2,1.3653514385223389,3
3,35.63853107392788,0.8286276319442536,0.3248002297004106,0.0,0.0002151661375334709,1727748637,,False,4,9f772d3e,2024-10-01_02-10-37,0.20017099380493164,1.5655224323272705,18078,53f2743d91cf,172.17.0.2,1.5655224323272705,4
4,33.24244441092014,0.834063738035971,0.33276660329659363,0.0,0.0002151661375334709,1727748637,,False,5,9f772d3e,2024-10-01_02-10-37,0.19704270362854004,1.7625651359558105,18078,53f2743d91cf,172.17.0.2,1.7625651359558105,5
5,32.1115817129612,0.8365368488777668,0.33496722585357874,0.0,0.0002151661375334709,1727748638,,False,6,9f772d3e,2024-10-01_02-10-38,0.2000260353088379,1.9625911712646484,18078,53f2743d91cf,172.17.0.2,1.9625911712646484,6
6,31.30413894355297,0.8387039004084897,0.3421525873439479,0.0,0.0002151661375334709,1727748638,,False,7,9f772d3e,2024-10-01_02-10-38,0.1950223445892334,2.157613515853882,18078,53f2743d91cf,172.17.0.2,2.157613515853882,7
7,30.993410050868988,0.8403848577392734,0.34757231511626857,0.0,0.0002151661375334709,1727748638,,False,8,9f772d3e,2024-10-01_02-10-38,0.19363117218017578,2.3512446880340576,18078,53f2743d91cf,172.17.0.2,2.3512446880340576,8
8,30.613913848996162,0.8425163760682466,0.3550063361441661,0.0,0.0002151661375334709,1727748638,,False,9,9f772d3e,2024-10-01_02-10-38,0.20943880081176758,2.560683488845825,18078,53f2743d91cf,172.17.0.2,2.560683488845825,9
9,30.615220919251442,0.8427925874898494,0.3555558528093724,0.0,2.55370324554943e-05,1727748638,,False,10,9f772d3e,2024-10-01_02-10-38,0.21061491966247559,2.771298408508301,18078,53f2743d91cf,172.17.0.2,2.771298408508301,10
10,30.571234494447708,0.8427518427518429,0.3557655654110933,0.0,2.55370324554943e-05,1727748639,,False,11,9f772d3e,2024-10-01_02-10-39,0.21826171875,2.989560127258301,18078,53f2743d91cf,172.17.0.2,2.989560127258301,11
11,30.26384538412094,0.8428219616032959,0.3560934268305835,0.0,2.55370324554943e-05,1727748639,,False,12,9f772d3e,2024-10-01_02-10-39,0.1968998908996582,3.186460018157959,18078,53f2743d91cf,172.17.0.2,3.186460018157959,12
12,30.301701620221138,0.842773636448916,0.3560113980877161,0.0,2.55370324554943e-05,1727748639,,False,13,9f772d3e,2024-10-01_02-10-39,0.21060538291931152,3.3970654010772705,18078,53f2743d91cf,172.17.0.2,3.3970654010772705,13
13,30.087435454130173,0.8428541783728827,0.3563243064773498,0.0,2.55370324554943e-05,1727748639,,False,14,9f772d3e,2024-10-01_02-10-39,0.19817614555358887,3.5952415466308594,18078,53f2743d91cf,172.17.0.2,3.5952415466308594,14
14,30.23290403187275,0.8427944825939427,0.35642410918368533,0.0,2.55370324554943e-05,1727748639,,False,15,9f772d3e,2024-10-01_02-10-39,0.20098185539245605,3.7962234020233154,18078,53f2743d91cf,172.17.0.2,3.7962234020233154,15
15,30.23082011938095,0.8427726888968694,0.35610824423889903,0.0,2.55370324554943e-05,1727748640,,True,16,9f772d3e,2024-10-01_02-10-40,0.190140962600708,3.9863643646240234,18078,53f2743d91cf,172.17.0.2,3.9863643646240234,16
