epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,291.0900106707122,0.835075,0.333458791801453,0.0,0.00048028102418783966,1727748786,,False,1,a9adaf2f,2024-10-01_02-13-06,1.963935375213623,1.963935375213623,20930,53f2743d91cf,172.17.0.2,1.963935375213623,1
1,247.9615570561291,0.842860576923077,0.3548213425279789,0.0,0.00048028102418783966,1727748788,,False,2,a9adaf2f,2024-10-01_02-13-08,1.1235566139221191,3.087491989135742,20930,53f2743d91cf,172.17.0.2,3.087491989135742,2
2,244.94525063131005,0.8457740384615386,0.36797575399532073,0.0,0.00048028102418783966,1727748789,,False,3,a9adaf2f,2024-10-01_02-13-09,1.7861576080322266,4.873649597167969,20930,53f2743d91cf,172.17.0.2,4.873649597167969,3
3,241.483502896328,0.8453235576923078,0.35654136839376455,0.0,0.00048028102418783966,1727748791,,False,4,a9adaf2f,2024-10-01_02-13-11,1.2235569953918457,6.0972065925598145,20930,53f2743d91cf,172.17.0.2,6.0972065925598145,4
4,239.37610289671284,0.8452221153846153,0.36358254284810615,0.0,0.00022297473296034313,1727748792,,False,5,a9adaf2f,2024-10-01_02-13-12,1.569854974746704,7.6670615673065186,20930,53f2743d91cf,172.17.0.2,7.6670615673065186,5
5,234.88501704766531,0.844708653846154,0.3607930910378151,0.0,0.00022297473296034313,1727748794,,False,6,a9adaf2f,2024-10-01_02-13-14,1.5948026180267334,9.261864185333252,20930,53f2743d91cf,172.17.0.2,9.261864185333252,6
6,233.06847410427872,0.8437826923076923,0.35840040356260966,0.0,0.00022297473296034313,1727748795,,False,7,a9adaf2f,2024-10-01_02-13-15,1.1020684242248535,10.363932609558105,20930,53f2743d91cf,172.17.0.2,10.363932609558105,7
7,231.64489552412124,0.8435971153846153,0.3606214510280853,0.0,0.00022297473296034313,1727748796,,False,8,a9adaf2f,2024-10-01_02-13-16,1.2296762466430664,11.593608856201172,20930,53f2743d91cf,172.17.0.2,11.593608856201172,8
8,231.27931836759672,0.8440115384615385,0.36253343262386994,0.0,0.00022297473296034313,1727748798,,False,9,a9adaf2f,2024-10-01_02-13-18,1.6533911228179932,13.246999979019165,20930,53f2743d91cf,172.17.0.2,13.246999979019165,9
9,229.16682294102793,0.843776923076923,0.3625030460069177,0.0,0.00010351800099287608,1727748799,,False,10,a9adaf2f,2024-10-01_02-13-19,1.227632761001587,14.474632740020752,20930,53f2743d91cf,172.17.0.2,14.474632740020752,10
10,226.3566742054827,0.8434548076923076,0.3637068729584755,0.0881057268722467,0.00010351800099287608,1727748800,,False,11,a9adaf2f,2024-10-01_02-13-20,1.1182093620300293,15.592842102050781,20930,53f2743d91cf,172.17.0.2,15.592842102050781,11
11,226.1362064604882,0.8423144230769232,0.3596374260795156,0.05504587155963303,0.00010351800099287608,1727748801,,False,12,a9adaf2f,2024-10-01_02-13-21,1.1110613346099854,16.703903436660767,20930,53f2743d91cf,172.17.0.2,16.703903436660767,12
12,223.99086023350537,0.8421567307692307,0.360434552968283,0.08388520971302428,0.00010351800099287608,1727748802,,False,13,a9adaf2f,2024-10-01_02-13-22,1.0890347957611084,17.792938232421875,20930,53f2743d91cf,172.17.0.2,17.792938232421875,13
13,222.70100242306944,0.841870673076923,0.35914449071314125,0.09130434782608696,0.00010351800099287608,1727748803,,False,14,a9adaf2f,2024-10-01_02-13-23,1.0309433937072754,18.82388162612915,20930,53f2743d91cf,172.17.0.2,18.82388162612915,14
14,222.93344390261336,0.8416625,0.3572551614223216,0.09935205183585313,4.805915175809166e-05,1727748805,,False,15,a9adaf2f,2024-10-01_02-13-25,1.059175729751587,19.883057355880737,20930,53f2743d91cf,172.17.0.2,19.883057355880737,15
15,220.817034831804,0.841035576923077,0.3563440450284941,0.09503239740820735,4.805915175809166e-05,1727748806,,True,16,a9adaf2f,2024-10-01_02-13-26,1.0460004806518555,20.929057836532593,20930,53f2743d91cf,172.17.0.2,20.929057836532593,16
