epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,68.26577102392912,0.8312615362503025,0.36597218654638275,0.0,0.0015618003781777351,1727748919,,False,1,aa38402e,2024-10-01_02-15-19,1.0989303588867188,1.0989303588867188,21745,53f2743d91cf,172.17.0.2,1.0989303588867188,1
1,60.04170596599579,0.8312832849189058,0.3576818312551753,0.0,0.0015618003781777351,1727748920,,False,2,aa38402e,2024-10-01_02-15-20,0.44564127922058105,1.5445716381072998,21745,53f2743d91cf,172.17.0.2,1.5445716381072998,2
2,58.61633125692606,0.8351829157588961,0.3612103063704232,0.0,0.0015618003781777351,1727748920,,False,3,aa38402e,2024-10-01_02-15-20,0.40767645835876465,1.9522480964660645,21745,53f2743d91cf,172.17.0.2,1.9522480964660645,3
3,57.92959455400705,0.8376868494311305,0.36642432505893924,0.0,0.0015618003781777351,1727748920,,False,4,aa38402e,2024-10-01_02-15-20,0.4065134525299072,2.3587615489959717,21745,53f2743d91cf,172.17.0.2,2.3587615489959717,4
4,56.45878326147795,0.8312114197530865,0.34976867033041986,0.0,0.0015618003781777351,1727748921,,False,5,aa38402e,2024-10-01_02-15-21,0.4487755298614502,2.807537078857422,21745,53f2743d91cf,172.17.0.2,2.807537078857422,5
5,55.44886662811041,0.8311717047930283,0.3573769321727726,0.0,0.0015618003781777351,1727748921,,False,6,aa38402e,2024-10-01_02-15-21,0.5159194469451904,3.3234565258026123,21745,53f2743d91cf,172.17.0.2,3.3234565258026123,6
6,54.4747601673007,0.8342637981118375,0.3534953085846015,0.27070063694267515,0.0015618003781777351,1727748922,,False,7,aa38402e,2024-10-01_02-15-22,0.4225800037384033,3.7460365295410156,21745,53f2743d91cf,172.17.0.2,3.7460365295410156,7
7,53.878948010504246,0.8281826812515128,0.3515179071761967,0.14990138067061143,0.0015618003781777351,1727748922,,False,8,aa38402e,2024-10-01_02-15-22,0.4425661563873291,4.188602685928345,21745,53f2743d91cf,172.17.0.2,4.188602685928345,8
8,52.3332110196352,0.8301268231057854,0.3519083300988426,0.14919354838709678,0.0015618003781777351,1727748923,,False,9,aa38402e,2024-10-01_02-15-23,0.4301903247833252,4.61879301071167,21745,53f2743d91cf,172.17.0.2,4.61879301071167,9
9,51.251777805387974,0.8281325647542968,0.34357794114405066,0.233502538071066,0.00035965120129747777,1727748923,,False,10,aa38402e,2024-10-01_02-15-23,0.5345726013183594,5.153365612030029,21745,53f2743d91cf,172.17.0.2,5.153365612030029,10
10,47.527359776198864,0.8287055948922779,0.3383359035255817,0.2575516693163752,0.00035965120129747777,1727748924,,False,11,aa38402e,2024-10-01_02-15-24,0.47490549087524414,5.628271102905273,21745,53f2743d91cf,172.17.0.2,5.628271102905273,11
11,46.384349659085274,0.8285372791091745,0.33967533882496226,0.23411371237458195,0.00035965120129747777,1727748924,,False,12,aa38402e,2024-10-01_02-15-24,0.4341254234313965,6.06239652633667,21745,53f2743d91cf,172.17.0.2,6.06239652633667,12
12,45.377929363399744,0.8281675517429193,0.3429332474905723,0.2332761578044597,0.00035965120129747777,1727748925,,False,13,aa38402e,2024-10-01_02-15-25,0.41225242614746094,6.474648952484131,21745,53f2743d91cf,172.17.0.2,6.474648952484131,13
13,44.9264008551836,0.8267207924836601,0.34065964928770276,0.27086614173228346,0.00035965120129747777,1727748925,,False,14,aa38402e,2024-10-01_02-15-25,0.4309101104736328,6.905559062957764,21745,53f2743d91cf,172.17.0.2,6.905559062957764,14
14,43.95553212240338,0.8254357298474946,0.3347786188083174,0.25471698113207547,0.00035965120129747777,1727748925,,False,15,aa38402e,2024-10-01_02-15-25,0.43214845657348633,7.33770751953125,21745,53f2743d91cf,172.17.0.2,7.33770751953125,15
15,43.12443329021335,0.8233384017187122,0.3303466539614077,0.2563291139240506,0.00035965120129747777,1727748926,,False,16,aa38402e,2024-10-01_02-15-26,0.4529907703399658,7.790698289871216,21745,53f2743d91cf,172.17.0.2,7.790698289871216,16
16,42.56126672402024,0.8242745400629389,0.3341683509943558,0.27202472952086554,0.00035965120129747777,1727748929,,False,17,aa38402e,2024-10-01_02-15-29,0.5534238815307617,8.344122171401978,21745,53f2743d91cf,172.17.0.2,8.344122171401978,17
17,42.494962345808744,0.8232126376785281,0.33256071692171685,0.2571428571428571,0.00035965120129747777,1727748929,,False,18,aa38402e,2024-10-01_02-15-29,0.47853732109069824,8.822659492492676,21745,53f2743d91cf,172.17.0.2,8.822659492492676,18
18,41.71534813195467,0.8245525447833455,0.3339727392177572,0.2614173228346457,0.00035965120129747777,1727748930,,False,19,aa38402e,2024-10-01_02-15-30,0.47875547409057617,9.301414966583252,21745,53f2743d91cf,172.17.0.2,9.301414966583252,19
19,41.432953640818596,0.8255936440934398,0.3337919013464728,0.26156299840510366,8.282043493012829e-05,1727748930,,False,20,aa38402e,2024-10-01_02-15-30,0.48429036140441895,9.785705327987671,21745,53f2743d91cf,172.17.0.2,9.785705327987671,20
