epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,76.31433139741421,0.8391983495431772,0.3444118847824201,0.0,0.0014285063809674062,1727748498,,False,1,af3f9a43,2024-10-01_02-08-18,0.9614484310150146,0.9614484310150146,16567,53f2743d91cf,172.17.0.2,0.9614484310150146,1
1,61.78210201859474,0.8449503880538363,0.3514781141063723,0.0,0.0014285063809674062,1727748498,,False,2,af3f9a43,2024-10-01_02-08-18,0.2789139747619629,1.2403624057769775,16567,53f2743d91cf,172.17.0.2,1.2403624057769775,2
2,60.91542211920023,0.8454435602711464,0.35784846387778235,0.0,0.0014285063809674062,1727748498,,False,3,af3f9a43,2024-10-01_02-08-18,0.26146721839904785,1.5018296241760254,16567,53f2743d91cf,172.17.0.2,1.5018296241760254,3
3,60.355974450707436,0.8463198742509087,0.36494682516121574,0.0,0.0014285063809674062,1727748499,,False,4,af3f9a43,2024-10-01_02-08-19,0.2690236568450928,1.7708532810211182,16567,53f2743d91cf,172.17.0.2,1.7708532810211182,4
4,59.93493319302797,0.8460870419491109,0.3616305199672679,0.0,0.0002800995679616046,1727748499,,False,5,af3f9a43,2024-10-01_02-08-19,0.2761867046356201,2.0470399856567383,16567,53f2743d91cf,172.17.0.2,2.0470399856567383,5
5,58.791065506637096,0.8477532174083897,0.36753051128252173,0.010025062656641603,0.0002800995679616046,1727748499,,False,6,af3f9a43,2024-10-01_02-08-19,0.2657461166381836,2.312786102294922,16567,53f2743d91cf,172.17.0.2,2.312786102294922,6
6,58.50901731848717,0.847709991158267,0.36875074090114635,0.039119804400977995,0.0002800995679616046,1727748500,,False,7,af3f9a43,2024-10-01_02-08-20,0.2625753879547119,2.575361490249634,16567,53f2743d91cf,172.17.0.2,2.575361490249634,7
7,58.37455715239048,0.8477070439139405,0.3699615087100469,0.03902439024390244,0.0002800995679616046,1727748500,,False,8,af3f9a43,2024-10-01_02-08-20,0.37795209884643555,2.9533135890960693,16567,53f2743d91cf,172.17.0.2,2.9533135890960693,8
8,58.23149325698614,0.8472315551625897,0.3703698729128619,0.01990049751243781,0.0002800995679616046,1727748500,,False,9,af3f9a43,2024-10-01_02-08-20,0.3638193607330322,3.3171329498291016,16567,53f2743d91cf,172.17.0.2,3.3171329498291016,9
9,58.101711854338646,0.8474044601630809,0.3704025646406994,0.043795620437956206,5.4921538340729076e-05,1727748501,,False,10,af3f9a43,2024-10-01_02-08-21,0.2962932586669922,3.6134262084960938,16567,53f2743d91cf,172.17.0.2,3.6134262084960938,10
10,57.791523307561874,0.8473789173789172,0.37031841526536435,0.052884615384615384,5.4921538340729076e-05,1727748501,,False,11,af3f9a43,2024-10-01_02-08-21,0.2777581214904785,3.8911843299865723,16567,53f2743d91cf,172.17.0.2,3.8911843299865723,11
11,57.74354640394449,0.8474329501915709,0.37079860775525825,0.05741626794258373,5.4921538340729076e-05,1727748501,,False,12,af3f9a43,2024-10-01_02-08-21,0.2642395496368408,4.155423879623413,16567,53f2743d91cf,172.17.0.2,4.155423879623413,12
12,57.71926339715719,0.8474437567541016,0.3707936233127718,0.06666666666666667,5.4921538340729076e-05,1727748501,,False,13,af3f9a43,2024-10-01_02-08-21,0.2838132381439209,4.439237117767334,16567,53f2743d91cf,172.17.0.2,4.439237117767334,13
13,57.690576672554016,0.8473415856174477,0.37041582769295844,0.07125890736342043,5.4921538340729076e-05,1727748502,,False,14,af3f9a43,2024-10-01_02-08-22,0.3095076084136963,4.74874472618103,16567,53f2743d91cf,172.17.0.2,4.74874472618103,14
14,57.64488299936056,0.8473631987425092,0.3707553251225994,0.07125890736342043,1.0768939758327838e-05,1727748502,,False,15,af3f9a43,2024-10-01_02-08-22,0.45516014099121094,5.203904867172241,16567,53f2743d91cf,172.17.0.2,5.203904867172241,15
15,57.55090422928333,0.8473337262992435,0.37083172674856246,0.06666666666666667,1.0768939758327838e-05,1727748505,,True,16,af3f9a43,2024-10-01_02-08-25,0.4773070812225342,5.681211948394775,16567,53f2743d91cf,172.17.0.2,5.681211948394775,16
