epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,77.67714707553387,0.8386119459281882,0.3609332167283308,0.0,0.0017183206904553459,1727748709,,False,1,b2bbb631,2024-10-01_02-11-49,0.8883395195007324,0.8883395195007324,19143,53f2743d91cf,172.17.0.2,0.8883395195007324,1
1,61.2388901412487,0.8443193804747336,0.3769649550201047,0.0,0.0017183206904553459,1727748709,,False,2,b2bbb631,2024-10-01_02-11-49,0.25293540954589844,1.1412749290466309,19143,53f2743d91cf,172.17.0.2,1.1412749290466309,2
2,60.222975835204124,0.8462633525234666,0.385461945851235,0.0,0.0017183206904553459,1727748709,,False,3,b2bbb631,2024-10-01_02-11-49,0.25019359588623047,1.3914685249328613,19143,53f2743d91cf,172.17.0.2,1.3914685249328613,3
3,59.48332737386227,0.8496617937892105,0.4041992323119167,0.0,0.0017183206904553459,1727748710,,False,4,b2bbb631,2024-10-01_02-11-50,0.24758648872375488,1.6390550136566162,19143,53f2743d91cf,172.17.0.2,1.6390550136566162,4
4,58.761236034333706,0.8490150510421357,0.39151958494622774,0.0,0.0017183206904553459,1727748710,,False,5,b2bbb631,2024-10-01_02-11-50,0.2479870319366455,1.8870420455932617,19143,53f2743d91cf,172.17.0.2,1.8870420455932617,5
5,58.30898244678974,0.8496206119066182,0.393413315184203,0.0,0.0017183206904553459,1727748710,,False,6,b2bbb631,2024-10-01_02-11-50,0.25116419792175293,2.1382062435150146,19143,53f2743d91cf,172.17.0.2,2.1382062435150146,6
6,57.48661834746599,0.8515758153778766,0.3925681236333589,0.014388489208633094,0.0017183206904553459,1727748710,,False,7,b2bbb631,2024-10-01_02-11-50,0.2545590400695801,2.3927652835845947,19143,53f2743d91cf,172.17.0.2,2.3927652835845947,7
7,57.03875897079706,0.8461575899613545,0.378857553596765,0.037209302325581395,0.0017183206904553459,1727748711,,False,8,b2bbb631,2024-10-01_02-11-51,0.24861717224121094,2.6413824558258057,19143,53f2743d91cf,172.17.0.2,2.6413824558258057,8
8,56.70256394892931,0.8474623068780296,0.38662725572973444,0.05504587155963303,0.0017183206904553459,1727748711,,False,9,b2bbb631,2024-10-01_02-11-51,0.2557699680328369,2.8971524238586426,19143,53f2743d91cf,172.17.0.2,2.8971524238586426,9
9,56.16188829392195,0.8456746387927718,0.380190917225814,0.11666666666666667,0.000337965967125449,1727748711,,False,10,b2bbb631,2024-10-01_02-11-51,0.24857854843139648,3.145730972290039,19143,53f2743d91cf,172.17.0.2,3.145730972290039,10
10,54.16697971522808,0.8492050492731865,0.3870323918188032,0.12863070539419086,0.000337965967125449,1727748711,,False,11,b2bbb631,2024-10-01_02-11-51,0.2557377815246582,3.4014687538146973,19143,53f2743d91cf,172.17.0.2,3.4014687538146973,11
11,53.95949315279722,0.8488493875598891,0.3835453308588064,0.18666666666666668,0.000337965967125449,1727748712,,False,12,b2bbb631,2024-10-01_02-11-52,0.253328800201416,3.6547975540161133,19143,53f2743d91cf,172.17.0.2,3.6547975540161133,12
12,53.71225158125162,0.8489832286783142,0.385557908312244,0.15109343936381708,0.000337965967125449,1727748712,,False,13,b2bbb631,2024-10-01_02-11-52,0.2526252269744873,3.9074227809906006,19143,53f2743d91cf,172.17.0.2,3.9074227809906006,13
13,53.46626037359238,0.8490880552885494,0.3859728727590415,0.22423146473779385,0.000337965967125449,1727748712,,False,14,b2bbb631,2024-10-01_02-11-52,0.2512514591217041,4.158674240112305,19143,53f2743d91cf,172.17.0.2,4.158674240112305,14
14,53.3267707452178,0.8492733737602147,0.38545703169044293,0.17938931297709923,0.000337965967125449,1727748712,,False,15,b2bbb631,2024-10-01_02-11-52,0.2558619976043701,4.414536237716675,19143,53f2743d91cf,172.17.0.2,4.414536237716675,15
15,53.12406359612942,0.84829436809677,0.383143349037686,0.21150278293135436,0.000337965967125449,1727748713,,True,16,b2bbb631,2024-10-01_02-11-53,0.26555466651916504,4.68009090423584,19143,53f2743d91cf,172.17.0.2,4.68009090423584,16
