epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,76.86850485950708,0.8433195216122046,0.3594959130386352,0.0,0.0018068406839308322,1727748271,,False,1,b448c5a8,2024-10-01_02-04-31,1.1650609970092773,1.1650609970092773,14068,53f2743d91cf,172.17.0.2,1.1650609970092773,1
1,61.45284828543663,0.8478933986251059,0.3712894263074712,0.0,0.0018068406839308322,1727748272,,False,2,b448c5a8,2024-10-01_02-04-32,0.5050013065338135,1.6700623035430908,14068,53f2743d91cf,172.17.0.2,1.6700623035430908,2
2,60.837012246251106,0.8483063376965816,0.37348716336054966,0.0,0.0018068406839308322,1727748272,,False,3,b448c5a8,2024-10-01_02-04-32,0.4543030261993408,2.1243653297424316,14068,53f2743d91cf,172.17.0.2,2.1243653297424316,3
3,59.71120472252369,0.8463146247292588,0.3640854909553904,0.0,0.0018068406839308322,1727748273,,False,4,b448c5a8,2024-10-01_02-04-33,0.47410130500793457,2.598466634750366,14068,53f2743d91cf,172.17.0.2,2.598466634750366,4
4,59.218051202595234,0.8488473490912515,0.37616384926402435,0.0,0.00034836639622465906,1727748273,,False,5,b448c5a8,2024-10-01_02-04-33,0.49837803840637207,3.0968446731567383,14068,53f2743d91cf,172.17.0.2,3.0968446731567383,5
5,57.11068542301655,0.849349279593182,0.3757294072703375,0.009615384615384616,0.00034836639622465906,1727748274,,False,6,b448c5a8,2024-10-01_02-04-34,0.3805549144744873,3.4773995876312256,14068,53f2743d91cf,172.17.0.2,3.4773995876312256,6
6,56.65529952943325,0.848556361239288,0.3760952249110345,0.10706638115631692,0.00034836639622465906,1727748274,,False,7,b448c5a8,2024-10-01_02-04-34,0.3833284378051758,3.8607280254364014,14068,53f2743d91cf,172.17.0.2,3.8607280254364014,7
7,56.215262308716774,0.8478538468782372,0.37585897647025857,0.22142857142857142,0.00034836639622465906,1727748274,,False,8,b448c5a8,2024-10-01_02-04-34,0.4042026996612549,4.264930725097656,14068,53f2743d91cf,172.17.0.2,4.264930725097656,8
8,55.87194882333279,0.8476381956869762,0.3730012132134834,0.16032064128256512,0.00034836639622465906,1727748275,,False,9,b448c5a8,2024-10-01_02-04-35,0.3938634395599365,4.658794164657593,14068,53f2743d91cf,172.17.0.2,4.658794164657593,9
9,55.26348678767681,0.8472916470477446,0.37222141940370607,0.18832391713747645,6.716648960689547e-05,1727748275,,False,10,b448c5a8,2024-10-01_02-04-35,0.4115626811981201,5.070356845855713,14068,53f2743d91cf,172.17.0.2,5.070356845855713,10
10,54.52758764475584,0.8472483284678407,0.37226147476361143,0.19887429643527205,6.716648960689547e-05,1727748276,,False,11,b448c5a8,2024-10-01_02-04-36,0.4406099319458008,5.510966777801514,14068,53f2743d91cf,172.17.0.2,5.510966777801514,11
11,54.70133885368705,0.8472836425275448,0.37277212916711244,0.19622641509433963,6.716648960689547e-05,1727748276,,False,12,b448c5a8,2024-10-01_02-04-36,0.386732816696167,5.897699594497681,14068,53f2743d91cf,172.17.0.2,5.897699594497681,12
12,54.38890099525452,0.8470420943591676,0.3720830823318173,0.20446096654275092,6.716648960689547e-05,1727748277,,False,13,b448c5a8,2024-10-01_02-04-37,0.509049654006958,6.406749248504639,14068,53f2743d91cf,172.17.0.2,6.406749248504639,13
13,54.208732567727566,0.8469337979094076,0.3713072703274265,0.22141560798548093,6.716648960689547e-05,1727748277,,False,14,b448c5a8,2024-10-01_02-04-37,0.6014676094055176,7.008216857910156,14068,53f2743d91cf,172.17.0.2,7.008216857910156,14
14,54.127622462809086,0.8468433939165646,0.37140350128779565,0.23985890652557318,1.2949978456601387e-05,1727748278,,False,15,b448c5a8,2024-10-01_02-04-38,0.618544340133667,7.626761198043823,14068,53f2743d91cf,172.17.0.2,7.626761198043823,15
15,54.146183758974075,0.8467953667953668,0.37171926146274165,0.24561403508771928,1.2949978456601387e-05,1727748278,,False,16,b448c5a8,2024-10-01_02-04-38,0.5815315246582031,8.208292722702026,14068,53f2743d91cf,172.17.0.2,8.208292722702026,16
16,54.213617756962776,0.8468302100009417,0.37164868801789597,0.2460456942003515,1.2949978456601387e-05,1727748279,,False,17,b448c5a8,2024-10-01_02-04-39,0.4695768356323242,8.67786955833435,14068,53f2743d91cf,172.17.0.2,8.67786955833435,17
17,54.253033362329006,0.8467868914210376,0.3715837551992941,0.24781849912739964,1.2949978456601387e-05,1727748279,,False,18,b448c5a8,2024-10-01_02-04-39,0.5144228935241699,9.19229245185852,14068,53f2743d91cf,172.17.0.2,9.19229245185852,18
18,54.051962703466415,0.8467605235897919,0.3711879893338502,0.24561403508771928,1.2949978456601387e-05,1727748280,,False,19,b448c5a8,2024-10-01_02-04-40,0.40270185470581055,9.594994306564331,14068,53f2743d91cf,172.17.0.2,9.594994306564331,19
19,53.690420001745224,0.8467548733402392,0.3711453994708687,0.24338624338624337,2.4968096889974037e-06,1727748280,,False,20,b448c5a8,2024-10-01_02-04-40,0.3750760555267334,9.970070362091064,14068,53f2743d91cf,172.17.0.2,9.970070362091064,20
