epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,67.3991014584899,0.8599923658613473,0.4000462363488423,0.0,0.0014815449698958338,1727748198,,False,1,b4d807aa,2024-10-01_02-03-18,1.3588988780975342,1.3588988780975342,12329,53f2743d91cf,172.17.0.2,1.3588988780975342,1
1,62.131257742643356,0.8557878924839815,0.38604629086175446,0.0,0.0014815449698958338,1727748199,,False,2,b4d807aa,2024-10-01_02-03-19,0.6637892723083496,2.022688150405884,12329,53f2743d91cf,172.17.0.2,2.022688150405884,2
2,60.6242635473609,0.8502806780330509,0.3685443141322179,0.0,0.0014815449698958338,1727748199,,False,3,b4d807aa,2024-10-01_02-03-19,0.6740093231201172,2.696697473526001,12329,53f2743d91cf,172.17.0.2,2.696697473526001,3
3,59.937993394210935,0.8541889012537458,0.38046048525569226,0.0,0.0014815449698958338,1727748200,,False,4,b4d807aa,2024-10-01_02-03-20,0.743025541305542,3.439723014831543,12329,53f2743d91cf,172.17.0.2,3.439723014831543,4
4,58.747000742703676,0.8599429908352355,0.4067665724576363,0.0,0.0002896946013616756,1727748201,,False,5,b4d807aa,2024-10-01_02-03-21,0.723555326461792,4.163278341293335,12329,53f2743d91cf,172.17.0.2,4.163278341293335,5
5,55.42349446564913,0.8543427234504787,0.375092051364047,0.0,0.0002896946013616756,1727748201,,False,6,b4d807aa,2024-10-01_02-03-21,0.661156415939331,4.824434757232666,12329,53f2743d91cf,172.17.0.2,4.824434757232666,6
6,54.5168894007802,0.8517125537902929,0.37169456737217854,0.1425661914460285,0.0002896946013616756,1727748202,,False,7,b4d807aa,2024-10-01_02-03-22,0.7228348255157471,5.547269582748413,12329,53f2743d91cf,172.17.0.2,5.547269582748413,7
7,53.36104205995798,0.8520724217690693,0.3760706584108091,0.26554621848739496,0.0002896946013616756,1727748203,,False,8,b4d807aa,2024-10-01_02-03-23,0.6408250331878662,6.188094615936279,12329,53f2743d91cf,172.17.0.2,6.188094615936279,8
8,52.65982373803854,0.8517856668097276,0.3726336360387592,0.275974025974026,0.0002896946013616756,1727748203,,False,9,b4d807aa,2024-10-01_02-03-23,0.6127562522888184,6.800850868225098,12329,53f2743d91cf,172.17.0.2,6.800850868225098,9
9,51.671090461313725,0.851053587095647,0.3693101006833209,0.28794992175273865,5.664557186137973e-05,1727748204,,False,10,b4d807aa,2024-10-01_02-03-24,0.6116573810577393,7.412508249282837,12329,53f2743d91cf,172.17.0.2,7.412508249282837,10
10,49.66028246283531,0.8504363992692495,0.3673964849893364,0.2736156351791531,5.664557186137973e-05,1727748205,,False,11,b4d807aa,2024-10-01_02-03-25,0.655156135559082,8.067664384841919,12329,53f2743d91cf,172.17.0.2,8.067664384841919,11
11,49.30582919716835,0.8496198122989391,0.3648027933533454,0.3037593984962406,5.664557186137973e-05,1727748205,,False,12,b4d807aa,2024-10-01_02-03-25,0.6731674671173096,8.740831851959229,12329,53f2743d91cf,172.17.0.2,8.740831851959229,12
12,48.904926650226116,0.849827282360582,0.36593684536046556,0.29709035222052066,5.664557186137973e-05,1727748206,,False,13,b4d807aa,2024-10-01_02-03-26,0.6673893928527832,9.408221244812012,12329,53f2743d91cf,172.17.0.2,9.408221244812012,13
13,48.672498263418674,0.8495172641677841,0.3650482467001975,0.29153605015673983,5.664557186137973e-05,1727748207,,False,14,b4d807aa,2024-10-01_02-03-27,0.6643829345703125,10.072604179382324,12329,53f2743d91cf,172.17.0.2,10.072604179382324,14
14,48.42319969832897,0.8482847875544548,0.3613286617320115,0.3196480938416422,1.1076218874706393e-05,1727748208,,False,15,b4d807aa,2024-10-01_02-03-28,0.8269970417022705,10.899601221084595,12329,53f2743d91cf,172.17.0.2,10.899601221084595,15
15,47.79822088778019,0.8486323117767034,0.3626855677668949,0.2983257229832572,1.1076218874706393e-05,1727748208,,False,16,b4d807aa,2024-10-01_02-03-28,0.7495317459106445,11.64913296699524,12329,53f2743d91cf,172.17.0.2,11.64913296699524,16
16,47.642787382006645,0.8485041266127592,0.3624239808478998,0.29357798165137616,1.1076218874706393e-05,1727748209,,False,17,b4d807aa,2024-10-01_02-03-29,0.6752815246582031,12.324414491653442,12329,53f2743d91cf,172.17.0.2,12.324414491653442,17
17,47.66253002732992,0.8484547515866475,0.36233396883291147,0.29357798165137616,1.1076218874706393e-05,1727748210,,False,18,b4d807aa,2024-10-01_02-03-30,0.6342337131500244,12.958648204803467,12329,53f2743d91cf,172.17.0.2,12.958648204803467,18
18,47.57194917649031,0.8483873356856102,0.36204803103910954,0.2978723404255319,1.1076218874706393e-05,1727748210,,False,19,b4d807aa,2024-10-01_02-03-30,0.5983738899230957,13.557022094726562,12329,53f2743d91cf,172.17.0.2,13.557022094726562,19
19,47.47160488367081,0.848344607297629,0.36201851920921807,0.29096477794793263,2.165793733367633e-06,1727748211,,False,20,b4d807aa,2024-10-01_02-03-31,0.6251416206359863,14.182163715362549,12329,53f2743d91cf,172.17.0.2,14.182163715362549,20
